step,loss,step_s,forward_s,backward_s,optimizer_s
117,10.459746,0.0839,0.0147,0.0355,0.0334
118,10.428192,0.0839,0.0147,0.0355,0.0334
119,10.445749,0.0843,0.0148,0.0357,0.0335
120,10.432673,0.0838,0.0147,0.0355,0.0335
121,10.400210,0.0842,0.0151,0.0355,0.0334
122,10.533468,0.0838,0.0147,0.0354,0.0334
123,10.351821,0.0840,0.0149,0.0355,0.0335
124,10.373110,0.0840,0.0149,0.0354,0.0334
125,10.425049,0.0837,0.0146,0.0355,0.0335
126,10.521322,0.0841,0.0150,0.0355,0.0334
127,10.562227,0.0838,0.0147,0.0355,0.0334
128,10.352728,0.0841,0.0150,0.0355,0.0334
129,10.443510,0.0838,0.0148,0.0355,0.0334
130,10.420626,0.0837,0.0147,0.0355,0.0334
131,10.416260,0.0840,0.0148,0.0355,0.0334
132,10.332802,0.0838,0.0147,0.0355,0.0334
133,10.473605,0.0842,0.0150,0.0356,0.0334
134,10.430663,0.0839,0.0148,0.0355,0.0334
135,10.424004,0.0840,0.0149,0.0355,0.0334
136,10.429413,0.0839,0.0148,0.0355,0.0334
137,10.478137,0.0838,0.0147,0.0355,0.0334
138,10.544889,0.0843,0.0152,0.0355,0.0334
139,10.341299,0.0841,0.0149,0.0355,0.0334
140,10.522069,0.0844,0.0151,0.0356,0.0334
141,10.406240,0.0838,0.0148,0.0354,0.0334
142,10.408564,0.0840,0.0148,0.0355,0.0334
143,10.493711,0.0839,0.0148,0.0355,0.0334
144,10.385348,0.0839,0.0148,0.0355,0.0334
145,10.350731,0.0844,0.0153,0.0355,0.0334
146,10.366351,0.0842,0.0150,0.0355,0.0335
147,10.512614,0.0805,0.0149,0.0320,0.0334
148,10.308044,0.0843,0.0152,0.0355,0.0334
149,10.570502,0.0812,0.0147,0.0329,0.0334
150,10.372923,0.0816,0.0154,0.0326,0.0334
151,10.550801,0.0808,0.0152,0.0321,0.0334
152,10.442574,0.0813,0.0152,0.0325,0.0334
153,10.537088,0.0812,0.0148,0.0327,0.0334
154,10.479599,0.0810,0.0152,0.0322,0.0334
155,10.442417,0.0808,0.0151,0.0321,0.0334
156,10.438299,0.0814,0.0150,0.0327,0.0334
157,10.481724,0.0812,0.0150,0.0325,0.0334
158,10.504826,0.0805,0.0150,0.0319,0.0334
159,10.527057,0.0812,0.0153,0.0324,0.0334
160,10.451223,0.0813,0.0149,0.0328,0.0334
161,10.624825,0.0811,0.0152,0.0323,0.0334
162,10.599659,0.0811,0.0152,0.0323,0.0334
163,10.526365,0.0811,0.0152,0.0323,0.0334
164,10.419454,0.0814,0.0148,0.0330,0.0334
165,10.435690,0.0817,0.0153,0.0325,0.0334
166,10.399074,0.0811,0.0153,0.0321,0.0335
167,10.438514,0.0814,0.0150,0.0329,0.0334
168,10.594004,0.0814,0.0153,0.0325,0.0334
169,10.537884,0.0809,0.0152,0.0322,0.0334
170,10.502918,0.0848,0.0152,0.0359,0.0335
171,10.338056,0.0841,0.0149,0.0356,0.0335
172,10.427344,0.0840,0.0148,0.0355,0.0334
173,10.437492,0.0839,0.0148,0.0355,0.0334
174,10.532859,0.0840,0.0149,0.0355,0.0334
175,10.331890,0.0836,0.0146,0.0355,0.0334
176,10.359564,0.0843,0.0152,0.0355,0.0334
177,10.435375,0.0842,0.0150,0.0356,0.0334
178,10.643288,0.0841,0.0149,0.0356,0.0334
179,10.391251,0.0839,0.0148,0.0355,0.0334
180,10.568316,0.0838,0.0147,0.0355,0.0334
181,10.461723,0.0841,0.0149,0.0356,0.0334
182,10.559638,0.0838,0.0147,0.0354,0.0334
183,10.439010,0.0841,0.0150,0.0355,0.0334
184,10.358611,0.0840,0.0148,0.0356,0.0334
185,10.356039,0.0840,0.0148,0.0355,0.0335
186,10.510407,0.0840,0.0149,0.0355,0.0335
187,10.496036,0.0836,0.0147,0.0354,0.0334
188,10.434572,0.0843,0.0151,0.0356,0.0334
189,10.415401,0.0842,0.0150,0.0356,0.0334
190,10.408297,0.0841,0.0151,0.0354,0.0334
191,10.510345,0.0840,0.0149,0.0355,0.0334
192,10.612651,0.0849,0.0147,0.0365,0.0335
193,10.387057,0.0804,0.0148,0.0320,0.0334
194,10.511961,0.0811,0.0151,0.0325,0.0334
195,10.235703,0.0816,0.0150,0.0329,0.0334
196,10.488935,0.0811,0.0153,0.0322,0.0334
197,10.408728,0.0809,0.0151,0.0322,0.0334
198,10.528334,0.0816,0.0150,0.0330,0.0334
199,10.562220,0.0815,0.0154,0.0325,0.0334
200,10.249186,0.0809,0.0152,0.0321,0.0334
201,10.356403,0.0812,0.0151,0.0325,0.0334
202,10.438741,0.0815,0.0150,0.0329,0.0334
203,10.480760,0.0811,0.0152,0.0323,0.0334
204,10.432858,0.0812,0.0153,0.0323,0.0334
205,10.364177,0.0814,0.0149,0.0328,0.0334
206,10.506833,0.0844,0.0153,0.0355,0.0334
207,10.458112,0.0807,0.0150,0.0321,0.0334
208,10.504335,0.0813,0.0150,0.0327,0.0334
209,10.480636,0.0810,0.0151,0.0323,0.0334
210,10.387698,0.0810,0.0151,0.0323,0.0334
211,10.356007,0.0813,0.0152,0.0324,0.0334
212,10.328789,0.0816,0.0148,0.0331,0.0334
213,10.369906,0.0815,0.0153,0.0326,0.0334
214,10.606594,0.0813,0.0153,0.0323,0.0334
215,10.456003,0.0814,0.0151,0.0327,0.0334
216,10.449940,0.0813,0.0151,0.0326,0.0334
217,10.493724,0.0810,0.0151,0.0323,0.0334
218,10.467842,0.0819,0.0153,0.0325,0.0339
219,10.453991,0.0816,0.0151,0.0329,0.0334
220,10.305373,0.0809,0.0151,0.0321,0.0334
221,10.497702,0.0810,0.0152,0.0323,0.0334
222,10.382277,0.0816,0.0151,0.0329,0.0334
223,10.521873,0.0814,0.0151,0.0327,0.0334
224,10.307663,0.0842,0.0151,0.0355,0.0334
225,10.413505,0.0841,0.0149,0.0355,0.0334
226,10.405878,0.0842,0.0152,0.0354,0.0334
227,10.460930,0.0840,0.0148,0.0356,0.0334
228,10.509987,0.0841,0.0149,0.0356,0.0334
229,10.460512,0.0842,0.0150,0.0357,0.0334
230,10.467710,0.0838,0.0146,0.0356,0.0334
231,10.522291,0.0844,0.0153,0.0355,0.0334
232,10.292315,0.0841,0.0149,0.0356,0.0334
233,10.462684,0.0842,0.0151,0.0355,0.0334
234,10.472056,0.0839,0.0148,0.0355,0.0334
235,10.417072,0.0839,0.0148,0.0355,0.0334
236,10.453079,0.0841,0.0149,0.0356,0.0334
237,10.396572,0.0839,0.0147,0.0356,0.0334
238,10.406196,0.0845,0.0153,0.0355,0.0334
239,10.500513,0.0841,0.0150,0.0355,0.0334
