step,loss,step_s,forward_s,backward_s,optimizer_s
5,,0.148091,0.043257,0.085046,0.019261
10,,0.147827,0.042849,0.085224,0.019305
15,,0.147528,0.042823,0.084956,0.019314
20,,0.148684,0.044073,0.085112,0.019058
25,,0.147787,0.042832,0.085459,0.019059
30,,0.148739,0.042887,0.085981,0.019341
35,,0.148552,0.043100,0.085597,0.019409
40,,0.149961,0.043201,0.087086,0.019239
45,,0.149710,0.043201,0.086836,0.019212
50,,0.147934,0.042840,0.085398,0.019251
55,,0.148294,0.042819,0.085827,0.019222
60,,0.148336,0.042932,0.085798,0.019179
65,,0.148213,0.043010,0.085712,0.019068
70,,0.148566,0.043247,0.085733,0.019154
75,,0.150390,0.043491,0.087342,0.019129
80,,0.148886,0.043306,0.085789,0.019314
85,,0.148520,0.042952,0.085978,0.019161
90,,0.148897,0.043155,0.086179,0.019114
95,,0.150574,0.043518,0.087563,0.019033
100,,0.150868,0.043531,0.087707,0.019156
105,,0.148626,0.043023,0.086091,0.019093
110,,0.149913,0.044101,0.086082,0.019307
115,,0.150630,0.043557,0.087558,0.019090
120,,0.148535,0.043185,0.085733,0.019203
125,,0.149135,0.043310,0.086120,0.019283
130,,0.151468,0.044154,0.087780,0.019085
135,,0.149211,0.043172,0.086359,0.019155
140,,0.150832,0.043639,0.087683,0.019092
145,,0.149350,0.043389,0.086254,0.019233
150,,0.148487,0.043204,0.085807,0.019042
155,,0.150010,0.043370,0.087198,0.019008
160,,0.149465,0.043340,0.086632,0.019054
165,,0.148099,0.043040,0.085536,0.019078
170,,0.148031,0.042909,0.085621,0.019082
175,,0.148299,0.043028,0.085680,0.019171
180,,0.148402,0.043162,0.085690,0.019125
185,,0.149203,0.043277,0.086395,0.019102
190,,0.149959,0.043350,0.087210,0.018973
195,,0.148195,0.043000,0.085684,0.019079
200,,0.148604,0.043251,0.085511,0.019348
205,,0.148336,0.043001,0.085743,0.019166
210,,0.148917,0.043270,0.086111,0.019106
215,,0.150030,0.043337,0.087146,0.019071
220,,0.148441,0.042948,0.085688,0.019366
225,,0.148338,0.042922,0.085828,0.019139
230,,0.148729,0.043233,0.085973,0.019093
235,,0.150050,0.043305,0.087010,0.019295
240,,0.149932,0.043309,0.087007,0.019180
245,,0.148684,0.043014,0.085962,0.019262
250,,0.148835,0.043095,0.085978,0.019328
255,,0.150545,0.043417,0.087378,0.019313
260,,0.148380,0.043110,0.085773,0.019003
265,,0.148437,0.042949,0.085750,0.019298
270,,0.149121,0.043279,0.086071,0.019314
275,,0.150955,0.043460,0.087758,0.019321
280,,0.148646,0.043085,0.086008,0.019092
285,,0.148683,0.043102,0.086052,0.019098
290,,0.150650,0.043446,0.087618,0.019117
295,,0.149755,0.043379,0.086809,0.019141
300,,0.149020,0.043255,0.086076,0.019209
305,,0.149037,0.043286,0.086003,0.019307
310,,0.150285,0.043511,0.087161,0.019162
315,,0.149307,0.043323,0.086091,0.019370
320,,0.149127,0.043297,0.086240,0.019155
325,,0.150650,0.043509,0.087491,0.019212
330,,0.148947,0.043122,0.086239,0.019142
335,,0.149944,0.043825,0.086258,0.019258
340,,0.150770,0.043475,0.087588,0.019282
345,,0.148763,0.043121,0.086069,0.019128
350,,0.149102,0.043282,0.086097,0.019292
355,,0.151005,0.043499,0.087773,0.019252
360,,0.148715,0.043109,0.085852,0.019305
365,,0.149017,0.043217,0.086284,0.019085
370,,0.150784,0.043521,0.087735,0.019086
375,,0.148846,0.043102,0.086177,0.019129
380,,0.148933,0.043313,0.086016,0.019169
385,,0.150935,0.043528,0.087822,0.019089
390,,0.149235,0.043127,0.086418,0.019275
395,,0.149212,0.043379,0.086204,0.019217
400,,0.151009,0.043575,0.087771,0.019248
405,,0.148936,0.043073,0.086159,0.019289
410,,0.149295,0.043392,0.086098,0.019360
415,,0.150798,0.043479,0.087620,0.019277
420,,0.149650,0.043428,0.086194,0.019371
425,,0.150549,0.043506,0.087282,0.019311
430,,0.149062,0.043270,0.086300,0.019042
435,,0.148955,0.043093,0.086288,0.019146
440,,0.151432,0.043566,0.088298,0.019119
445,,0.148730,0.043109,0.086011,0.019186
450,,0.148831,0.043123,0.086170,0.019104
455,,0.151058,0.043599,0.087892,0.019095
460,,0.148889,0.043125,0.086080,0.019253
465,,0.149401,0.043302,0.086286,0.019250
470,,0.150043,0.043341,0.086961,0.019303
475,,0.149135,0.043218,0.086237,0.019242
480,,0.150827,0.044240,0.086855,0.019295
485,,0.148773,0.043059,0.086229,0.019057
490,,0.150708,0.043524,0.087456,0.019273
495,,0.149053,0.043188,0.086068,0.019322
500,,0.149048,0.043283,0.086133,0.019203
505,,0.150908,0.043615,0.087790,0.019066
510,,0.149133,0.043145,0.086412,0.019128
515,,0.150316,0.043668,0.086975,0.019186
520,,0.150221,0.043436,0.087109,0.019228
525,,0.149251,0.043253,0.086305,0.019266
530,,0.151299,0.043658,0.087945,0.019252
535,,0.149245,0.043241,0.086438,0.019143
540,,0.151360,0.043605,0.087904,0.019360
545,,0.147210,0.043207,0.084288,0.019099
550,,0.149391,0.043363,0.086355,0.019229
555,,0.150424,0.044065,0.086746,0.019173
560,,0.147736,0.043496,0.084542,0.019288
565,,0.151218,0.043798,0.087923,0.019078
570,,0.149077,0.043123,0.086358,0.019182
575,,0.151047,0.044074,0.087153,0.019162
580,,0.148640,0.043098,0.086015,0.019110
585,,0.149188,0.043343,0.086244,0.019174
590,,0.150930,0.043538,0.087742,0.019223
595,,0.149325,0.043188,0.086378,0.019342
600,,0.151197,0.043553,0.088054,0.019177
