timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,79,35,9013.25,1.3,4.1,21113.64,0.000000,0.000000,0.000000
0.5719,99,50,10923.25,1.4,4.1,21119.05,125.383000,125.383000,219.253298
1.4137,99,50,10923.25,1.4,4.1,21118.80,178.756000,304.139000,212.334288
2.2580,99,52,10923.25,1.4,4.1,21118.80,200.097000,504.236000,237.009208
3.0992,100,45,10923.25,1.4,4.1,21118.80,180.518000,684.754000,214.587577
3.9396,99,47,10923.25,1.4,4.1,21118.80,178.861000,863.615000,212.839251
4.7813,99,51,10923.25,1.4,4.1,21118.80,202.229000,1065.844000,240.252495
5.6231,99,50,10923.25,1.4,4.1,21120.04,178.749000,1244.593000,212.338042
6.4677,99,47,10923.25,1.4,4.1,21120.04,199.700000,1444.293000,236.444800
7.3136,100,45,10923.25,1.4,4.1,21120.00,178.776000,1623.069000,211.346667
8.1653,99,50,10923.25,1.4,4.1,21120.00,199.397000,1822.466000,234.121917
9.0125,99,50,10923.25,1.4,4.1,21120.00,179.859000,2002.325000,212.295730
9.8651,99,48,10923.25,1.3,4.1,21120.00,199.647000,2201.972000,234.164014
10.7119,100,44,10923.25,1.4,4.1,21120.00,180.172000,2382.144000,212.772029
11.5654,99,50,10923.25,1.3,4.1,21120.00,199.596000,2581.740000,233.849939
12.4120,99,50,10923.25,1.4,4.1,21120.00,180.311000,2762.051000,212.979042
13.2680,99,46,10923.25,1.4,4.1,21120.00,199.042000,2961.093000,232.531139
14.1149,100,44,10923.25,1.4,4.1,21120.00,179.565000,3140.658000,212.017594
14.9701,99,50,10923.25,1.4,4.1,21120.00,198.807000,3339.465000,232.485102
15.8277,99,50,10923.25,1.4,4.1,21120.00,179.398000,3518.863000,209.165369
16.6750,100,45,10923.25,1.4,4.1,21120.00,201.744000,3720.607000,238.118901
17.5211,100,44,10923.25,1.4,4.1,21120.00,180.065000,3900.672000,212.827232
18.3706,99,50,10923.25,1.4,4.1,21120.00,200.168000,4100.840000,235.623628
19.2520,99,51,10923.25,1.4,4.1,21120.00,194.066000,4294.906000,220.163956
20.1067,100,44,10923.25,1.4,4.1,21120.00,181.291000,4476.197000,212.112717
20.9542,99,50,10923.25,1.4,4.1,21120.00,199.001000,4675.198000,234.830444
21.8056,99,50,10923.25,1.4,4.1,21120.00,181.240000,4856.438000,212.853891
22.6500,99,52,10923.25,1.4,4.1,21120.00,200.039000,5056.477000,236.916075
23.5064,100,44,10923.25,1.4,4.1,21120.00,180.475000,5236.952000,210.727364
24.3510,99,50,10923.25,1.3,4.1,21120.00,199.916000,5436.868000,236.714417
25.2033,99,50,10923.25,1.4,4.1,21120.00,181.492000,5618.360000,212.945436
26.0499,99,52,10923.25,1.4,4.1,21120.00,200.391000,5818.751000,236.677175
26.8984,100,45,10923.25,1.4,4.1,21120.00,181.981000,6000.732000,214.474490
27.7452,99,50,10923.25,1.3,4.1,21116.06,200.119000,6200.851000,236.320179
