step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
297,8.874634,0.2817,0.0878,0.1743,0.0191,56.8048
300,8.876637,0.2817,0.0889,0.1731,0.0192,56.8021
303,8.890385,0.2825,0.0889,0.1739,0.0193,56.6283
306,8.884007,0.2833,0.0892,0.1746,0.0191,56.4679
309,8.884782,0.2833,0.0895,0.1742,0.0191,56.4748
312,8.865409,0.2832,0.0893,0.1742,0.0192,56.4999
315,8.893032,0.2822,0.0888,0.1739,0.0191,56.6955
318,8.881042,0.2824,0.0889,0.1741,0.0190,56.6484
321,8.872858,0.2822,0.0876,0.1745,0.0196,56.7011
324,8.875166,0.2808,0.0886,0.1728,0.0190,56.9757
327,8.878955,0.2819,0.0884,0.1740,0.0191,56.7509
330,8.874190,0.2822,0.0887,0.1740,0.0192,56.6894
333,8.891870,0.2831,0.0890,0.1745,0.0191,56.5240
336,8.878308,0.2831,0.0890,0.1745,0.0190,56.5225
339,8.875051,0.2826,0.0889,0.1742,0.0190,56.6138
342,8.878531,0.2835,0.0892,0.1746,0.0192,56.4410
345,8.882827,0.2810,0.0872,0.1743,0.0192,56.9310
348,8.882311,0.2817,0.0888,0.1732,0.0192,56.7913
351,8.862654,0.2832,0.0884,0.1750,0.0192,56.5021
354,8.874379,0.2812,0.0886,0.1731,0.0191,56.8976
357,8.873223,0.2822,0.0891,0.1737,0.0190,56.6975
360,8.879826,0.2825,0.0888,0.1742,0.0190,56.6373
363,8.879157,0.2832,0.0891,0.1745,0.0190,56.5029
366,8.851201,0.2833,0.0889,0.1746,0.0192,56.4835
369,8.873845,0.2807,0.0868,0.1742,0.0192,56.9990
372,8.867950,0.2827,0.0891,0.1737,0.0193,56.5972
375,8.881985,0.2827,0.0891,0.1739,0.0191,56.6056
378,8.870668,0.2818,0.0885,0.1735,0.0193,56.7772
381,8.870829,0.2828,0.0888,0.1743,0.0192,56.5816
384,8.860140,0.2834,0.0892,0.1746,0.0190,56.4545
387,8.880810,0.2834,0.0888,0.1750,0.0192,56.4581
390,8.868061,0.2828,0.0889,0.1742,0.0193,56.5716
393,8.881156,0.2809,0.0871,0.1742,0.0191,56.9674
396,8.871628,0.2816,0.0885,0.1735,0.0192,56.8088
