step,loss,step_s,forward_s,backward_s,optimizer_s
3,,0.151855,0.043163,0.089070,0.019125
6,,0.150019,0.043489,0.086628,0.019400
9,,0.149477,0.043196,0.086521,0.019333
12,,0.151431,0.043995,0.087504,0.019403
15,,0.149298,0.043175,0.086566,0.019126
18,,0.149747,0.043543,0.086452,0.019301
21,,0.149798,0.043440,0.086695,0.019218
24,,0.149301,0.043186,0.086525,0.019119
27,,0.150765,0.043819,0.087317,0.019165
30,,0.149550,0.043229,0.086589,0.019230
33,,0.150155,0.043604,0.086804,0.019318
36,,0.149220,0.043049,0.086650,0.019091
39,,0.149754,0.043527,0.086484,0.019321
42,,0.148079,0.043414,0.084967,0.019213
45,,0.149594,0.043235,0.086725,0.019178
48,,0.150104,0.043542,0.086972,0.019157
51,,0.149309,0.043118,0.086699,0.019041
54,,0.149750,0.043364,0.086687,0.019244
57,,0.151028,0.043836,0.087564,0.019168
60,,0.149583,0.043033,0.086871,0.019298
63,,0.149908,0.043384,0.086671,0.019418
66,,0.150268,0.043557,0.087032,0.019288
69,,0.149584,0.043257,0.086812,0.019064
72,,0.150102,0.043626,0.086927,0.019119
75,,0.150616,0.043343,0.087779,0.019076
78,,0.149606,0.043177,0.086934,0.019091
81,,0.150988,0.044157,0.087167,0.019233
84,,0.149493,0.043212,0.086815,0.019027
87,,0.151258,0.044345,0.086618,0.019684
90,,0.150285,0.043636,0.087115,0.019095
93,,0.149070,0.043487,0.085771,0.019376
96,,0.150852,0.043851,0.087005,0.019497
99,,0.151599,0.043869,0.087964,0.019324
102,,0.150584,0.044045,0.086943,0.019169
105,,0.150084,0.043177,0.087243,0.019236
108,,0.149659,0.043340,0.086886,0.019018
111,,0.150993,0.043694,0.087639,0.019268
114,,0.150228,0.043462,0.087066,0.019258
117,,0.149999,0.043247,0.087114,0.019212
120,,0.150554,0.043707,0.087109,0.019356
123,,0.150717,0.043853,0.087080,0.019293
126,,0.149857,0.043313,0.087128,0.018994
129,,0.150472,0.043583,0.087223,0.019207
132,,0.151860,0.044140,0.088155,0.019145
135,,0.149933,0.043413,0.086992,0.019116
138,,0.149933,0.043277,0.087199,0.019061
141,,0.150169,0.043681,0.087046,0.019046
144,,0.150500,0.043681,0.087423,0.019006
147,,0.149994,0.043252,0.086998,0.019345
150,,0.150066,0.043471,0.087140,0.019063
153,,0.151603,0.043875,0.088088,0.019232
156,,0.150419,0.043533,0.087085,0.019355
159,,0.149792,0.043295,0.087042,0.019032
162,,0.150357,0.043747,0.087251,0.018946
165,,0.150882,0.043789,0.087475,0.019207
168,,0.150490,0.043679,0.087086,0.019198
171,,0.150270,0.043517,0.087267,0.019065
174,,0.151388,0.043863,0.088045,0.019058
177,,0.150028,0.043363,0.086964,0.019273
180,,0.150082,0.043494,0.086945,0.019194
183,,0.151720,0.043823,0.088309,0.019143
186,,0.150491,0.043711,0.087234,0.019099
189,,0.150076,0.043265,0.087341,0.019059
192,,0.150762,0.043750,0.087365,0.019251
195,,0.151015,0.043717,0.087722,0.019071
198,,0.149971,0.043262,0.087219,0.019091
201,,0.150009,0.043362,0.087165,0.019109
204,,0.151031,0.043842,0.087726,0.019059
207,,0.150221,0.043340,0.087202,0.019291
210,,0.149741,0.043349,0.087040,0.018950
213,,0.151466,0.043844,0.088079,0.019077
216,,0.150837,0.043559,0.087617,0.019238
219,,0.150721,0.043268,0.087491,0.019274
222,,0.150217,0.043449,0.087053,0.019306
225,,0.152105,0.043855,0.088650,0.019149
228,,0.151071,0.043593,0.087746,0.019290
231,,0.146908,0.043321,0.083932,0.019126
234,,0.151884,0.043885,0.088371,0.019200
237,,0.151329,0.043769,0.087864,0.019267
240,,0.150155,0.043280,0.087115,0.019343
243,,0.148463,0.043461,0.085254,0.019327
246,,0.152186,0.043966,0.088638,0.019163
249,,0.151731,0.043793,0.088212,0.019285
252,,0.150501,0.043791,0.087085,0.019176
255,,0.150291,0.043346,0.087306,0.019189
258,,0.151487,0.044731,0.087121,0.019214
261,,0.152081,0.043922,0.088618,0.019145
264,,0.150446,0.044077,0.086885,0.019051
267,,0.150478,0.043423,0.087606,0.019014
270,,0.151036,0.044508,0.086867,0.019204
273,,0.150815,0.043668,0.087583,0.019146
276,,0.151416,0.043842,0.087946,0.019233
279,,0.151054,0.043506,0.087729,0.019365
282,,0.151268,0.044550,0.087168,0.019129
285,,0.151175,0.043822,0.087627,0.019275
288,,0.152492,0.043944,0.088996,0.019071
291,,0.151059,0.043880,0.087495,0.019259
294,,0.150765,0.043527,0.087723,0.019086
297,,0.150375,0.043359,0.087508,0.019079
300,,0.150681,0.043621,0.087541,0.019114
303,,0.152165,0.043899,0.088561,0.019292
306,,0.151469,0.043841,0.087955,0.019257
309,,0.150657,0.043470,0.087426,0.019318
312,,0.150481,0.043474,0.087479,0.019117
315,,0.151069,0.043834,0.087706,0.019080
318,,0.152425,0.044140,0.088774,0.019080
321,,0.151130,0.043843,0.087834,0.019031
324,,0.150481,0.043434,0.087347,0.019248
327,,0.150596,0.043392,0.087514,0.019091
330,,0.150417,0.043528,0.087413,0.019080
333,,0.151469,0.043855,0.088108,0.019126
336,,0.152019,0.043935,0.088342,0.019334
339,,0.150904,0.043518,0.087760,0.019187
342,,0.150396,0.043458,0.087472,0.019073
345,,0.150812,0.043594,0.087568,0.019232
348,,0.151059,0.043716,0.087731,0.019194
351,,0.152002,0.043923,0.088701,0.018981
354,,0.152046,0.043971,0.088508,0.019179
357,,0.150827,0.043835,0.087209,0.019310
360,,0.150516,0.043383,0.087629,0.019116
363,,0.151865,0.044723,0.087607,0.019115
366,,0.152390,0.044036,0.088668,0.019293
369,,0.152126,0.043926,0.088584,0.019206
372,,0.151328,0.043632,0.088012,0.019220
375,,0.150790,0.043467,0.087785,0.019112
378,,0.150530,0.043480,0.087679,0.018976
381,,0.151305,0.043839,0.088047,0.019020
384,,0.152807,0.044176,0.089017,0.019185
387,,0.152582,0.043956,0.089108,0.018966
390,,0.151412,0.043776,0.087952,0.019273
393,,0.150876,0.043375,0.087937,0.019172
396,,0.151672,0.043895,0.088358,0.018998
399,,0.153166,0.043989,0.089230,0.019527
402,,0.153354,0.044052,0.089283,0.019264
405,,0.151427,0.043893,0.088049,0.019022
408,,0.152882,0.044067,0.089069,0.019282
411,,0.152382,0.044074,0.088586,0.019303
414,,0.151750,0.044351,0.087711,0.019263
417,,0.151377,0.043646,0.087782,0.019478
420,,0.150688,0.043541,0.087686,0.019025
423,,0.150633,0.043453,0.087657,0.019101
426,,0.153758,0.043747,0.090325,0.019242
429,,0.151307,0.043748,0.088128,0.018987
432,,0.152536,0.043898,0.089011,0.019227
435,,0.152600,0.044049,0.088959,0.019141
438,,0.151472,0.043979,0.087993,0.019102
441,,0.151049,0.043579,0.087957,0.019090
444,,0.150776,0.043484,0.087662,0.019146
447,,0.151221,0.043895,0.087805,0.019049
450,,0.152491,0.043967,0.088811,0.019268
453,,0.153333,0.044579,0.089019,0.019155
456,,0.152937,0.044201,0.089121,0.019153
459,,0.152223,0.044051,0.088616,0.019119
462,,0.151436,0.043726,0.087981,0.019286
465,,0.151056,0.043524,0.087811,0.019287
468,,0.150726,0.043571,0.087685,0.019042
471,,0.151202,0.043858,0.087788,0.019128
474,,0.152067,0.043964,0.088544,0.019144
477,,0.153105,0.044422,0.088792,0.019418
480,,0.152910,0.044159,0.089243,0.019081
483,,0.152753,0.044148,0.088825,0.019362
486,,0.153138,0.044099,0.089566,0.019064
489,,0.152273,0.043943,0.088628,0.019278
492,,0.151536,0.043684,0.088140,0.019310
495,,0.151320,0.043566,0.088021,0.019304
498,,0.150997,0.043637,0.087736,0.019222
501,,0.151259,0.043962,0.087867,0.018982
504,,0.151856,0.043960,0.088245,0.019258
507,,0.153168,0.044156,0.089559,0.019059
510,,0.153354,0.044118,0.089534,0.019297
513,,0.152304,0.043991,0.088853,0.019076
516,,0.151446,0.043878,0.088043,0.019136
519,,0.150984,0.043568,0.087952,0.018852
522,,0.150923,0.043590,0.087720,0.019170
525,,0.150990,0.043688,0.087713,0.019159
528,,0.151633,0.044020,0.088030,0.019095
531,,0.151899,0.044013,0.088153,0.019260
534,,0.152421,0.044100,0.088790,0.019090
537,,0.152748,0.044130,0.088981,0.019161
540,,0.153056,0.044331,0.089104,0.019139
543,,0.152491,0.044034,0.088892,0.019131
546,,0.152575,0.044129,0.088820,0.019195
549,,0.153069,0.044116,0.089423,0.019096
552,,0.152984,0.044107,0.089237,0.019058
555,,0.152703,0.044144,0.089027,0.019102
558,,0.151940,0.043994,0.088229,0.019278
561,,0.151288,0.043633,0.087941,0.019264
564,,0.151223,0.043501,0.088018,0.019265
567,,0.151268,0.043803,0.087815,0.019175
570,,0.151180,0.043841,0.087790,0.019115
573,,0.151732,0.043989,0.088266,0.019043
576,,0.152798,0.044131,0.088956,0.019281
579,,0.152472,0.044015,0.088890,0.019136
582,,0.151480,0.043839,0.088064,0.019151
585,,0.151493,0.043580,0.088168,0.019294
588,,0.151235,0.043515,0.087971,0.019328
591,,0.151251,0.043653,0.087864,0.019307
594,,0.151737,0.044046,0.088125,0.019125
597,,0.152734,0.044137,0.089094,0.019067
600,,0.153177,0.044508,0.088995,0.019157
603,,0.152875,0.044110,0.088976,0.019094
606,,0.153002,0.044131,0.089162,0.019258
609,,0.153134,0.044205,0.089328,0.019163
612,,0.153156,0.044201,0.089332,0.019145
615,,0.152098,0.044059,0.088379,0.019238
618,,0.151301,0.043729,0.087991,0.019154
621,,0.151151,0.043518,0.088034,0.019185
624,,0.151061,0.043626,0.087676,0.019304
627,,0.151447,0.043901,0.087904,0.019227
630,,0.151648,0.043948,0.088291,0.019010
633,,0.153307,0.044089,0.089486,0.019286
636,,0.152566,0.044140,0.088827,0.019161
639,,0.152115,0.044008,0.088431,0.019237
642,,0.151372,0.043707,0.088089,0.019082
645,,0.151135,0.043574,0.088002,0.019134
