step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
99,8.914869,0.2774,0.0864,0.1715,0.0191,57.6789
100,8.932485,0.2791,0.0867,0.1730,0.0191,57.3208
101,8.951509,0.2780,0.0865,0.1719,0.0193,57.5518
102,8.967038,0.2789,0.0869,0.1725,0.0191,57.3633
103,8.941948,0.2777,0.0865,0.1719,0.0190,57.6078
104,8.915599,0.2764,0.0854,0.1716,0.0191,57.8824
105,8.947202,0.2767,0.0860,0.1713,0.0191,57.8174
106,8.935892,0.2791,0.0874,0.1713,0.0199,57.3204
107,8.941435,0.2804,0.0874,0.1734,0.0191,57.0663
108,8.936421,0.2774,0.0868,0.1711,0.0191,57.6824
109,8.924682,0.2797,0.0873,0.1728,0.0190,57.2141
110,8.946539,0.2775,0.0863,0.1717,0.0190,57.6525
111,8.922265,0.2780,0.0868,0.1717,0.0192,57.5550
112,8.926440,0.2795,0.0873,0.1728,0.0190,57.2541
113,8.949453,0.2796,0.0878,0.1723,0.0191,57.2253
114,8.923384,0.2794,0.0881,0.1716,0.0192,57.2743
115,8.925792,0.2776,0.0867,0.1714,0.0192,57.6361
116,8.928380,0.2810,0.0874,0.1739,0.0193,56.9403
117,8.931549,0.2780,0.0868,0.1716,0.0192,57.5636
118,8.925170,0.2800,0.0872,0.1733,0.0190,57.1523
119,8.909101,0.2786,0.0869,0.1722,0.0191,57.4262
120,8.934230,0.2776,0.0857,0.1724,0.0192,57.6310
121,8.927460,0.2780,0.0865,0.1720,0.0191,57.5529
122,8.931471,0.2803,0.0874,0.1733,0.0192,57.0797
123,8.919188,0.2817,0.0868,0.1753,0.0192,56.8030
124,8.926105,0.2783,0.0857,0.1732,0.0191,57.4894
125,8.923623,0.2797,0.0870,0.1731,0.0192,57.1969
126,8.924500,0.2808,0.0891,0.1720,0.0193,56.9849
127,8.921912,0.2780,0.0869,0.1716,0.0191,57.5604
128,8.912597,0.2811,0.0878,0.1737,0.0192,56.9261
129,8.915540,0.2782,0.0869,0.1719,0.0189,57.5106
130,8.911827,0.2808,0.0878,0.1736,0.0191,56.9755
131,8.906136,0.2787,0.0869,0.1722,0.0192,57.4135
132,8.915418,0.2785,0.0862,0.1726,0.0193,57.4536
133,8.893196,0.2798,0.0874,0.1728,0.0192,57.1921
134,8.914977,0.2804,0.0873,0.1734,0.0193,57.0707
135,8.908422,0.2771,0.0867,0.1706,0.0194,57.7469
136,8.900980,0.2804,0.0874,0.1734,0.0193,57.0528
137,8.901478,0.2796,0.0871,0.1730,0.0191,57.2269
138,8.923196,0.2802,0.0880,0.1726,0.0192,57.1060
139,8.880786,0.2781,0.0868,0.1719,0.0191,57.5293
140,8.929718,0.2805,0.0872,0.1737,0.0192,57.0324
141,8.928463,0.2784,0.0869,0.1721,0.0191,57.4706
142,8.909321,0.2803,0.0873,0.1735,0.0191,57.0897
143,8.925175,0.2786,0.0868,0.1722,0.0192,57.4285
144,8.918122,0.2779,0.0858,0.1725,0.0191,57.5844
145,8.919536,0.2783,0.0866,0.1723,0.0191,57.4870
146,8.892732,0.2800,0.0874,0.1731,0.0191,57.1331
147,8.917505,0.2784,0.0870,0.1719,0.0192,57.4651
148,8.929936,0.2810,0.0876,0.1737,0.0192,56.9339
149,8.910361,0.2799,0.0875,0.1729,0.0190,57.1707
150,8.910385,0.2812,0.0892,0.1723,0.0193,56.9057
151,8.907612,0.2786,0.0872,0.1718,0.0193,57.4297
152,8.906278,0.2813,0.0879,0.1739,0.0192,56.8739
153,8.927849,0.2787,0.0871,0.1721,0.0191,57.4040
154,8.889454,0.2808,0.0880,0.1734,0.0191,56.9737
155,8.902890,0.2789,0.0874,0.1720,0.0192,57.3662
156,8.890394,0.2783,0.0865,0.1724,0.0191,57.4846
157,8.893614,0.2798,0.0882,0.1721,0.0192,57.1803
