batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s,target_seconds
32,550,300.02,300.04,300.07,300.0433,0.0205,300
16,1100,300.13,300.08,300.05,300.0867,0.0330,300
8,2000,300.05,300.05,300.06,300.0533,0.0047,300
