timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
224.0,0.5,148.382,35.983,83.527788968,20.255694291999998,2
224.5,0.5,157.007,23.664,88.383008468,13.321033536,2
225.0,0.5,168.467,34.389,94.834117508,19.358393436,2
225.5,0.5,147.035,34.514,82.76953033999999,19.428758936,2
226.0,0.5,166.777,33.414,93.88277594799999,18.809542536,2
226.5,0.5,158.2265,45.0635,89.069494286,25.367325673999996,2
227.0,0.5,164.844,38.118252,92.794643856,21.457678888847997,3
227.5,0.5,133.81,0.0,75.32486044,0.0,1
228.0,0.5,167.4505,35.9465,94.261905262,20.235147566,2
228.5,0.5,157.522333,32.198619,88.673101781692,18.125375401956,3
229.0,0.5,157.003333,32.366805,88.38094422569199,18.22005133782,3
229.5,0.5,204.613,0.0,115.18156841199999,0.0,1
230.0,0.5,145.8855,34.6715,82.122449202,19.517419466,2
230.5,0.5,155.749333,31.835531,87.675037529692,17.920984452644,3
231.0,0.5,157.5495,26.0115,88.688394738,14.642497626,2
231.5,0.5,156.999,23.451,88.378505076,13.201130724,2
232.0,0.5,156.8295,24.7885,88.28308945799999,13.954041574,2
232.5,0.5,156.797,24.889,88.264794428,14.010615435999998,2
233.0,0.5,156.019,23.536,87.826839556,13.248979264,2
233.5,0.5,157.7285,21.9205,88.78915813399999,12.339575542,2
234.0,0.5,156.763,24.544,88.245655012,13.816406656,2
234.5,0.5,166.7955,33.2915,93.893190042,18.740584346,2
235.0,0.5,147.059,33.542,82.783040516,18.881596808,2
235.5,0.5,170.996333,28.545741,96.25793975769199,16.069082706684,3
236.0,0.5,136.171,0.0,76.65392400399999,0.0,1
236.5,0.5,156.424,22.912,88.054823776,12.897714687999999,2
237.0,0.5,171.522667,29.216995,96.55422579830801,16.44694769338,3
237.5,0.5,149.772333,22.036412,84.310440781692,12.404825188688,3
238.5,1.0,165.835333,22.912274,46.676344496846,6.448934464588,3
239.0,0.5,147.061667,21.217953,82.784541834308,11.944094974572,3
239.5,0.5,159.5625,24.9665,89.82156075,14.054242045999999,2
240.0,0.5,181.434,0.0,102.133553016,0.0,1
240.5,0.5,154.559333,32.3485,87.00515796969201,18.209747014,3
241.0,0.5,148.9875,33.8995,83.86863945,19.082842138,2
241.5,0.5,158.763,22.738,89.371503012,12.799765912,2
242.0,0.5,165.4115,34.2785,93.114103226,19.296190334,2
242.5,0.5,165.428667,37.841855,93.123766942308,21.30208838402,3
243.0,0.5,114.354,0.0,64.372611096,0.0,1
243.5,0.5,165.233,36.621,93.013621292,20.614839804,2
244.0,0.5,165.568667,38.717413,93.202576302308,21.794960995611998,3
244.5,0.5,156.088333,31.548258,87.865868765692,17.759271586392,3
245.5,1.0,164.080333,23.578112,46.182378686846,6.636342559744,3
246.0,0.5,149.777333,21.464743,84.31325540169199,12.083018988531999,3
246.5,0.5,132.408,0.0,74.53564099199998,0.0,1
247.0,0.5,191.1545,8.3995,107.605455758,4.728280138,2
247.5,0.5,143.716667,29.014833,80.901561054308,16.333145851692,3
248.0,0.5,157.9285,24.7755,88.901742934,13.946723562,2
248.5,0.5,200.642,0.0,112.94619720799999,0.0,1
249.0,0.5,150.196,23.156188,84.548933104,13.035173973712,3
249.5,0.5,167.42,34.399,94.24473608,19.364022676,2
250.0,0.5,158.5205,23.1705,89.234993942,13.043230542,2
250.5,0.5,157.499,25.49,88.659967076,14.348932759999999,2
251.0,0.5,165.919667,23.299132,93.400162626308,13.115640581968,3
251.5,0.5,133.22,0.0,74.99273527999999,0.0,1
252.0,0.5,157.658,25.286,88.749471992,14.234096264,2
252.5,0.5,164.802667,22.246688,92.771376518308,12.523194595711999,3
253.0,0.5,149.875333,23.3784,84.368421953692,13.160262441599999,3
253.5,0.5,132.917,0.0,74.822169308,0.0,1
254.0,0.5,181.897,0.32,102.39418682799999,0.18013568,2
254.5,0.5,149.994,22.929407,84.43522245599999,12.907513506068,3
255.0,0.5,132.992,0.0,74.864388608,0.0,1
255.5,0.5,181.4345,1.5265,102.13383447800001,0.859303486,2
256.0,0.5,150.322667,22.850235,84.62023699830799,12.86294568714,3
256.5,0.5,167.461,34.46,94.26781596400001,19.39836104,2
257.0,0.5,181.347,0.0,102.084578628,0.0,1
257.5,0.5,148.782667,24.108349,83.753334038308,13.571168252476,3
258.0,0.5,157.6855,24.5625,88.76495240199999,13.82682075,2
258.5,0.5,181.263,0.0,102.037293012,0.0,1
259.0,0.5,149.572,23.446758,84.197668528,13.198742800391999,3
259.5,0.5,165.908667,23.090541,93.393970462308,12.998219701884,3
260.0,0.5,158.273,24.639,89.09567025199999,13.869884436,2
260.5,0.5,134.6245,1.3825,75.783362038,0.77824243,2
261.0,0.5,189.929,9.769,106.915592396,5.499204556,2
261.5,0.5,144.138333,28.763411,81.138926965692,16.191614373764,3
262.0,0.5,133.232,0.0,74.999490368,0.0,1
262.5,0.5,201.5145,0.2855,113.437348398,0.160714802,2
263.0,0.5,150.395667,23.093974,84.661330450308,13.000152219976,3
263.5,0.5,133.269,0.0,75.020318556,0.0,1
264.0,0.5,184.176,0.48,103.67709062399999,0.27020352,2
264.5,0.5,149.244667,23.965567,84.013404926308,13.490792837908,3
265.0,0.5,133.315,0.0,75.04621306,0.0,1
265.5,0.5,181.946,0.923,102.42177010399999,0.519578852,2
