batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s
32,550,300.27,300.15,300.26,300.2267,0.0544
16,1100,300.01,300.21,300.13,300.1167,0.0822
8,2000,298.07,298.87,298.52,298.4867,0.3274
