step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
5,10.378709,0.5428,0.1812,0.3417,0.0192,58.9529
10,10.239883,0.5431,0.1805,0.3422,0.0194,58.9249
15,10.084751,0.5439,0.1814,0.3427,0.0192,58.8319
20,9.994773,0.5452,0.1816,0.3437,0.0193,58.6950
25,9.831145,0.5423,0.1802,0.3425,0.0190,59.0053
30,9.758471,0.5519,0.1800,0.3522,0.0192,57.9798
35,9.705761,0.5426,0.1795,0.3436,0.0190,58.9710
40,9.646307,0.5436,0.1800,0.3437,0.0192,58.8674
45,9.604844,0.5436,0.1806,0.3435,0.0190,58.8648
50,9.544926,0.5448,0.1810,0.3440,0.0192,58.7408
55,9.533617,0.5499,0.1816,0.3488,0.0190,58.1966
60,9.517399,0.5435,0.1804,0.3436,0.0190,58.8808
65,9.513822,0.5438,0.1798,0.3443,0.0192,58.8424
70,9.475223,0.5451,0.1801,0.3452,0.0192,58.7053
75,9.481490,0.5435,0.1797,0.3443,0.0190,58.8741
80,9.477919,0.5449,0.1810,0.3443,0.0191,58.7236
85,9.476044,0.5457,0.1803,0.3455,0.0194,58.6388
90,9.476017,0.5458,0.1800,0.3461,0.0192,58.6306
95,9.456731,0.5457,0.1814,0.3446,0.0191,58.6442
100,9.445028,0.5460,0.1809,0.3453,0.0192,58.6095
105,9.451879,0.5541,0.1818,0.3526,0.0192,57.7532
110,9.438404,0.5463,0.1809,0.3457,0.0193,58.5727
115,9.444027,0.5509,0.1810,0.3500,0.0194,58.0836
120,9.426225,0.5467,0.1808,0.3461,0.0193,58.5331
125,9.435316,0.5470,0.1813,0.3458,0.0193,58.5024
130,9.425250,0.5469,0.1811,0.3463,0.0190,58.5092
135,9.423784,0.5473,0.1820,0.3457,0.0191,58.4660
140,9.433915,0.5521,0.1820,0.3504,0.0192,57.9606
145,9.434896,0.5469,0.1811,0.3461,0.0191,58.5168
150,9.428045,0.5472,0.1811,0.3464,0.0192,58.4758
155,9.409461,0.5468,0.1814,0.3456,0.0192,58.5266
160,9.426721,0.5469,0.1810,0.3463,0.0191,58.5158
165,9.421525,0.5467,0.1810,0.3459,0.0193,58.5296
170,9.422318,0.5471,0.1813,0.3462,0.0191,58.4888
175,9.421269,0.5460,0.1802,0.3461,0.0192,58.6109
180,9.420452,0.5502,0.1813,0.3493,0.0191,58.1588
185,9.420011,0.5469,0.1813,0.3460,0.0191,58.5063
190,9.425197,0.5473,0.1812,0.3464,0.0192,58.4688
195,9.422590,0.5477,0.1817,0.3463,0.0192,58.4279
200,9.409884,0.5471,0.1816,0.3460,0.0190,58.4876
205,9.403123,0.5611,0.1819,0.3595,0.0193,57.0303
210,9.411632,0.5474,0.1819,0.3459,0.0191,58.4623
215,9.402417,0.5479,0.1826,0.3457,0.0191,58.4094
220,9.417781,0.5481,0.1813,0.3468,0.0194,58.3881
225,9.402123,0.5609,0.1817,0.3596,0.0191,57.0541
230,9.421367,0.5607,0.1820,0.3590,0.0191,57.0743
235,9.402556,0.5608,0.1821,0.3587,0.0194,57.0626
240,9.385682,0.5612,0.1820,0.3595,0.0192,57.0214
245,9.408605,0.5485,0.1823,0.3466,0.0190,58.3450
250,9.406333,0.5491,0.1822,0.3472,0.0193,58.2737
255,9.406458,0.5480,0.1821,0.3463,0.0191,58.3899
260,9.398104,0.5485,0.1828,0.3462,0.0191,58.3385
265,9.377046,0.5481,0.1820,0.3466,0.0191,58.3782
270,9.412031,0.5484,0.1820,0.3468,0.0190,58.3531
275,9.405176,0.5477,0.1815,0.3464,0.0193,58.4233
280,9.406428,0.5478,0.1822,0.3458,0.0192,58.4162
285,9.405560,0.5478,0.1814,0.3467,0.0192,58.4158
290,9.399776,0.5606,0.1816,0.3592,0.0191,57.0798
295,9.395220,0.5606,0.1812,0.3598,0.0191,57.0803
300,9.387299,0.5477,0.1813,0.3469,0.0191,58.4229
305,9.414950,0.5560,0.1826,0.3515,0.0214,57.5523
310,9.401562,0.5468,0.1811,0.3462,0.0190,58.5188
315,9.397704,0.5480,0.1816,0.3467,0.0193,58.3937
320,9.407886,0.5474,0.1811,0.3466,0.0192,58.4567
325,9.405272,0.5480,0.1824,0.3459,0.0192,58.3921
330,9.400930,0.5601,0.1818,0.3589,0.0190,57.1301
335,9.390590,0.5477,0.1814,0.3468,0.0190,58.4266
340,9.373735,0.5505,0.1819,0.3490,0.0191,58.1294
345,9.405404,0.5478,0.1814,0.3465,0.0193,58.4174
350,9.377978,0.5473,0.1820,0.3457,0.0192,58.4642
355,9.389324,0.5480,0.1820,0.3463,0.0192,58.3971
360,9.405718,0.5475,0.1817,0.3462,0.0191,58.4450
365,9.404172,0.5477,0.1813,0.3467,0.0191,58.4208
370,9.391285,0.5472,0.1821,0.3454,0.0191,58.4837
375,9.400092,0.5608,0.1818,0.3594,0.0191,57.0611
380,9.392775,0.5604,0.1812,0.3597,0.0190,57.1004
385,9.388195,0.5483,0.1818,0.3467,0.0192,58.3642
390,9.395100,0.5536,0.1822,0.3517,0.0192,57.8070
395,9.394749,0.5476,0.1823,0.3457,0.0191,58.4402
400,9.385715,0.5610,0.1820,0.3592,0.0192,57.0397
405,9.384218,0.5606,0.1815,0.3595,0.0191,57.0796
410,9.388288,0.5486,0.1824,0.3465,0.0192,58.3343
415,9.394824,0.5495,0.1829,0.3469,0.0193,58.2312
420,9.381893,0.5484,0.1830,0.3458,0.0192,58.3498
425,9.396894,0.5616,0.1823,0.3598,0.0191,56.9755
430,9.386546,0.5608,0.1815,0.3598,0.0190,57.0631
435,9.386348,0.5602,0.1814,0.3593,0.0190,57.1197
440,9.373459,0.5593,0.1821,0.3576,0.0191,57.2175
445,9.385549,0.5479,0.1823,0.3461,0.0191,58.4002
450,9.391579,0.5478,0.1821,0.3460,0.0191,58.4194
455,9.373879,0.5480,0.1820,0.3459,0.0194,58.3987
460,9.392044,0.5600,0.1815,0.3589,0.0191,57.1408
465,9.402800,0.5597,0.1826,0.3574,0.0191,57.1685
470,9.374453,0.5475,0.1821,0.3458,0.0191,58.4528
475,9.384427,0.5480,0.1823,0.3461,0.0191,58.3945
480,9.375063,0.5480,0.1821,0.3463,0.0191,58.3918
485,9.380754,0.5476,0.1818,0.3461,0.0192,58.4320
490,9.380840,0.5486,0.1822,0.3467,0.0191,58.3342
495,9.383053,0.5478,0.1819,0.3462,0.0193,58.4104
500,9.379744,0.5481,0.1818,0.3468,0.0190,58.3792
505,9.368361,0.5478,0.1821,0.3462,0.0190,58.4148
510,9.378833,0.5489,0.1823,0.3466,0.0193,58.2965
515,9.361822,0.5485,0.1824,0.3463,0.0192,58.3458
520,9.376858,0.5482,0.1826,0.3459,0.0192,58.3749
525,9.386632,0.5485,0.1817,0.3471,0.0192,58.3413
530,9.369208,0.5480,0.1817,0.3468,0.0191,58.3920
535,9.372966,0.5482,0.1824,0.3461,0.0192,58.3737
540,9.364854,0.5482,0.1821,0.3465,0.0191,58.3772
545,9.375979,0.5598,0.1821,0.3581,0.0191,57.1643
