batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s,e1_avg_s,overhead_vs_e1_pct,within_5pct
32,550,300.59,300.54,301.07,300.7333,0.2389,300.0000,0.2444,yes
16,1100,300.34,300.18,300.48,300.3333,0.1226,300.2067,0.0422,yes
8,2000,299.02,298.94,297.66,298.5400,0.6231,297.8433,0.2339,yes
