timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
246.5,95.666667,2.357023,10923.250000,0.000000,1.433333,0.094281,131.703667,0.217877,227.451719,0.968504,3
247.0,94.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,122.383500,10.188500,211.173909,17.699370,2
247.5,94.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,130.270500,5.583500,219.853334,14.220588,2
248.0,95.666667,2.357023,10923.250000,0.000000,1.333333,0.047140,125.444000,8.367562,216.870536,14.376317,3
248.5,96.000000,1.000000,10923.250000,0.000000,1.500000,0.000000,130.558500,0.299500,220.696602,3.758471,2
249.0,97.000000,2.160247,10923.250000,0.000000,1.300000,0.000000,126.140000,10.573265,218.096389,18.507922,3
249.5,98.000000,2.828427,10923.250000,0.000000,1.300000,0.000000,130.769333,4.217679,222.732855,11.450634,3
250.0,98.333333,2.357023,10923.250000,0.000000,1.400000,0.081650,131.824000,0.067631,228.084304,0.633279,3
250.5,98.000000,1.000000,10923.250000,0.000000,1.400000,0.100000,122.368000,9.939000,211.045595,16.997023,2
251.0,100.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,131.086000,4.847000,222.011773,12.189669,2
251.5,98.000000,2.828427,10923.250000,0.000000,1.333333,0.047140,124.791000,8.130975,215.239646,13.773627,3
252.0,96.500000,2.500000,10923.250000,0.000000,1.400000,0.000000,133.206000,2.604000,229.675814,4.205641,2
252.5,96.000000,2.828427,10923.250000,0.000000,1.433333,0.094281,124.637000,9.138608,214.852363,15.986793,3
253.0,96.000000,2.828427,10923.250000,0.000000,1.366667,0.094281,131.778333,2.801614,224.568180,7.974113,3
253.5,96.000000,2.160247,10923.250000,0.000000,1.333333,0.047140,130.388000,1.221706,225.025259,3.017346,3
254.0,95.500000,1.500000,10923.250000,0.000000,1.350000,0.050000,112.109500,0.561500,193.635115,1.226770,2
254.5,94.000000,0.000000,10923.250000,0.000000,1.400000,0.100000,131.139500,5.122500,222.244882,13.220119,2
255.0,96.333333,2.624669,10923.250000,0.000000,1.300000,0.000000,132.660667,2.680446,229.093768,4.897958,3
255.5,97.500000,2.500000,10923.250000,0.000000,1.350000,0.050000,131.553500,0.812500,227.380624,1.660133,2
256.0,97.000000,2.449490,10923.250000,0.000000,1.433333,0.094281,123.380667,7.882123,210.273375,13.030430,3
256.5,98.000000,2.828427,10923.250000,0.000000,1.300000,0.000000,130.940333,3.648234,223.115119,9.539658,3
257.0,98.000000,2.160247,10923.250000,0.000000,1.333333,0.047140,131.574000,0.217748,227.431683,0.971317,3
257.5,95.000000,1.000000,10923.250000,0.000000,1.400000,0.000000,112.575000,0.159000,193.981518,0.003666,2
258.0,100.000000,0.000000,10923.250000,0.000000,1.450000,0.050000,132.058000,4.206000,223.641663,10.999322,2
258.5,98.000000,2.828427,10923.250000,0.000000,1.300000,0.000000,132.272667,2.811948,228.022159,5.387960,3
259.0,96.500000,2.500000,10923.250000,0.000000,1.400000,0.000000,131.708500,0.869500,227.916359,2.024874,2
259.5,96.000000,2.828427,10923.250000,0.000000,1.300000,0.081650,123.163000,7.942331,209.794696,13.369501,3
260.0,95.666667,2.357023,10923.250000,0.000000,1.433333,0.047140,132.680000,1.890376,228.715546,3.496015,3
260.5,94.666667,0.471405,10923.250000,0.000000,1.333333,0.047140,125.222333,9.489149,216.342955,17.011578,3
261.0,96.500000,1.500000,10923.250000,0.000000,1.350000,0.050000,124.375000,10.980000,214.364206,18.612571,2
261.5,94.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,127.428000,2.888000,214.886132,9.718190,2
262.0,96.000000,2.828427,10923.250000,0.000000,1.433333,0.047140,133.065000,2.328915,229.847013,3.817057,3
262.5,97.500000,2.500000,10923.250000,0.000000,1.350000,0.050000,131.921500,0.688500,228.021798,1.706846,2
263.0,96.666667,2.494438,10923.250000,0.000000,1.333333,0.047140,122.100333,9.041731,206.932550,15.127829,3
263.5,99.000000,1.414214,10923.250000,0.000000,1.400000,0.081650,125.743333,9.757445,217.656081,16.620708,3
264.0,99.666667,0.471405,10923.250000,0.000000,1.366667,0.094281,133.172333,1.989521,230.371612,2.958298,3
264.5,97.000000,3.000000,10923.250000,0.000000,1.300000,0.100000,121.797500,8.981500,209.712946,15.512397,2
265.0,100.000000,0.000000,10923.250000,0.000000,1.450000,0.050000,128.409500,1.557500,217.546055,6.078117,2
265.5,97.666667,2.624669,10923.250000,0.000000,1.400000,0.081650,132.322333,2.870510,228.381566,5.289158,3
266.0,96.500000,2.500000,10923.250000,0.000000,1.350000,0.050000,131.519500,1.021500,227.234248,2.119832,2
266.5,94.333333,0.471405,10923.250000,0.000000,1.366667,0.094281,116.401000,6.510712,197.520734,6.672486,3
267.0,94.333333,0.471405,10923.250000,0.000000,1.366667,0.094281,134.895333,1.309169,233.320623,1.758704,3
267.5,94.333333,0.471405,10923.250000,0.000000,1.333333,0.047140,132.081333,0.370176,228.551868,0.672453,3
268.0,96.000000,2.000000,10923.250000,0.000000,1.400000,0.100000,120.175000,6.882000,203.670131,8.245203,2
268.5,94.000000,0.000000,10923.250000,0.000000,1.400000,0.100000,128.269500,2.241500,216.893721,7.607378,2
269.0,96.333333,2.624669,10923.250000,0.000000,1.333333,0.047140,132.039667,2.607380,227.405748,4.270036,3
269.5,97.500000,2.500000,10923.250000,0.000000,1.500000,0.000000,131.713500,1.242500,228.274966,3.022077,2
270.0,98.000000,1.414214,10923.250000,0.000000,1.333333,0.047140,117.067667,6.901878,199.091123,7.848103,3
270.5,100.000000,0.000000,10923.250000,0.000000,1.433333,0.047140,134.187000,2.271437,231.215289,4.068111,3
271.0,99.666667,0.471405,10923.250000,0.000000,1.433333,0.047140,131.802667,0.241446,228.068318,0.912241,3
271.5,97.000000,3.000000,10923.250000,0.000000,1.400000,0.000000,121.772000,9.167000,209.540236,16.074977,2
272.0,99.500000,0.500000,10923.250000,0.000000,1.350000,0.050000,127.849000,3.396000,215.472445,10.523733,2
272.5,96.000000,2.828427,10923.250000,0.000000,1.400000,0.081650,126.272333,10.725896,218.205695,19.112206,3
273.0,95.666667,2.357023,10923.250000,0.000000,1.433333,0.124722,132.447000,1.749082,228.662069,2.892033,3
273.5,94.000000,0.000000,10923.250000,0.000000,1.450000,0.050000,119.637500,7.652500,202.330525,9.230193,2
274.0,94.333333,0.471405,10923.250000,0.000000,1.333333,0.047140,132.610333,2.137856,228.901383,3.657754,3
274.5,94.666667,0.471405,10923.250000,0.000000,1.400000,0.081650,131.467333,0.333227,227.291433,1.063854,3
275.0,96.500000,1.500000,10923.250000,0.000000,1.350000,0.050000,122.146500,8.912500,211.000874,15.862823,2
275.5,95.500000,1.500000,10923.250000,0.000000,1.450000,0.050000,118.380000,6.215000,199.310335,6.049138,2
276.0,98.000000,2.828427,10923.250000,0.000000,1.400000,0.000000,134.408333,2.297906,232.128349,3.554342,3
276.5,98.333333,2.357023,10923.250000,0.000000,1.333333,0.047140,131.235333,0.971136,226.554785,2.085493,3
277.0,98.000000,2.000000,10923.250000,0.000000,1.450000,0.050000,119.278500,7.623500,201.522650,8.956910,2
277.5,100.000000,0.000000,10923.250000,0.000000,1.366667,0.047140,132.492000,2.589367,228.444923,4.521838,3
278.0,99.333333,0.471405,10923.250000,0.000000,1.466667,0.124722,131.449667,0.295895,227.033422,0.825549,3
278.5,94.500000,0.500000,10923.250000,0.000000,1.400000,0.000000,112.224000,0.319000,193.443662,0.167209,2
279.0,97.500000,2.500000,10923.250000,0.000000,1.400000,0.100000,130.008500,2.888500,220.847617,8.725326,2
279.5,96.000000,2.828427,10923.250000,0.000000,1.433333,0.124722,132.240667,2.817220,227.725318,5.662638,3
280.0,96.000000,2.160247,10923.250000,0.000000,1.366667,0.124722,131.052000,0.980923,226.296621,1.917524,3
280.5,94.000000,0.000000,10923.250000,0.000000,1.350000,0.050000,121.588000,9.868000,209.418015,16.560776,2
281.0,94.666667,0.471405,10923.250000,0.000000,1.333333,0.047140,132.928000,2.193723,228.966452,4.032352,3
281.5,95.666667,1.247219,10923.250000,0.000000,1.433333,0.047140,118.517667,9.276084,204.756501,16.415164,3
282.0,100.000000,0.000000,10923.250000,0.000000,1.450000,0.150000,135.579000,0.731000,233.980910,0.993786,2
282.5,97.000000,3.000000,10923.250000,0.000000,1.350000,0.050000,128.709000,2.126000,218.147528,7.487088,2
283.0,98.000000,2.828427,10923.250000,0.000000,1.333333,0.047140,130.717333,0.963921,225.311648,1.712608,3
283.5,98.000000,2.160247,10923.250000,0.000000,1.366667,0.047140,130.911000,0.540024,225.628039,0.786017,3
284.0,98.000000,1.000000,10923.250000,0.000000,1.350000,0.050000,122.584500,10.576500,212.286225,19.030757,2
284.5,97.666667,2.624669,10923.250000,0.000000,1.433333,0.124722,125.158000,10.044930,212.607663,16.967222,3
285.0,96.333333,2.624669,10923.250000,0.000000,1.366667,0.047140,126.432000,10.512725,218.379896,18.313208,3
285.5,94.000000,0.000000,10923.250000,0.000000,1.400000,0.000000,132.996500,2.357500,229.993006,4.538420,2
286.0,97.500000,2.500000,10923.250000,0.000000,1.450000,0.050000,130.552500,0.461500,224.684102,1.506900,2
286.5,96.000000,2.160247,10923.250000,0.000000,1.466667,0.169967,131.660333,0.355627,227.341327,0.888944,3
287.0,95.000000,1.414214,10923.250000,0.000000,1.333333,0.047140,118.373000,9.661128,204.055685,17.108856,3
287.5,96.333333,2.624669,10923.250000,0.000000,1.433333,0.124722,134.227667,1.353841,231.817710,1.969129,3
288.0,94.500000,0.500000,10923.250000,0.000000,1.500000,0.000000,130.306500,0.594500,220.595664,5.424392,2
288.5,97.333333,2.494438,10923.250000,0.000000,1.366667,0.047140,124.864667,8.873132,215.463943,15.290989,3
289.0,100.000000,0.000000,10923.250000,0.000000,1.400000,0.100000,132.623000,2.356000,228.548830,4.362536,2
