timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
46.1639,95,42,6111.25,0.5,3.4,17481.77
46.7961,91,48,6111.25,0.5,3.4,17481.77
47.4247,95,44,6111.25,0.5,3.4,17481.77
48.0510,95,41,6111.25,0.6,3.4,17481.77
48.6786,95,41,6111.25,0.5,3.4,17481.77
49.3074,95,41,6111.25,0.5,3.4,17481.77
49.9350,95,44,6111.25,0.5,3.4,17481.77
50.5643,95,42,6111.25,0.5,3.4,17481.77
51.1894,91,48,6111.25,0.5,3.4,17482.26
51.8190,95,45,6111.25,0.5,3.4,17482.26
52.4465,95,41,6111.25,0.5,3.4,17482.26
53.0751,95,41,6111.25,0.5,3.4,17482.26
53.7042,95,41,6111.25,0.5,3.4,17482.26
54.3317,95,44,6111.25,0.5,3.4,17482.26
54.9620,95,42,6111.25,0.5,3.4,17482.26
55.5911,91,47,6111.25,0.5,3.4,17482.26
56.2203,95,44,6111.25,0.5,3.4,17482.26
56.8476,95,41,6111.25,0.5,3.4,17482.26
57.4781,95,41,6111.25,0.5,3.4,17482.26
58.1051,95,41,6111.25,0.6,3.4,17482.26
58.7345,95,44,6111.25,0.5,3.4,17482.25
59.3638,94,41,6111.25,0.5,3.4,17482.25
59.9940,91,47,6111.25,0.5,3.4,17482.25
60.6226,95,43,6111.25,0.5,3.4,17482.25
61.2491,95,41,6111.25,0.5,3.4,17482.25
61.8799,95,41,6111.25,0.5,3.4,17482.25
62.5069,95,41,6111.25,0.6,3.4,17488.65
63.1369,95,44,6111.25,1.3,3.4,17517.39
63.7662,91,41,6111.25,0.8,3.4,17523.50
64.3975,91,47,6111.25,0.9,3.4,17526.05
65.0257,95,41,6111.25,0.5,3.4,17527.12
65.6578,95,45,6111.25,0.7,3.4,17529.03
66.2857,95,41,6111.25,0.5,3.4,17530.34
66.9182,95,43,6111.25,0.5,3.4,17530.34
67.5442,95,45,6111.25,0.5,3.4,17530.34
68.1790,92,45,6111.25,0.6,3.4,17530.05
68.8105,95,47,6111.25,0.5,3.4,17530.05
