step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
5,10.316570,0.1472,0.0428,0.0849,0.0191,54.3534
10,10.113677,0.1473,0.0430,0.0848,0.0190,54.3173
15,9.834721,0.1483,0.0431,0.0854,0.0193,53.9610
20,9.577343,0.1473,0.0426,0.0850,0.0192,54.3266
25,9.329809,0.1490,0.0431,0.0862,0.0193,53.6832
30,9.071940,0.1486,0.0430,0.0860,0.0192,53.8376
35,8.960503,0.1485,0.0429,0.0861,0.0191,53.8541
40,8.766553,0.1485,0.0430,0.0859,0.0192,53.8643
45,8.707902,0.1490,0.0430,0.0860,0.0193,53.6739
50,8.622252,0.1452,0.0427,0.0828,0.0192,55.1090
55,8.583507,0.1488,0.0438,0.0854,0.0192,53.7499
60,8.491740,0.1473,0.0426,0.0849,0.0194,54.3223
65,8.481892,0.1473,0.0427,0.0849,0.0193,54.3225
70,8.440254,0.1501,0.0439,0.0866,0.0191,53.3083
75,8.389596,0.1487,0.0430,0.0859,0.0194,53.7912
80,8.377357,0.1477,0.0428,0.0853,0.0191,54.1671
85,8.411217,0.1473,0.0428,0.0850,0.0191,54.3005
90,8.345931,0.1479,0.0426,0.0855,0.0193,54.0851
95,8.346562,0.1480,0.0428,0.0854,0.0192,54.0600
100,8.329677,0.1482,0.0429,0.0857,0.0191,53.9870
105,8.355847,0.1503,0.0434,0.0871,0.0194,53.2144
110,8.314494,0.1497,0.0432,0.0868,0.0193,53.4463
115,8.336905,0.1486,0.0430,0.0859,0.0192,53.8414
120,8.331794,0.1480,0.0429,0.0855,0.0192,54.0437
125,8.323150,0.1478,0.0428,0.0855,0.0190,54.1191
130,8.289161,0.1500,0.0435,0.0867,0.0194,53.3394
135,8.306543,0.1477,0.0429,0.0853,0.0190,54.1780
140,8.289622,0.1483,0.0430,0.0857,0.0193,53.9294
145,8.310023,0.1503,0.0433,0.0874,0.0191,53.2353
150,8.282864,0.1491,0.0442,0.0853,0.0192,53.6521
155,8.315015,0.1487,0.0432,0.0860,0.0191,53.8047
160,8.326777,0.1506,0.0436,0.0872,0.0193,53.1319
165,8.313558,0.1488,0.0441,0.0851,0.0191,53.7664
170,8.293650,0.1496,0.0437,0.0859,0.0194,53.4853
