timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
0.0,0.0,0.0,0.0,0.0,0.0,3
0.5,0.5,130.22,1.645504,143.63552484,1.815027113088,3
1.0,0.5,118.679333,11.497874,130.905915244326,12.682407975228,3
2.0,1.0,244.446333,9.925019,134.814841559163,5.473757153709,3
2.5,0.5,133.135,0.466983,146.85083397,0.5150925226259999,3
3.5,1.0,111.690333,1.975711,61.598447243162994,1.0896263493209999,3
4.0,0.5,125.123,9.78082,138.013421706,10.788459638039999,3
5.0,1.0,236.278333,7.414104,130.310099711163,4.088959911144,3
5.5,0.5,134.613333,2.507382,148.48146779232601,2.765697508404,3
6.0,0.5,120.548333,8.919877,132.967463362326,9.838820568293999,3
6.5,0.5,127.732667,9.952585,140.891941819674,10.977920211869998,3
7.5,1.0,243.045667,10.480505,134.042358852837,5.780113793055,3
8.0,0.5,119.925667,9.280964,132.280649065674,10.237107473208,3
8.5,0.5,126.16,10.26834,139.15725551999998,11.326204923479999,3
9.0,0.5,132.315,0.0,145.94635592999998,0.0,1
9.5,0.5,114.642,0.989,126.45264812399999,1.090888758,2
10.5,1.0,243.105667,10.218246,134.075449512837,5.635475069706,3
11.0,0.5,133.231667,0.840552,146.95745979767398,0.9271473481439999,3
11.5,0.5,114.885667,1.195598,126.721418185674,1.318770897156,3
12.0,0.5,120.024667,10.259617,132.38984824367398,11.316583262574,3
13.0,1.0,242.910667,11.289483,133.96790486783698,6.226274058813,3
13.5,0.5,133.452333,1.232241,147.200859250326,1.3591889323019999,3
14.0,0.5,112.847667,1.895272,124.473459349674,2.090526711984,3
14.5,0.5,134.904333,0.115989,148.802447194326,0.127938418758,3
15.5,1.0,232.117,0.0,128.015078787,0.0,1
16.0,0.5,248.7765,0.2825,274.405952583,0.31160371499999995,2
16.5,0.5,123.797333,10.238733,136.551181840326,11.293547751125999,3
17.0,0.5,135.149333,1.196877,149.07268758432602,1.320181662294,3
17.5,0.5,115.741333,1.55272,127.665236608326,1.7126843198400001,3
18.5,1.0,249.916667,0.424299,137.831790933837,0.23400556578899998,3
19.0,0.5,118.433333,9.671929,130.634571832326,10.668350469438,3
19.5,0.5,129.005667,10.469703,142.296088825674,11.548312742466,3
20.0,0.5,114.031333,1.396469,125.779068988326,1.540336029318,3
21.0,1.0,252.138,0.0,139.05688051799999,0.0,1
21.5,0.5,212.825,56.522671,234.75065714999997,62.345749611762,3
22.0,0.5,131.8825,0.1665,145.469298915,0.183653163,2
22.5,0.5,113.309,3.134919,124.98231979799999,3.457884625218,3
23.0,0.5,118.607,9.628465,130.826130354,10.62040872123,3
24.0,1.0,251.311,1.651676,138.600780921,0.9109174824359999,3
24.5,0.5,126.789667,9.753149,139.85179207367398,10.757937916278,3
25.0,0.5,120.623,10.835401,133.049822706,11.951685681822,3
25.5,0.5,127.780667,9.373056,140.94488687567397,10.338686975232,3
26.5,1.0,244.256333,9.77108,134.710054469163,5.3888581018799995,3
27.0,0.5,138.499,0.0,152.767443978,0.0,1
27.5,0.5,126.553333,10.601387,139.591110472326,11.693563091514001,3
28.0,0.5,122.030333,10.07096,134.602141966326,11.108490441119999,3
28.5,0.5,125.1095,8.6635,137.99853090899998,9.556031097,2
29.5,1.0,248.942,2.541536,137.294251362,1.4016850608959999,3
30.0,0.5,118.885667,10.117511,131.13350618567398,11.159837218242,3
30.5,0.5,128.233333,9.434245,141.44418743232598,10.40617978839,3
31.0,0.5,120.838,10.304819,133.28697243599999,11.366442063017999,3
32.0,1.0,244.718333,10.059743,134.964852551163,5.548058921672999,3
32.5,0.5,133.534,0.0,147.29093974799997,0.0,1
33.0,0.5,129.983333,9.039385,143.374475932326,9.97064052147,3
33.5,0.5,127.94,8.675131,141.12063468,9.568860345882,3
34.0,0.5,125.2295,8.0845,138.130893549,8.917381359,2
35.0,1.0,237.755,9.657598,131.124497805,5.3262715305779995,3
35.5,0.5,128.772333,12.230194,142.038716290326,13.490173046267998,3
36.0,0.5,133.545,2.847063,147.30307298999998,3.1403731243859996,3
36.5,0.5,113.437333,2.52175,125.12387392032599,2.7815457285,3
37.5,1.0,251.2885,2.7855,138.5883719235,1.5362338905,2
38.0,0.5,163.847333,59.36407,180.72721294032598,65.47987521953999,3
38.5,0.5,134.357,0.357,148.198726854,0.39377885399999996,2
39.0,0.5,113.891333,1.222435,125.624645908326,1.34837269857,3
39.5,0.5,136.4715,0.3875,150.531066873,0.427421025,2
40.0,0.5,253.686,0.0,279.821239092,0.0,1
40.5,0.5,241.365,10.281,266.23090503,11.340169182,2
41.0,0.5,126.891333,10.107649,139.963931908326,11.148959215278,3
41.5,0.5,121.031,11.127609,133.499855682,12.273997534398,3
42.0,0.5,128.060333,9.716062,141.253364626326,10.717030139364,3
43.0,1.0,240.314,10.069,132.535814454,5.553164259,2
43.5,0.5,167.282333,61.67342,184.516093510326,68.02713907524,3
44.0,0.5,126.137667,9.547727,139.13262172967399,10.531352930994,3
44.5,0.5,123.7015,11.2805,136.44547593299998,12.442639671,2
45.0,0.5,126.6115,10.0045,139.655269953,11.035183599,2
45.5,0.5,229.619,0.0,253.27480861799998,0.0,1
46.0,0.5,254.172,1.133,280.357307784,1.249723926,2
46.5,0.5,127.320667,10.469377,140.437496755674,11.547953157294,3
47.0,0.5,128.378667,9.732098,141.604494031674,10.734718200156,3
47.5,0.5,122.751,9.890732,135.397053522,10.909694992103999,3
48.5,1.0,241.9375,10.6245,133.4311925625,5.8595286195,2
49.0,0.5,174.128667,53.869269,192.067750531674,59.418988830918,3
49.5,0.5,126.909,8.433317,139.983418998,9.302134183974001,3
50.0,0.5,112.7895,1.2195,124.409299869,1.3451353289999999,2
50.5,0.5,126.1565,9.2025,139.153394943,10.150559955,2
51.0,0.5,252.009,0.0,277.97147119799996,0.0,1
51.5,0.5,210.608,54.951361,232.305257376,60.61256011294199,3
52.0,0.5,133.5095,0.4905,147.263915709,0.5410322909999999,2
