step,loss,step_s,forward_s,backward_s,optimizer_s
1,,0.281831,0.140095,0.100506,0.041058
2,,0.142297,0.042045,0.080706,0.019125
3,,0.147765,0.042337,0.085757,0.019359
4,,0.146826,0.042156,0.085203,0.019117
5,,0.149386,0.042978,0.086762,0.019079
6,,0.150378,0.043725,0.087067,0.019206
7,,0.147987,0.043299,0.085328,0.019042
8,,0.147048,0.042100,0.085328,0.019280
9,,0.147200,0.042340,0.085375,0.019154
10,,0.148924,0.042479,0.086862,0.019129
11,,0.146740,0.042255,0.085063,0.019086
12,,0.146810,0.042288,0.085019,0.019155
13,,0.149173,0.042519,0.086973,0.019337
14,,0.147306,0.042355,0.085361,0.019255
15,,0.148351,0.043634,0.085069,0.019311
16,,0.147101,0.042433,0.085102,0.019209
17,,0.149905,0.043489,0.087017,0.019071
18,,0.147365,0.042314,0.085591,0.019122
19,,0.143769,0.042195,0.082250,0.018979
20,,0.148064,0.042627,0.085961,0.019140
21,,0.147644,0.042239,0.085718,0.019350
22,,0.147795,0.042754,0.085595,0.019086
23,,0.148154,0.042468,0.086263,0.019098
24,,0.148474,0.042582,0.086266,0.019293
25,,0.148944,0.043652,0.085834,0.019089
26,,0.147312,0.042417,0.085436,0.019061
27,,0.148667,0.042569,0.086616,0.019152
28,,0.148247,0.042602,0.085974,0.019332
29,,0.144960,0.042628,0.082684,0.019310
30,,0.150677,0.042985,0.088210,0.019137
31,,0.149094,0.042551,0.087089,0.019114
32,,0.147705,0.042468,0.085707,0.019185
33,,0.147316,0.042087,0.085683,0.019208
34,,0.148892,0.043181,0.086066,0.019311
35,,0.149508,0.042744,0.087181,0.019229
36,,0.147517,0.042556,0.085551,0.019069
37,,0.147359,0.042173,0.085607,0.019242
38,,0.148077,0.042363,0.086163,0.019191
39,,0.147143,0.042457,0.085347,0.019008
40,,0.148156,0.042145,0.085706,0.019792
41,,0.147547,0.042754,0.085093,0.019317
42,,0.148756,0.042488,0.086641,0.019294
43,,0.148091,0.042529,0.086064,0.019171
44,,0.148404,0.043638,0.085401,0.019031
45,,0.147163,0.042388,0.085286,0.019150
46,,0.149684,0.043241,0.086831,0.019276
47,,0.148153,0.042518,0.086071,0.019217
48,,0.144638,0.042402,0.082863,0.019021
49,,0.148887,0.043140,0.086323,0.019091
50,,0.149949,0.043495,0.086895,0.019215
51,,0.148083,0.042584,0.085966,0.019138
52,,0.147290,0.042214,0.085695,0.019030
53,,0.150017,0.043024,0.087290,0.019341
54,,0.149591,0.042749,0.087332,0.019165
55,,0.147590,0.042451,0.085816,0.018991
56,,0.147547,0.042244,0.085629,0.019343
57,,0.148281,0.042400,0.086288,0.019260
58,,0.149565,0.042878,0.087201,0.019134
59,,0.147870,0.042525,0.085873,0.019128
60,,0.147704,0.042225,0.085809,0.019292
61,,0.147968,0.042508,0.086078,0.019044
62,,0.149453,0.042889,0.087138,0.019081
63,,0.147645,0.042380,0.085849,0.019043
64,,0.147161,0.042143,0.085630,0.019041
65,,0.148592,0.042488,0.086724,0.018970
66,,0.149549,0.042699,0.086976,0.019499
67,,0.146467,0.042559,0.084563,0.019010
68,,0.147419,0.042233,0.085591,0.019261
69,,0.149235,0.042630,0.087134,0.019141
70,,0.148405,0.042656,0.086242,0.019136
71,,0.147556,0.042268,0.085915,0.019035
72,,0.148586,0.043614,0.085499,0.019135
73,,0.149357,0.042639,0.087086,0.019285
74,,0.148194,0.042645,0.086113,0.019083
75,,0.147555,0.042275,0.085823,0.019124
76,,0.147563,0.042416,0.085758,0.019053
77,,0.149359,0.042724,0.087267,0.018912
78,,0.148004,0.042435,0.085932,0.019296
79,,0.147997,0.042688,0.085864,0.019113
80,,0.148374,0.042489,0.086257,0.019293
81,,0.150014,0.043138,0.087297,0.019227
82,,0.149221,0.043866,0.085924,0.019095
83,,0.149403,0.043484,0.085588,0.019825
84,,0.147774,0.042538,0.085845,0.018976
85,,0.148860,0.042545,0.086908,0.019070
86,,0.148787,0.042786,0.086533,0.019134
87,,0.148228,0.042471,0.086149,0.019273
88,,0.148101,0.042834,0.085800,0.019131
89,,0.148759,0.042523,0.086877,0.019023
90,,0.149804,0.042851,0.087467,0.019134
91,,0.149132,0.043748,0.085672,0.019119
92,,0.148852,0.043725,0.085654,0.019122
93,,0.148083,0.042464,0.085952,0.019243
94,,0.150149,0.042882,0.087781,0.019126
95,,0.147685,0.042725,0.085435,0.019197
96,,0.147602,0.042346,0.085814,0.019111
97,,0.148387,0.042935,0.085997,0.019125
98,,0.149772,0.042834,0.087491,0.019110
99,,0.148519,0.042740,0.086313,0.019132
100,,0.149656,0.043989,0.085860,0.019455
101,,0.147947,0.042421,0.086107,0.019087
102,,0.149058,0.042594,0.086970,0.019150
103,,0.149846,0.042881,0.087601,0.019016
104,,0.147970,0.042669,0.085818,0.019143
105,,0.148017,0.042266,0.086128,0.019294
106,,0.148602,0.042495,0.086558,0.019210
107,,0.150594,0.043007,0.087928,0.019320
108,,0.148405,0.042725,0.086112,0.019234
109,,0.149199,0.044006,0.085609,0.019026
110,,0.148338,0.042966,0.085873,0.019134
111,,0.149392,0.042669,0.087329,0.019036
112,,0.149921,0.042825,0.087644,0.019129
113,,0.147048,0.042595,0.085083,0.019030
114,,0.149025,0.043686,0.085889,0.019113
115,,0.145313,0.042530,0.083507,0.018962
116,,0.148099,0.042572,0.086097,0.019101
117,,0.147977,0.042322,0.086106,0.019190
118,,0.149099,0.043447,0.086256,0.019043
119,,0.149610,0.042714,0.087514,0.019056
120,,0.148187,0.042665,0.086195,0.019009
121,,0.148310,0.042422,0.086252,0.019299
122,,0.147767,0.042576,0.085910,0.018954
123,,0.149887,0.042988,0.087470,0.019108
124,,0.148087,0.042614,0.086202,0.018950
125,,0.148241,0.042808,0.086105,0.019006
126,,0.148328,0.042459,0.086250,0.019279
127,,0.150177,0.042917,0.087950,0.018993
128,,0.148953,0.042820,0.086660,0.019096
129,,0.148151,0.042351,0.086247,0.019074
130,,0.147905,0.042542,0.085946,0.019057
131,,0.149587,0.042730,0.087357,0.019128
