step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
1,10.498446,0.3998,0.1742,0.1850,0.0404,40.0192
2,10.422953,0.2777,0.0864,0.1717,0.0191,57.6142
3,10.429165,0.2797,0.0864,0.1737,0.0193,57.2110
4,10.392390,0.2791,0.0870,0.1726,0.0191,57.3338
5,10.327938,0.2769,0.0862,0.1712,0.0191,57.7840
6,10.324276,0.2787,0.0872,0.1716,0.0194,57.4047
7,10.292526,0.2785,0.0886,0.1704,0.0191,57.4558
8,10.262047,0.2782,0.0867,0.1721,0.0190,57.5027
9,10.250300,0.2776,0.0863,0.1717,0.0192,57.6412
10,10.168387,0.2781,0.0866,0.1720,0.0191,57.5365
11,10.181664,0.2773,0.0866,0.1712,0.0191,57.7078
12,10.104778,0.2769,0.0850,0.1722,0.0193,57.7859
13,10.089549,0.2762,0.0854,0.1712,0.0192,57.9209
14,10.044957,0.2756,0.0859,0.1702,0.0191,58.0579
15,9.970388,0.2792,0.0873,0.1714,0.0199,57.3117
16,9.931710,0.2795,0.0871,0.1728,0.0192,57.2425
17,9.891146,0.2770,0.0863,0.1712,0.0191,57.7615
18,9.861798,0.2789,0.0867,0.1723,0.0195,57.3725
19,9.815138,0.2779,0.0871,0.1713,0.0192,57.5647
20,9.801683,0.2787,0.0870,0.1722,0.0191,57.4104
21,9.723544,0.2780,0.0860,0.1724,0.0192,57.5460
22,9.710545,0.2795,0.0881,0.1716,0.0195,57.2410
23,9.661307,0.2772,0.0865,0.1711,0.0192,57.7168
24,9.634981,0.2791,0.0870,0.1725,0.0193,57.3312
25,9.575636,0.2779,0.0866,0.1716,0.0193,57.5664
26,9.558693,0.2780,0.0864,0.1720,0.0193,57.5526
27,9.538651,0.2770,0.0853,0.1722,0.0191,57.7696
28,9.539967,0.2771,0.0859,0.1716,0.0192,57.7390
29,9.455814,0.2786,0.0869,0.1721,0.0192,57.4216
30,9.459352,0.2803,0.0875,0.1730,0.0193,57.0829
31,11.524480,0.2764,0.0868,0.1700,0.0192,57.8855
32,10.849619,0.2800,0.0875,0.1730,0.0192,57.1417
33,9.404465,0.2778,0.0862,0.1721,0.0191,57.5885
34,9.390007,0.2800,0.0883,0.1718,0.0195,57.1351
35,9.349233,0.2780,0.0866,0.1719,0.0192,57.5471
36,9.355524,0.2801,0.0873,0.1733,0.0192,57.1135
37,9.318378,0.2777,0.0865,0.1718,0.0190,57.6188
38,9.297670,0.2794,0.0871,0.1725,0.0192,57.2749
39,9.326647,0.2779,0.0866,0.1715,0.0193,57.5804
40,9.283473,0.2775,0.0857,0.1722,0.0192,57.6627
41,9.265168,0.2775,0.0865,0.1715,0.0192,57.6543
42,9.263782,0.2754,0.0836,0.1723,0.0192,58.0917
43,9.242435,0.2796,0.0874,0.1725,0.0193,57.2160
44,9.214733,0.2797,0.0871,0.1731,0.0191,57.2007
45,9.220612,0.2787,0.0864,0.1727,0.0192,57.4189
46,9.226930,0.2799,0.0881,0.1722,0.0192,57.1625
47,9.203937,0.2786,0.0868,0.1722,0.0192,57.4331
48,9.182441,0.2798,0.0871,0.1733,0.0191,57.1849
49,9.162306,0.2794,0.0870,0.1725,0.0194,57.2623
50,9.144474,0.2807,0.0874,0.1738,0.0191,56.9916
51,9.157485,0.2781,0.0866,0.1720,0.0191,57.5294
52,9.118395,0.2776,0.0857,0.1723,0.0192,57.6346
53,9.119789,0.2776,0.0864,0.1716,0.0192,57.6373
54,9.114741,0.2806,0.0872,0.1735,0.0195,57.0137
55,9.100463,0.2812,0.0866,0.1751,0.0191,56.8944
56,9.110790,0.2807,0.0876,0.1735,0.0191,57.0010
57,9.084053,0.2793,0.0875,0.1723,0.0192,57.2788
58,9.088819,0.2807,0.0888,0.1724,0.0191,57.0012
59,9.093246,0.2781,0.0868,0.1717,0.0192,57.5279
60,9.090632,0.2812,0.0875,0.1738,0.0195,56.8932
61,9.061496,0.2784,0.0871,0.1718,0.0192,57.4657
62,9.052283,0.2808,0.0876,0.1736,0.0192,56.9832
63,9.074785,0.2781,0.0868,0.1719,0.0191,57.5279
64,9.045343,0.2777,0.0859,0.1722,0.0192,57.6247
65,9.057297,0.2780,0.0866,0.1719,0.0190,57.5603
66,9.033971,0.2809,0.0874,0.1737,0.0192,56.9654
67,9.026296,0.2771,0.0869,0.1706,0.0192,57.7429
68,9.037615,0.2804,0.0875,0.1734,0.0191,57.0603
69,9.036336,0.2797,0.0872,0.1731,0.0191,57.2047
70,9.010328,0.2808,0.0885,0.1726,0.0193,56.9874
71,9.029295,0.2787,0.0870,0.1723,0.0191,57.4035
72,9.007486,0.2807,0.0876,0.1737,0.0191,56.9931
73,9.035003,0.2796,0.0870,0.1724,0.0197,57.2181
74,9.003249,0.2814,0.0880,0.1739,0.0191,56.8511
75,9.014586,0.2784,0.0869,0.1720,0.0191,57.4705
76,8.993737,0.2782,0.0862,0.1725,0.0192,57.5067
77,9.010465,0.2788,0.0870,0.1723,0.0191,57.3914
78,9.000325,0.2811,0.0878,0.1738,0.0191,56.9231
79,8.979072,0.2776,0.0870,0.1709,0.0192,57.6453
80,8.974484,0.2800,0.0875,0.1730,0.0190,57.1413
81,8.982184,0.2799,0.0867,0.1736,0.0193,57.1694
82,8.948852,0.2813,0.0888,0.1731,0.0191,56.8737
83,8.988670,0.2792,0.0871,0.1726,0.0192,57.3110
84,9.003423,0.2818,0.0879,0.1745,0.0191,56.7708
85,8.955289,0.2792,0.0873,0.1723,0.0193,57.3108
86,8.961875,0.2820,0.0882,0.1743,0.0191,56.7414
87,8.987367,0.2806,0.0873,0.1736,0.0193,57.0273
88,8.972201,0.2773,0.0859,0.1716,0.0194,57.6931
89,8.976693,0.2787,0.0872,0.1721,0.0191,57.4078
90,8.933572,0.2804,0.0871,0.1736,0.0192,57.0710
91,8.933088,0.2816,0.0867,0.1753,0.0192,56.8231
92,8.968518,0.2802,0.0873,0.1732,0.0193,57.1082
93,8.960028,0.2794,0.0873,0.1724,0.0193,57.2597
94,8.951133,0.2796,0.0882,0.1719,0.0191,57.2255
95,8.948305,0.2783,0.0866,0.1721,0.0193,57.4961
96,8.946330,0.2809,0.0874,0.1740,0.0191,56.9615
97,8.945946,0.2782,0.0867,0.1719,0.0191,57.5212
98,8.965800,0.2801,0.0872,0.1733,0.0191,57.1271
99,8.914868,0.2781,0.0866,0.1721,0.0190,57.5309
100,8.932485,0.2773,0.0856,0.1722,0.0191,57.6936
101,8.951510,0.2776,0.0863,0.1718,0.0191,57.6445
102,8.967037,0.2807,0.0872,0.1739,0.0192,57.0048
103,8.941948,0.2815,0.0867,0.1751,0.0193,56.8425
104,8.915598,0.2780,0.0855,0.1729,0.0192,57.5633
105,8.947202,0.2800,0.0867,0.1729,0.0198,57.1462
106,8.935892,0.2803,0.0883,0.1724,0.0191,57.0792
107,8.941435,0.2783,0.0866,0.1722,0.0192,57.4862
108,8.936421,0.2810,0.0874,0.1740,0.0192,56.9494
109,8.924682,0.2785,0.0868,0.1722,0.0190,57.4471
110,8.946539,0.2806,0.0873,0.1738,0.0191,57.0147
111,8.922265,0.2783,0.0869,0.1720,0.0191,57.4904
112,8.926442,0.2780,0.0859,0.1727,0.0190,57.5566
113,8.949454,0.2793,0.0872,0.1726,0.0190,57.2960
114,8.923385,0.2808,0.0874,0.1739,0.0191,56.9753
115,8.925793,0.2777,0.0869,0.1712,0.0191,57.6256
116,8.928381,0.2805,0.0875,0.1735,0.0191,57.0452
117,8.931553,0.2796,0.0871,0.1730,0.0191,57.2283
118,8.925181,0.2808,0.0886,0.1727,0.0192,56.9705
119,8.909101,0.2786,0.0870,0.1721,0.0191,57.4334
120,8.934232,0.2814,0.0875,0.1741,0.0193,56.8684
121,8.927471,0.2790,0.0871,0.1724,0.0191,57.3571
122,8.931475,0.2809,0.0876,0.1739,0.0190,56.9600
123,8.919174,0.2784,0.0871,0.1719,0.0190,57.4642
124,8.926095,0.2782,0.0859,0.1727,0.0191,57.5110
