step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
5,10.327938,0.2791,0.0877,0.1713,0.0194,57.3308
10,10.168387,0.2781,0.0874,0.1710,0.0192,57.5340
15,9.970388,0.2795,0.0878,0.1720,0.0192,57.2494
20,9.801683,0.2786,0.0876,0.1713,0.0193,57.4240
25,9.575636,0.2790,0.0878,0.1714,0.0193,57.3521
30,9.459351,0.2788,0.0879,0.1713,0.0191,57.3979
35,9.349233,0.2817,0.0881,0.1736,0.0194,56.8031
40,9.283474,0.2812,0.0889,0.1725,0.0191,56.8911
45,9.220612,0.2813,0.0883,0.1735,0.0190,56.8728
50,9.144474,0.2811,0.0886,0.1729,0.0191,56.9256
55,9.100464,0.2812,0.0881,0.1735,0.0191,56.8913
60,9.090632,0.2819,0.0888,0.1733,0.0193,56.7482
65,9.057298,0.2824,0.0889,0.1739,0.0191,56.6669
70,9.010328,0.2797,0.0878,0.1723,0.0192,57.1976
75,9.014586,0.2790,0.0875,0.1718,0.0191,57.3529
80,8.974484,0.2789,0.0874,0.1719,0.0191,57.3692
85,8.955289,0.2792,0.0878,0.1716,0.0192,57.3096
90,8.933572,0.2795,0.0878,0.1719,0.0193,57.2551
95,8.948306,0.2813,0.0883,0.1733,0.0192,56.8723
100,8.932485,0.2801,0.0882,0.1721,0.0192,57.1316
105,8.947202,0.2802,0.0882,0.1722,0.0192,57.1076
110,8.946539,0.2800,0.0880,0.1722,0.0192,57.1450
115,8.925793,0.2794,0.0877,0.1718,0.0193,57.2756
120,8.934232,0.2794,0.0879,0.1719,0.0191,57.2570
125,8.923613,0.2814,0.0871,0.1737,0.0199,56.8666
130,8.911778,0.2815,0.0886,0.1733,0.0191,56.8390
135,8.907985,0.2831,0.0892,0.1739,0.0195,56.5261
140,8.928952,0.2825,0.0891,0.1736,0.0192,56.6425
145,8.917801,0.2824,0.0892,0.1732,0.0195,56.6501
150,9.488140,0.2820,0.0890,0.1732,0.0193,56.7442
155,8.908118,0.2820,0.0887,0.1735,0.0193,56.7325
160,8.901833,0.2804,0.0877,0.1730,0.0192,57.0650
165,8.880084,0.2790,0.0874,0.1719,0.0193,57.3439
170,8.896577,0.2794,0.0877,0.1720,0.0191,57.2695
175,8.903746,0.2796,0.0876,0.1723,0.0192,57.2276
180,8.891720,0.2797,0.0878,0.1722,0.0192,57.2021
185,8.890376,0.2798,0.0877,0.1725,0.0192,57.1743
190,8.899994,0.2799,0.0878,0.1723,0.0192,57.1696
195,8.887374,0.2803,0.0880,0.1724,0.0193,57.0838
200,8.924008,0.2795,0.0877,0.1722,0.0192,57.2406
205,8.922287,0.2798,0.0877,0.1724,0.0192,57.1874
210,8.898161,0.2798,0.0876,0.1726,0.0191,57.1893
215,8.881961,0.2795,0.0877,0.1721,0.0192,57.2441
220,8.915139,0.2801,0.0865,0.1739,0.0192,57.1288
225,8.891571,0.2802,0.0868,0.1735,0.0192,57.1025
230,8.903809,0.2797,0.0865,0.1735,0.0192,57.1943
235,8.882501,0.2797,0.0865,0.1737,0.0191,57.1941
240,8.889564,0.2800,0.0871,0.1734,0.0191,57.1359
245,8.907465,0.2798,0.0876,0.1725,0.0192,57.1780
250,8.874650,0.2798,0.0879,0.1723,0.0191,57.1803
255,8.861890,0.2818,0.0881,0.1740,0.0192,56.7701
260,8.877169,0.2810,0.0879,0.1734,0.0192,56.9392
265,8.899059,0.2818,0.0879,0.1741,0.0193,56.7865
270,8.885682,0.2811,0.0879,0.1736,0.0191,56.9158
275,8.908768,0.2799,0.0876,0.1723,0.0194,57.1720
280,8.882357,0.2818,0.0885,0.1737,0.0191,56.7801
285,8.891268,0.2822,0.0880,0.1744,0.0193,56.7069
290,8.871650,0.2809,0.0881,0.1730,0.0192,56.9698
295,8.872746,0.2822,0.0883,0.1744,0.0190,56.6904
300,8.876762,0.2802,0.0879,0.1725,0.0193,57.0947
305,8.877413,0.2794,0.0877,0.1720,0.0191,57.2673
310,8.863319,0.2797,0.0863,0.1739,0.0190,57.2038
315,8.893233,0.2798,0.0863,0.1738,0.0192,57.1883
320,8.892346,0.2796,0.0866,0.1733,0.0192,57.2200
325,8.853824,0.2794,0.0866,0.1732,0.0191,57.2629
330,8.874348,0.2797,0.0867,0.1735,0.0191,57.2075
335,8.873252,0.2804,0.0877,0.1731,0.0191,57.0557
340,8.860845,0.2809,0.0882,0.1730,0.0192,56.9656
345,8.882985,0.2807,0.0880,0.1731,0.0191,56.9915
350,8.873122,0.2815,0.0887,0.1731,0.0192,56.8401
355,8.866215,0.2823,0.0880,0.1746,0.0192,56.6843
360,8.879976,0.2814,0.0885,0.1732,0.0192,56.8506
365,8.888058,0.2823,0.0885,0.1740,0.0193,56.6768
370,8.881445,0.2827,0.0885,0.1745,0.0193,56.5996
375,8.882278,0.2821,0.0880,0.1745,0.0191,56.7238
380,8.871654,0.2808,0.0881,0.1731,0.0191,56.9847
385,8.876239,0.2799,0.0878,0.1725,0.0190,57.1570
390,8.868215,0.2796,0.0879,0.1721,0.0191,57.2201
395,8.869848,0.2802,0.0880,0.1725,0.0192,57.0995
400,8.886881,0.2802,0.0873,0.1733,0.0192,57.1072
405,8.881362,0.2804,0.0879,0.1727,0.0193,57.0652
410,8.875627,0.2825,0.0884,0.1744,0.0192,56.6345
415,8.867322,0.2811,0.0881,0.1735,0.0191,56.9162
420,8.859399,0.2828,0.0884,0.1747,0.0192,56.5762
425,8.858613,0.2812,0.0883,0.1732,0.0191,56.9075
430,8.865005,0.2814,0.0881,0.1736,0.0192,56.8501
435,8.880636,0.2827,0.0886,0.1746,0.0190,56.5984
440,8.852145,0.2820,0.0884,0.1741,0.0190,56.7351
445,8.874196,0.2798,0.0865,0.1738,0.0191,57.1750
450,8.856796,0.2803,0.0868,0.1738,0.0192,57.0830
455,8.879028,0.2802,0.0878,0.1727,0.0191,57.1119
460,8.843083,0.2812,0.0880,0.1736,0.0191,56.8980
465,8.861836,0.2817,0.0881,0.1738,0.0191,56.8043
470,8.875086,0.2829,0.0886,0.1748,0.0190,56.5550
475,8.873661,0.2826,0.0885,0.1745,0.0191,56.6177
480,8.878514,0.2964,0.0885,0.1883,0.0191,53.9778
485,8.863261,0.2815,0.0881,0.1736,0.0192,56.8455
490,8.867717,0.2800,0.0864,0.1739,0.0193,57.1343
495,8.870810,0.2800,0.0866,0.1738,0.0191,57.1391
500,8.875627,0.2805,0.0877,0.1731,0.0192,57.0398
505,8.857630,0.2806,0.0882,0.1729,0.0191,57.0172
510,8.869275,0.2826,0.0885,0.1746,0.0191,56.6117
515,8.862105,0.2815,0.0882,0.1736,0.0192,56.8422
520,8.874673,0.2817,0.0883,0.1737,0.0192,56.7930
525,8.860857,0.2825,0.0888,0.1740,0.0191,56.6392
530,8.868811,0.2825,0.0887,0.1741,0.0192,56.6373
535,8.868626,0.2827,0.0884,0.1746,0.0192,56.6017
540,8.850574,0.2829,0.0887,0.1745,0.0191,56.5572
545,8.865309,0.2797,0.0879,0.1722,0.0192,57.1994
550,8.867008,0.2804,0.0869,0.1739,0.0191,57.0588
555,8.872698,0.2805,0.0870,0.1739,0.0191,57.0357
560,8.878868,0.2805,0.0878,0.1731,0.0192,57.0367
565,8.864247,0.2805,0.0881,0.1728,0.0191,57.0422
570,8.875857,0.2868,0.0884,0.1787,0.0191,55.7889
575,8.859183,0.2825,0.0883,0.1745,0.0193,56.6383
580,8.871922,0.2828,0.0884,0.1747,0.0192,56.5767
585,8.846176,0.2800,0.0876,0.1724,0.0195,57.1390
590,8.844065,0.2816,0.0887,0.1733,0.0191,56.8159
595,8.861666,0.2824,0.0884,0.1744,0.0190,56.6644
600,8.857035,0.2803,0.0881,0.1725,0.0192,57.0761
605,8.856376,0.2793,0.0878,0.1719,0.0190,57.2950
610,8.870402,0.2797,0.0877,0.1724,0.0191,57.2010
615,8.859262,0.2800,0.0867,0.1737,0.0191,57.1374
620,8.860823,0.2806,0.0874,0.1735,0.0192,57.0275
625,8.850239,0.2808,0.0880,0.1733,0.0191,56.9761
630,8.853603,0.2821,0.0883,0.1742,0.0191,56.7224
635,8.847513,0.2796,0.0875,0.1724,0.0192,57.2215
640,8.857727,0.2820,0.0886,0.1738,0.0191,56.7425
645,8.860890,0.2828,0.0885,0.1746,0.0190,56.5739
650,8.869005,0.2822,0.0881,0.1743,0.0192,56.7006
655,8.864964,0.2812,0.0881,0.1734,0.0192,56.8900
660,8.858017,0.2827,0.0884,0.1747,0.0192,56.5877
665,8.855962,0.2811,0.0882,0.1732,0.0192,56.9094
670,8.859443,0.2825,0.0884,0.1743,0.0192,56.6469
675,8.856596,0.2794,0.0878,0.1721,0.0191,57.2643
680,8.877326,0.2795,0.0879,0.1720,0.0190,57.2523
685,8.861153,0.2799,0.0863,0.1740,0.0191,57.1553
690,8.849312,0.2795,0.0863,0.1737,0.0190,57.2390
695,8.859349,0.2800,0.0869,0.1734,0.0192,57.1444
700,8.855724,0.2798,0.0869,0.1734,0.0191,57.1770
705,8.850949,0.2800,0.0871,0.1733,0.0191,57.1387
710,8.867848,0.2796,0.0875,0.1723,0.0192,57.2315
715,8.866539,0.2806,0.0880,0.1729,0.0193,57.0166
720,8.829165,0.2825,0.0882,0.1747,0.0192,56.6281
725,8.866086,0.2806,0.0878,0.1732,0.0191,57.0273
730,8.863813,0.2807,0.0879,0.1727,0.0195,57.0004
735,8.861614,0.2814,0.0880,0.1737,0.0193,56.8525
740,8.856480,0.2822,0.0882,0.1744,0.0191,56.7039
745,8.848952,0.2818,0.0887,0.1734,0.0189,56.7864
750,8.850922,0.2817,0.0884,0.1738,0.0191,56.7918
755,8.844492,0.2808,0.0879,0.1733,0.0191,56.9870
760,8.844671,0.2812,0.0879,0.1738,0.0191,56.8980
765,8.863188,0.2820,0.0880,0.1744,0.0191,56.7302
