timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,100,54,16749.25,0.5,4.2,21839.86,0.000000,0.000000,0.000000
0.5650,100,53,18659.25,0.6,4.2,21846.47,132.462000,132.462000,234.444908
1.0993,100,57,18659.25,0.6,4.2,21846.94,109.726000,242.188000,205.376376
2.1542,100,54,18659.25,0.6,4.2,21847.34,250.761000,492.949000,237.708104
2.7240,99,59,18659.25,0.6,4.2,21847.28,132.483000,625.432000,232.486546
3.2713,100,50,18659.25,0.6,4.2,21847.25,110.335000,735.767000,201.616006
3.8083,100,54,18659.25,0.6,4.2,21847.25,131.980000,867.747000,245.746551
4.8569,100,54,18659.25,0.7,4.2,21847.25,231.188000,1098.935000,220.492005
5.4315,100,55,18659.25,0.6,4.2,21847.25,131.290000,1230.225000,228.481862
5.9670,100,53,18659.25,0.6,4.2,21847.25,116.336000,1346.561000,217.252743
6.5033,100,58,18659.25,0.6,4.2,21847.25,133.206000,1479.767000,248.378068
7.5665,100,53,18659.25,0.6,4.2,21840.59,228.224000,1707.991000,214.658164
8.1427,100,55,18659.25,0.6,4.2,21840.59,133.049000,1841.040000,230.879968
8.6807,100,54,18659.25,0.6,4.2,21840.59,111.642000,1952.682000,207.535755
9.2168,100,53,18659.25,0.6,4.2,21840.59,132.315000,2084.997000,246.808497
10.2709,100,57,18659.25,0.6,4.2,21840.82,228.656000,2313.653000,216.917097
10.8464,100,53,18659.25,0.6,4.2,21840.57,134.382000,2448.035000,233.511188
11.3850,100,53,18659.25,0.6,4.2,21840.32,114.076000,2562.111000,211.806817
11.9217,100,58,18659.25,0.6,4.2,21840.45,134.512000,2696.623000,250.622579
12.9763,100,53,18659.25,0.6,4.2,21840.42,227.120000,2923.743000,215.357909
13.5521,100,53,18659.25,0.6,4.2,21840.42,134.987000,3058.730000,234.418227
14.0927,100,57,18659.25,0.7,4.2,21840.64,112.082000,3170.812000,207.335894
14.6312,100,55,18659.25,0.6,4.2,21840.64,134.832000,3305.644000,250.401197
15.6871,100,57,18659.25,0.6,4.2,21841.34,232.117000,3537.761000,219.820000
16.2638,100,51,18659.25,0.6,4.2,21841.34,138.274000,3676.035000,239.755564
16.8039,100,54,18659.25,0.6,4.2,21841.31,133.461000,3809.496000,247.127375
17.3488,100,53,18659.25,0.6,4.2,21841.31,113.658000,3923.154000,208.579581
18.4061,100,54,18659.25,0.6,4.2,21841.31,250.001000,4173.155000,236.457067
18.9845,100,53,18659.25,0.6,4.2,21841.31,113.591000,4286.746000,196.367326
19.5243,100,59,18659.25,0.6,4.2,21841.31,136.212000,4422.958000,252.347849
20.0732,100,49,18659.25,0.6,4.2,21841.31,114.478000,4537.436000,208.581841
21.1319,100,53,18659.25,0.6,4.2,21841.05,252.138000,4789.574000,238.158871
21.7088,99,58,18659.25,0.6,4.2,21841.30,132.894000,4922.468000,230.357726
22.2503,100,52,18659.25,0.6,4.2,21841.55,114.544000,5037.012000,211.530130
22.7908,100,53,18659.25,0.6,4.2,21841.29,111.491000,5148.503000,206.250396
23.8525,100,52,18659.25,0.6,4.2,21841.29,252.738000,5401.241000,238.066876
24.4303,100,54,18659.25,0.6,4.2,21841.29,132.455000,5533.696000,229.207936
24.9710,100,53,18659.25,0.6,4.2,21841.29,115.131000,5648.827000,212.954809
25.5264,100,58,18659.25,0.6,4.2,21841.16,132.350000,5781.177000,238.287493
26.5885,100,52,18659.25,0.6,4.2,21841.16,230.438000,6011.615000,216.955463
27.1653,100,53,18659.25,0.6,4.2,21845.34,138.499000,6150.114000,240.129835
27.7076,99,58,18659.25,0.6,4.2,21845.34,135.077000,6285.191000,249.100137
28.2492,100,52,18659.25,0.6,4.2,21845.34,114.665000,6399.856000,211.711573
29.3123,99,55,18659.25,0.6,4.2,21845.34,249.020000,6648.876000,234.239470
29.8923,100,58,18659.25,0.6,4.2,21845.34,110.518000,6759.394000,190.537566
30.4328,100,54,18659.25,0.6,4.2,21845.34,134.318000,6893.712000,248.511279
30.9743,100,53,18659.25,0.6,4.2,21845.34,113.483000,7007.195000,209.588862
32.0392,100,51,18659.25,0.6,4.2,21845.34,251.997000,7259.192000,236.630714
32.6222,100,53,18659.25,0.6,4.2,21845.09,133.534000,7392.726000,229.054647
33.1654,100,52,18659.25,0.6,4.2,21845.33,117.533000,7510.259000,216.369230
33.7096,100,58,18659.25,0.6,4.2,21845.33,135.122000,7645.381000,248.302989
34.7752,100,53,18659.25,0.8,4.2,21855.89,229.171000,7874.552000,215.046434
35.3559,100,53,18659.25,0.8,4.2,21846.00,136.497000,8011.049000,235.069141
35.8988,100,58,18659.25,0.6,4.2,21846.06,129.693000,8140.742000,238.872175
36.4484,100,52,18659.25,0.6,4.2,21845.98,113.437000,8254.179000,206.404225
37.5088,99,55,18659.25,0.6,4.2,21842.53,248.503000,8502.682000,234.360483
38.0876,100,57,18659.25,0.6,4.2,21842.53,110.978000,8613.660000,191.720946
38.6295,100,54,18659.25,0.6,4.2,21842.53,134.714000,8748.374000,248.600113
39.1701,100,53,18659.25,0.6,4.2,21842.53,113.973000,8862.347000,210.830862
40.2331,100,51,18659.25,0.6,4.2,21842.53,253.686000,9116.033000,238.660094
40.8125,100,52,18659.25,0.6,4.2,21842.53,131.553000,9247.586000,227.050302
41.3549,100,53,18659.25,0.6,4.2,21842.53,113.924000,9361.510000,210.018865
41.8980,100,58,18659.25,0.6,4.2,21842.53,134.227000,9495.737000,247.176370
42.9622,100,53,18659.25,0.6,4.2,21842.77,230.245000,9725.982000,216.344465
43.5411,100,52,18659.25,0.6,4.2,21842.77,134.807000,9860.789000,232.866146
44.0835,100,56,18659.25,0.6,4.2,21842.77,112.674000,9973.463000,207.748189
44.6263,100,54,18659.25,0.6,4.2,21842.77,134.982000,10108.445000,248.662022
45.6896,100,55,18659.25,0.6,4.2,21842.69,229.619000,10338.064000,215.960144
46.2684,100,52,18659.25,0.6,4.2,21842.69,136.204000,10474.268000,235.296678
46.8130,100,52,18659.25,0.6,4.2,21842.93,133.414000,10607.682000,244.963273
47.3548,100,52,18659.25,0.6,4.2,21843.16,117.782000,10725.464000,217.398692
48.4199,100,53,18659.25,0.6,4.2,21842.63,252.562000,10978.026000,237.124915
48.9999,100,53,18659.25,0.6,4.2,21842.62,133.665000,11111.691000,230.474524
49.5431,100,53,18659.25,0.6,4.2,21842.62,115.064000,11226.755000,211.805403
