step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
0,10.489717,0.6661,0.2604,0.3646,0.0409,48.0430
1,10.446104,0.5406,0.1787,0.3422,0.0193,59.1986
2,10.445295,0.5409,0.1788,0.3424,0.0193,59.1648
3,10.425502,0.5418,0.1785,0.3434,0.0194,59.0625
4,10.360673,0.5437,0.1783,0.3458,0.0192,58.8562
5,10.381934,0.5395,0.1783,0.3417,0.0190,59.3158
6,10.335085,0.5413,0.1785,0.3432,0.0192,59.1214
7,10.292356,0.5414,0.1790,0.3429,0.0192,59.1014
8,10.268697,0.5421,0.1785,0.3437,0.0195,59.0274
9,10.255193,0.5528,0.1777,0.3553,0.0194,57.8888
10,10.212574,0.5419,0.1789,0.3435,0.0192,59.0492
11,10.190398,0.5420,0.1785,0.3436,0.0195,59.0357
12,10.151069,0.5416,0.1787,0.3433,0.0192,59.0816
13,10.112063,0.5405,0.1781,0.3427,0.0193,59.2059
14,10.089939,0.5416,0.1789,0.3432,0.0191,59.0832
15,10.067595,0.5408,0.1768,0.3438,0.0196,59.1693
16,10.037557,0.5395,0.1771,0.3428,0.0191,59.3185
17,10.006883,0.5414,0.1786,0.3432,0.0193,59.1033
18,9.993009,0.5434,0.1793,0.3444,0.0193,58.8900
19,9.959324,0.5418,0.1789,0.3435,0.0190,59.0660
20,9.936317,0.5430,0.1787,0.3445,0.0194,58.9288
21,9.919160,0.5423,0.1792,0.3437,0.0191,59.0072
22,9.881636,0.5423,0.1788,0.3435,0.0196,59.0128
23,9.882550,0.5430,0.1793,0.3443,0.0190,58.9369
24,9.849175,0.5432,0.1795,0.3443,0.0191,58.9124
25,9.805826,0.5438,0.1790,0.3444,0.0199,58.8401
26,9.811017,0.5441,0.1794,0.3450,0.0192,58.8136
27,9.782722,0.5428,0.1789,0.3443,0.0192,58.9535
28,9.847231,0.5434,0.1795,0.3439,0.0196,58.8896
29,9.763996,0.5445,0.1807,0.3442,0.0192,58.7669
30,9.741260,0.5442,0.1809,0.3439,0.0190,58.8002
31,9.726736,0.5438,0.1794,0.3445,0.0195,58.8457
32,9.715005,0.5488,0.1809,0.3485,0.0191,58.3081
33,9.696200,0.5497,0.1810,0.3492,0.0192,58.2097
34,9.682441,0.5515,0.1801,0.3517,0.0193,58.0205
35,9.684815,0.5439,0.1793,0.3450,0.0192,58.8324
36,9.649776,0.5435,0.1794,0.3447,0.0191,58.8774
37,9.639479,0.5433,0.1789,0.3449,0.0191,58.8965
38,9.645602,0.5439,0.1792,0.3444,0.0198,58.8334
39,9.632504,0.5450,0.1806,0.3447,0.0193,58.7150
40,9.630331,0.5453,0.1813,0.3444,0.0193,58.6841
41,9.617929,0.5504,0.1814,0.3493,0.0193,58.1362
42,9.609971,0.5449,0.1803,0.3447,0.0195,58.7236
43,9.612484,0.5456,0.1812,0.3447,0.0192,58.6550
44,9.592663,0.5454,0.1805,0.3453,0.0192,58.6755
45,9.568740,0.5439,0.1799,0.3444,0.0193,58.8320
46,9.589384,0.5457,0.1801,0.3459,0.0194,58.6355
47,9.583019,0.5449,0.1800,0.3453,0.0193,58.7262
48,9.550592,0.5449,0.1801,0.3452,0.0193,58.7275
49,9.558330,0.5455,0.1803,0.3458,0.0190,58.6623
50,9.561333,0.5454,0.1799,0.3458,0.0193,58.6760
51,9.547018,0.5450,0.1804,0.3452,0.0190,58.7197
52,9.548856,0.5459,0.1801,0.3463,0.0192,58.6170
53,9.524920,0.5457,0.1804,0.3458,0.0191,58.6455
54,9.534089,0.5452,0.1796,0.3462,0.0191,58.6924
55,9.520208,0.5468,0.1803,0.3463,0.0197,58.5189
56,9.517719,0.5461,0.1807,0.3458,0.0192,58.5955
57,9.508993,0.5452,0.1807,0.3451,0.0191,58.6928
58,9.535268,0.5465,0.1803,0.3466,0.0192,58.5595
59,9.502134,0.5465,0.1807,0.3462,0.0192,58.5506
60,9.497796,0.5469,0.1809,0.3461,0.0196,58.5114
61,9.491985,0.5462,0.1804,0.3464,0.0191,58.5826
62,9.519150,0.5464,0.1807,0.3463,0.0191,58.5644
