timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,98,55,16749.25,1.8,4.3,22095.43,0.000000,0.000000,0.000000
1.1019,100,53,18659.25,1.9,4.3,22101.34,252.710000,252.710000,229.341461
1.6747,100,53,18659.25,1.9,4.3,22101.34,115.132000,367.842000,200.982338
2.7477,100,51,18659.25,1.9,4.3,22101.34,251.593000,619.435000,234.479403
3.3210,100,54,18659.25,1.9,4.3,22101.34,133.416000,752.851000,232.740017
4.3926,100,55,18659.25,1.9,4.3,22100.47,230.085000,982.936000,214.711703
4.9734,100,48,18659.25,1.9,4.3,22101.21,135.051000,1117.987000,232.501810
6.0469,100,52,18659.25,1.9,4.3,22101.09,253.798000,1371.785000,236.433655
6.6200,100,58,18659.25,1.9,4.3,22101.21,133.459000,1505.244000,232.856513
7.6936,100,53,18659.25,1.9,4.3,22101.81,230.090000,1735.334000,214.309267
8.2672,100,53,18659.25,1.9,4.3,22101.81,136.679000,1872.013000,238.290627
9.3418,100,51,18659.25,2.0,4.3,22100.59,253.665000,2125.678000,236.050673
9.9192,100,53,18659.25,1.9,4.3,22101.09,133.654000,2259.332000,231.487621
10.9937,100,55,18659.25,1.9,4.3,22101.09,230.127000,2489.459000,214.167293
11.5694,100,52,18659.25,1.9,4.3,22082.27,136.350000,2625.809000,236.854997
12.6669,100,52,18659.25,1.9,4.3,22101.21,248.042000,2873.851000,226.012189
13.2605,100,52,18659.25,1.9,4.3,22100.84,133.797000,3007.648000,225.372087
14.3514,100,48,18659.25,1.9,4.3,22082.26,251.417000,3259.065000,230.472346
14.9257,100,54,18659.25,1.9,4.3,22101.21,132.854000,3391.919000,231.361505
16.0269,100,52,18659.25,1.9,4.3,22100.84,247.560000,3639.479000,224.796310
16.6016,100,58,18659.25,1.9,4.3,22101.33,133.366000,3772.845000,232.066929
17.7054,100,54,18659.25,1.9,4.3,22101.33,248.599000,4021.444000,225.216224
18.2818,100,52,18659.25,1.9,4.3,22101.33,111.858000,4133.302000,194.082325
19.3845,100,54,18659.25,1.9,4.3,22100.47,246.376000,4379.678000,223.431651
19.9595,100,51,18659.25,1.9,4.3,22101.21,138.574000,4518.252000,240.962549
21.0435,100,53,18659.25,1.9,4.3,22101.21,253.945000,4772.197000,234.268719
21.6171,100,57,18659.25,1.9,4.3,22101.21,132.494000,4904.691000,231.018730
22.6898,100,53,18659.25,1.9,4.3,22100.95,233.058000,5137.749000,217.244048
23.2617,100,53,18659.25,1.9,4.3,22100.95,136.553000,5274.302000,238.783448
24.3348,100,51,18659.25,1.9,4.3,22100.93,254.477000,5528.779000,237.156276
24.9074,100,53,18659.25,1.9,4.3,22101.18,131.020000,5659.799000,228.786694
25.9823,100,56,18659.25,1.9,4.3,22082.35,231.169000,5890.968000,215.065234
26.5551,100,51,18659.25,1.9,4.3,22101.30,138.721000,6029.689000,242.168776
27.6292,100,53,18659.25,1.9,4.3,22101.30,252.071000,6281.760000,234.683244
28.2044,99,58,18659.25,1.9,4.3,22099.58,131.892000,6413.652000,229.309621
29.2763,100,53,18659.25,1.9,4.3,22099.58,230.887000,6644.539000,215.389664
29.8534,100,52,18659.25,1.9,4.3,22099.58,138.294000,6782.833000,239.670910
30.9284,100,52,18659.25,1.9,4.3,22099.58,251.545000,7034.378000,233.985192
31.5029,100,52,18659.25,1.9,4.3,22099.58,131.828000,7166.206000,229.449353
32.5790,100,56,18659.25,1.9,4.3,22099.95,229.976000,7396.182000,213.718696
33.1537,100,51,18659.25,1.9,4.3,22099.95,139.188000,7535.370000,242.186396
34.2282,100,53,18659.25,1.9,4.3,22099.95,254.727000,7790.097000,237.063153
34.8015,100,58,18659.25,1.9,4.3,22099.95,132.247000,7922.344000,230.684134
35.9008,100,54,18659.25,1.9,4.3,22081.36,249.060000,8171.404000,226.560013
36.4930,100,52,18659.25,1.9,4.3,22099.57,131.409000,8302.813000,221.901527
37.5812,100,54,18659.25,1.9,4.3,22100.07,229.165000,8531.978000,210.603326
38.1547,100,51,18659.25,1.9,4.3,22100.07,138.627000,8670.605000,241.690480
39.2589,100,52,18659.25,1.9,4.3,22100.07,249.562000,8920.167000,226.018434
39.8354,100,53,18659.25,1.9,4.3,22080.99,135.228000,9055.395000,234.578025
40.9385,100,49,18659.25,1.9,4.3,22102.88,247.985000,9303.380000,224.804880
41.5354,100,52,18659.25,1.8,4.1,21127.64,131.327000,9434.707000,220.009444
42.6236,100,53,18659.25,1.4,4.1,21127.25,249.104000,9683.811000,228.914196
43.2007,100,58,18659.25,1.4,4.1,21127.25,132.210000,9816.021000,229.105805
44.2880,100,52,18659.25,1.4,4.1,21127.25,251.409000,10067.430000,231.210887
44.8622,100,52,18659.25,1.3,4.1,21127.25,115.850000,10183.280000,201.781021
45.9410,100,51,18659.25,1.4,4.1,21127.62,254.375000,10437.655000,235.796524
46.5166,100,53,18659.25,1.4,4.1,21127.62,133.430000,10571.085000,231.791227
47.5914,99,58,18659.25,1.4,4.1,21127.81,252.706000,10823.791000,235.115802
48.1678,100,56,18659.25,1.4,4.1,21127.81,113.238000,10937.029000,196.467923
49.2452,100,53,18659.25,1.3,4.1,21127.81,250.669000,11187.698000,232.658477
49.8198,100,53,18659.25,1.4,4.1,21127.81,132.750000,11320.448000,231.026359
50.8985,100,54,18659.25,1.4,4.1,21127.81,250.757000,11571.205000,232.471574
51.4710,100,52,18659.25,1.4,4.1,21126.95,111.794000,11682.999000,195.255808
52.5452,100,53,18659.25,1.4,4.1,21109.11,254.275000,11937.274000,236.706574
53.1195,100,53,18659.25,1.4,4.1,21127.32,131.312000,12068.586000,228.664348
54.1940,99,56,18659.25,1.4,4.1,21127.32,250.891000,12319.477000,233.488019
54.7682,100,56,18659.25,1.4,4.1,21127.32,113.201000,12432.678000,197.141542
55.8437,100,53,18659.25,1.4,4.1,21127.65,254.544000,12687.222000,236.692511
56.4174,100,53,18659.25,1.4,4.1,21127.65,131.677000,12818.899000,229.517657
57.4927,100,54,18659.25,1.4,4.1,21127.62,252.005000,13070.904000,234.348491
58.0688,100,52,18659.25,1.4,4.1,21126.75,113.311000,13184.215000,196.689627
59.1439,100,53,18659.25,1.4,4.1,21125.52,254.390000,13438.605000,236.612646
59.7175,100,53,18659.25,1.4,4.1,21125.52,131.699000,13570.304000,229.606028
60.7932,99,56,18659.25,1.3,4.1,21125.64,250.865000,13821.169000,233.216108
61.3680,100,57,18659.25,1.4,4.1,21125.64,111.749000,13932.918000,194.422426
62.4433,100,53,18659.25,1.4,4.1,21125.64,254.358000,14187.276000,236.548280
63.0162,100,53,18659.25,1.4,4.1,21125.64,131.533000,14318.809000,229.575969
64.0925,100,54,18659.25,1.4,4.1,21125.49,251.389000,14570.198000,233.567681
64.6684,100,52,18659.25,1.4,4.1,21125.49,111.135000,14681.333000,192.986647
65.7453,100,54,18659.25,1.4,4.1,21125.61,253.185000,14934.518000,235.100527
66.3228,100,53,18659.25,1.4,4.1,21125.61,133.911000,15068.429000,231.881686
67.3983,99,54,18659.25,1.4,4.1,21125.73,248.885000,15317.314000,231.419409
67.9712,100,58,18659.25,1.4,4.1,21124.87,110.486000,15427.800000,192.842690
69.0483,100,52,18659.25,1.4,4.1,21125.61,251.713000,15679.513000,233.700857
69.6222,100,52,18659.25,1.4,4.1,21125.86,134.919000,15814.432000,235.077387
70.6992,100,53,18659.25,1.4,4.1,21125.98,252.075000,16066.507000,234.053979
71.2747,100,53,18659.25,1.4,4.1,21125.98,110.010000,16176.517000,191.164176
