step,loss,step_s,forward_s,backward_s,optimizer_s
1,,0.402819,0.170073,0.192051,0.040503
2,,0.276961,0.086367,0.170817,0.019305
3,,0.280577,0.087489,0.173590,0.019164
4,,0.278257,0.087499,0.170967,0.019387
5,,0.277142,0.085686,0.171988,0.019089
6,,0.276638,0.085953,0.171034,0.019287
7,,0.277291,0.086596,0.171342,0.019017
8,,0.278663,0.087908,0.171215,0.019178
9,,0.279841,0.087244,0.173154,0.019091
10,,0.277082,0.086418,0.171124,0.019181
11,,0.277596,0.086873,0.171243,0.019129
12,,0.280392,0.087477,0.172712,0.019655
13,,0.276114,0.086639,0.169805,0.019269
14,,0.277569,0.086808,0.171279,0.019109
15,,0.280274,0.087489,0.172909,0.019496
16,,0.278530,0.086956,0.172054,0.019152
17,,0.279555,0.088200,0.171934,0.019070
18,,0.279822,0.088624,0.171680,0.019135
19,,0.277373,0.086892,0.170891,0.019213
20,,0.279874,0.087633,0.172629,0.019230
21,,0.277674,0.086760,0.171451,0.019104
22,,0.277311,0.086952,0.170888,0.019113
23,,0.280264,0.087759,0.172816,0.019305
24,,0.277831,0.086941,0.171385,0.019091
25,,0.277450,0.085847,0.172118,0.019124
26,,0.277528,0.086371,0.171573,0.019169
27,,0.279102,0.088051,0.171502,0.019199
28,,0.279754,0.087441,0.172806,0.019138
29,,0.279385,0.087754,0.172139,0.019131
30,,0.278294,0.087363,0.171407,0.019144
31,,0.280982,0.088207,0.173221,0.019195
32,,0.278156,0.087491,0.171092,0.019174
33,,0.280555,0.087490,0.172870,0.019639
34,,0.279317,0.086751,0.172965,0.019168
35,,0.279971,0.088037,0.172452,0.019125
36,,0.279790,0.087666,0.172678,0.019094
37,,0.278318,0.087080,0.171585,0.019244
38,,0.280861,0.087580,0.173700,0.019212
39,,0.278194,0.086713,0.172050,0.019071
40,,0.278886,0.087196,0.172049,0.019235
41,,0.279925,0.087874,0.172492,0.019181
42,,0.278903,0.085622,0.173584,0.019286
43,,0.278354,0.086492,0.172294,0.019216
44,,0.279289,0.087148,0.172537,0.019200
45,,0.279356,0.087503,0.172287,0.019211
46,,0.280619,0.087926,0.173286,0.019042
47,,0.278847,0.087277,0.171918,0.019257
48,,0.281553,0.088187,0.173745,0.019203
49,,0.278611,0.087166,0.171877,0.019221
50,,0.279917,0.087532,0.172995,0.019036
51,,0.278827,0.086164,0.173253,0.019064
52,,0.280968,0.088039,0.173472,0.019103
53,,0.280898,0.088935,0.172439,0.019162
54,,0.278565,0.087210,0.171810,0.019191
55,,0.281412,0.087823,0.174125,0.019104
56,,0.280509,0.087613,0.172630,0.019699
57,,0.282151,0.088169,0.174351,0.019195
58,,0.280820,0.087328,0.173914,0.019217
59,,0.277501,0.085889,0.172219,0.019038
60,,0.279123,0.087116,0.172168,0.019391
61,,0.278224,0.087544,0.171298,0.019007
62,,0.280109,0.087368,0.173227,0.019105
