step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
1,10.502969,0.2705,0.1298,0.1003,0.0402,29.5709
2,10.419521,0.1433,0.0421,0.0818,0.0190,55.8175
3,10.355385,0.1477,0.0425,0.0855,0.0194,54.1636
4,10.314376,0.1490,0.0430,0.0864,0.0191,53.6964
5,10.316570,0.1492,0.0426,0.0871,0.0191,53.6157
6,10.262023,0.1490,0.0426,0.0868,0.0192,53.6987
7,10.253960,0.1470,0.0423,0.0854,0.0190,54.4165
8,10.197845,0.1470,0.0422,0.0852,0.0193,54.4178
9,10.125267,0.1485,0.0425,0.0865,0.0192,53.8597
10,10.113677,0.1487,0.0426,0.0867,0.0191,53.7878
11,10.048740,0.1472,0.0422,0.0853,0.0192,54.3371
12,10.029167,0.1480,0.0424,0.0857,0.0194,54.0558
13,9.953918,0.1474,0.0423,0.0856,0.0191,54.2810
14,9.902734,0.1492,0.0425,0.0871,0.0192,53.6029
15,9.834721,0.1475,0.0425,0.0854,0.0193,54.2241
16,9.779283,0.1469,0.0421,0.0853,0.0190,54.4698
17,9.760668,0.1477,0.0424,0.0857,0.0193,54.1675
18,9.679324,0.1492,0.0424,0.0872,0.0193,53.6030
19,9.617748,0.1480,0.0424,0.0859,0.0193,54.0612
20,9.577343,0.1472,0.0422,0.0855,0.0192,54.3408
21,9.544139,0.1472,0.0423,0.0854,0.0191,54.3418
22,9.486364,0.1485,0.0425,0.0864,0.0193,53.8716
23,9.381526,0.1479,0.0426,0.0857,0.0193,54.0754
24,9.417176,0.1486,0.0422,0.0868,0.0193,53.8227
25,9.329809,0.1470,0.0423,0.0853,0.0191,54.4203
26,9.253022,0.1486,0.0425,0.0863,0.0195,53.8267
27,9.251831,0.1511,0.0426,0.0890,0.0191,52.9493
28,9.178187,0.1477,0.0424,0.0858,0.0191,54.1799
29,9.503864,0.1432,0.0425,0.0812,0.0192,55.8680
30,9.071940,0.1493,0.0426,0.0872,0.0191,53.5930
31,9.063988,0.1491,0.0426,0.0867,0.0194,53.6415
32,8.977814,0.1477,0.0424,0.0856,0.0193,54.1798
33,9.011274,0.1474,0.0422,0.0858,0.0191,54.2617
34,8.963611,0.1471,0.0422,0.0856,0.0190,54.3921
35,8.960503,0.1495,0.0428,0.0871,0.0191,53.5230
36,8.902378,0.1487,0.0425,0.0864,0.0193,53.8114
37,8.880985,0.1474,0.0422,0.0855,0.0193,54.2700
38,8.841912,0.1472,0.0422,0.0856,0.0191,54.3413
