batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s,target_seconds
32,550,300.48,300.15,300.02,300.2167,0.1936,300
16,1100,300.12,300.08,300.12,300.1067,0.0189,300
8,2000,300.04,300.08,300.03,300.0500,0.0216,300
