timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,44,16,5153.25,0.4,3.9,19922.62,0.000000,0.000000,0.000000
0.7683,99,45,6111.25,0.6,3.9,19928.46,149.277000,149.277000,194.298246
1.4002,95,44,6111.25,0.5,3.9,19928.46,147.789000,297.066000,233.861670
2.1280,99,42,6111.25,0.5,3.9,19928.37,151.645000,448.711000,208.364015
2.7605,95,41,6111.25,0.5,3.9,19928.37,131.233000,579.944000,207.476433
3.4871,99,43,6111.25,0.5,3.9,19928.37,154.427000,734.371000,212.545229
4.1193,95,49,6111.25,0.5,3.9,19928.26,153.241000,887.612000,242.391175
4.8471,99,50,6111.25,0.5,3.9,19928.26,156.602000,1044.214000,215.179064
5.4791,99,48,6111.25,0.5,3.9,19928.01,129.965000,1174.179000,205.624839
6.2076,99,47,6111.25,0.5,3.9,19928.01,172.834000,1347.013000,237.273865
6.8435,94,47,6111.25,0.6,3.9,19928.01,127.133000,1474.146000,199.898427
7.5709,99,45,6111.25,0.5,3.9,19928.01,148.752000,1622.898000,204.501205
8.2085,95,44,6111.25,0.5,3.9,19928.01,147.632000,1770.530000,231.567304
8.9370,99,42,6111.25,0.5,3.9,19928.01,152.418000,1922.948000,209.217410
9.5734,96,41,6111.25,0.5,3.9,19928.01,131.287000,2054.235000,206.283080
10.3013,99,47,6111.25,0.5,3.9,19928.01,170.747000,2224.982000,234.596699
10.9344,96,43,6111.25,0.5,3.9,19928.01,129.264000,2354.246000,204.152487
11.6609,99,43,6111.25,0.5,3.9,19928.25,151.640000,2505.886000,208.735875
12.2959,95,50,6111.25,0.5,3.9,19928.25,147.903000,2653.789000,232.905698
13.0252,99,50,6111.25,0.5,3.9,19928.25,151.815000,2805.604000,208.162801
13.6617,94,48,6111.25,0.5,3.9,19928.24,131.660000,2937.264000,206.849238
14.3887,99,45,6111.25,0.5,3.9,19928.24,154.117000,3091.381000,211.996930
15.0240,95,43,6111.25,0.5,3.9,19928.24,151.578000,3242.959000,238.610480
15.7525,99,45,6111.25,0.5,3.9,19928.24,152.745000,3395.704000,209.672266
16.3869,95,44,6111.25,0.5,3.9,19928.24,126.576000,3522.280000,199.500017
17.1157,99,42,6111.25,0.5,3.9,19928.24,170.607000,3692.887000,234.093829
17.7510,96,41,6111.25,0.5,3.9,19928.24,129.499000,3822.386000,203.850438
18.4811,99,42,6111.25,0.5,3.9,19928.24,149.984000,3972.370000,205.420242
19.1168,95,48,6111.25,0.5,3.9,19928.24,153.682000,4126.052000,241.758924
19.8463,99,49,6111.25,0.5,3.9,19928.24,156.136000,4282.188000,214.026188
20.4824,99,46,6111.25,0.5,3.9,19928.24,128.009000,4410.197000,201.254957
21.2119,99,51,6111.25,0.5,3.9,19928.24,172.430000,4582.627000,236.375932
21.8523,95,49,6111.25,0.5,3.9,19928.48,128.414000,4711.041000,200.507035
22.5834,99,45,6111.25,0.5,3.9,19928.48,152.544000,4863.585000,208.643259
23.2225,94,42,6111.25,0.5,3.9,19928.48,151.759000,5015.344000,237.473247
23.9517,99,45,6111.25,0.5,3.9,19928.48,152.088000,5167.432000,208.563811
24.5894,95,44,6111.25,0.5,3.9,19928.47,148.519000,5315.951000,232.905970
25.3201,99,42,6111.25,0.5,3.9,19928.47,152.113000,5468.064000,208.169451
25.9550,96,41,6111.25,0.5,3.9,19928.47,131.756000,5599.820000,207.504245
26.6837,99,42,6111.25,0.5,3.9,19928.22,155.174000,5754.994000,212.965158
