step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
3,10.355385,0.1523,0.0434,0.0895,0.0190,52.5322
6,10.262023,0.1513,0.0437,0.0880,0.0191,52.8843
9,10.125267,0.1499,0.0434,0.0869,0.0192,53.3651
12,10.029167,0.1498,0.0432,0.0869,0.0193,53.3891
15,9.834721,0.1508,0.0437,0.0876,0.0191,53.0536
18,9.679324,0.1503,0.0434,0.0870,0.0194,53.2152
21,9.544139,0.1497,0.0432,0.0870,0.0191,53.4548
24,9.417176,0.1503,0.0439,0.0868,0.0192,53.2107
27,9.251831,0.1498,0.0434,0.0869,0.0190,53.4114
30,9.071940,0.1499,0.0432,0.0868,0.0192,53.3638
33,9.011274,0.1500,0.0436,0.0867,0.0192,53.3452
36,8.902378,0.1500,0.0435,0.0870,0.0191,53.3312
39,8.843194,0.1501,0.0433,0.0871,0.0192,53.3127
42,8.743521,0.1516,0.0437,0.0884,0.0191,52.7694
45,8.707902,0.1505,0.0435,0.0870,0.0195,53.1673
48,8.621806,0.1511,0.0431,0.0885,0.0190,52.9621
51,8.588101,0.1500,0.0433,0.0871,0.0192,53.3330
54,8.600927,0.1500,0.0434,0.0870,0.0191,53.3278
57,8.525424,0.1504,0.0436,0.0872,0.0192,53.1828
60,8.491740,0.1501,0.0432,0.0872,0.0193,53.3001
63,8.459832,0.1498,0.0431,0.0869,0.0193,53.4147
66,8.469519,0.1506,0.0437,0.0872,0.0193,53.1218
69,8.440257,0.1503,0.0435,0.0873,0.0191,53.2334
72,8.434083,0.1498,0.0432,0.0871,0.0191,53.3945
75,8.389596,0.1502,0.0435,0.0869,0.0193,53.2680
78,8.399430,0.1503,0.0435,0.0870,0.0193,53.2439
81,8.395689,0.1501,0.0435,0.0869,0.0192,53.2947
84,8.355514,0.1501,0.0433,0.0871,0.0193,53.2929
87,8.364003,0.1516,0.0437,0.0881,0.0193,52.7818
90,8.345930,0.1521,0.0441,0.0880,0.0193,52.6039
93,8.351307,0.1501,0.0433,0.0873,0.0191,53.2925
96,8.349408,0.1500,0.0434,0.0872,0.0190,53.3302
99,8.326308,0.1515,0.0438,0.0882,0.0191,52.7972
102,8.315957,0.1510,0.0441,0.0871,0.0192,52.9864
105,8.355847,0.1501,0.0432,0.0874,0.0191,53.2956
108,8.342135,0.1506,0.0435,0.0875,0.0192,53.1114
111,8.371506,0.1511,0.0438,0.0878,0.0191,52.9427
114,8.335790,0.1506,0.0436,0.0873,0.0192,53.1349
117,8.318056,0.1499,0.0432,0.0871,0.0191,53.3624
120,8.331793,0.1510,0.0437,0.0876,0.0193,52.9951
123,8.316838,0.1512,0.0437,0.0880,0.0191,52.8984
126,8.314366,0.1510,0.0438,0.0874,0.0192,52.9959
129,8.305982,0.1505,0.0433,0.0876,0.0191,53.1534
132,8.309635,0.1510,0.0437,0.0876,0.0192,52.9869
135,8.306543,0.1516,0.0439,0.0882,0.0191,52.7662
138,8.331555,0.1522,0.0449,0.0873,0.0194,52.5619
141,8.351216,0.1503,0.0433,0.0874,0.0191,53.2429
144,8.301764,0.1503,0.0434,0.0874,0.0191,53.2262
147,8.303902,0.1504,0.0435,0.0874,0.0191,53.1909
150,8.282863,0.1512,0.0438,0.0876,0.0193,52.9148
153,8.317110,0.1523,0.0440,0.0885,0.0193,52.5153
156,8.292824,0.1509,0.0438,0.0877,0.0190,53.0011
159,8.279769,0.1506,0.0434,0.0875,0.0193,53.1183
162,8.265407,0.1502,0.0433,0.0874,0.0191,53.2553
165,8.313557,0.1507,0.0436,0.0875,0.0191,53.0944
168,8.331236,0.1521,0.0438,0.0880,0.0198,52.6073
171,8.266851,0.1510,0.0438,0.0877,0.0191,52.9788
174,8.311781,0.1504,0.0433,0.0876,0.0191,53.1756
177,8.311509,0.1507,0.0436,0.0876,0.0191,53.0866
180,8.302994,0.1520,0.0438,0.0885,0.0193,52.6211
183,8.295781,0.1512,0.0437,0.0879,0.0192,52.8954
186,8.284564,0.1500,0.0433,0.0872,0.0191,53.3256
189,8.291611,0.1501,0.0433,0.0873,0.0190,53.3098
192,8.288254,0.1509,0.0436,0.0877,0.0191,53.0284
195,8.284250,0.1520,0.0439,0.0885,0.0192,52.6325
198,8.280665,0.1521,0.0439,0.0885,0.0193,52.6029
201,8.290613,0.1513,0.0438,0.0879,0.0192,52.8769
204,8.260444,0.1506,0.0434,0.0876,0.0192,53.1178
207,8.285973,0.1502,0.0433,0.0873,0.0191,53.2725
210,8.284108,0.1505,0.0436,0.0874,0.0191,53.1588
213,8.296424,0.1519,0.0439,0.0883,0.0192,52.6717
216,8.288074,0.1520,0.0439,0.0886,0.0192,52.6149
219,8.311608,0.1509,0.0435,0.0878,0.0192,53.0045
222,8.277387,0.1507,0.0434,0.0877,0.0191,53.1019
225,8.295927,0.1506,0.0435,0.0875,0.0191,53.1365
228,8.293126,0.1505,0.0436,0.0873,0.0192,53.1407
231,8.278984,0.1525,0.0440,0.0888,0.0192,52.4598
234,8.256128,0.1523,0.0441,0.0887,0.0191,52.5397
237,8.261759,0.1512,0.0437,0.0880,0.0191,52.9155
240,8.293433,0.1511,0.0434,0.0877,0.0196,52.9349
243,8.296766,0.1509,0.0434,0.0879,0.0192,53.0308
246,8.273228,0.1508,0.0435,0.0877,0.0192,53.0659
249,8.282830,0.1514,0.0439,0.0881,0.0191,52.8377
252,8.274944,0.1521,0.0438,0.0888,0.0190,52.5882
255,8.268335,0.1523,0.0440,0.0889,0.0190,52.5316
258,8.273677,0.1510,0.0436,0.0879,0.0191,52.9662
261,8.270545,0.1514,0.0439,0.0879,0.0191,52.8503
264,8.255795,0.1505,0.0434,0.0876,0.0191,53.1438
267,8.292847,0.1523,0.0439,0.0889,0.0191,52.5160
270,8.277347,0.1523,0.0441,0.0887,0.0191,52.5160
273,8.286310,0.1529,0.0441,0.0892,0.0192,52.3285
276,8.286201,0.1524,0.0440,0.0887,0.0193,52.5066
279,8.289719,0.1522,0.0439,0.0887,0.0192,52.5482
282,8.266894,0.1511,0.0436,0.0880,0.0191,52.9523
285,8.289770,0.1484,0.0436,0.0852,0.0192,53.9234
288,8.262878,0.1507,0.0437,0.0876,0.0190,53.0820
291,8.249109,0.1521,0.0439,0.0887,0.0191,52.5997
294,8.275698,0.1529,0.0441,0.0893,0.0191,52.3134
297,8.265197,0.1513,0.0443,0.0875,0.0191,52.8756
300,8.266203,0.1511,0.0435,0.0880,0.0191,52.9557
303,8.260362,0.1518,0.0448,0.0875,0.0190,52.7172
306,8.279391,0.1508,0.0436,0.0877,0.0191,53.0579
309,8.277396,0.1510,0.0437,0.0876,0.0193,52.9708
312,8.270693,0.1517,0.0439,0.0881,0.0193,52.7503
315,8.265591,0.1525,0.0441,0.0889,0.0191,52.4489
318,8.262934,0.1527,0.0441,0.0891,0.0191,52.4011
321,8.261141,0.1522,0.0440,0.0885,0.0193,52.5543
324,8.260745,0.1521,0.0439,0.0885,0.0193,52.6101
327,8.265279,0.1514,0.0439,0.0880,0.0189,52.8285
330,8.242514,0.1504,0.0438,0.0869,0.0192,53.1812
333,8.263155,0.1512,0.0435,0.0877,0.0195,52.9185
336,8.257047,0.1507,0.0435,0.0877,0.0191,53.0825
339,8.264611,0.1508,0.0438,0.0876,0.0190,53.0381
342,8.270702,0.1517,0.0440,0.0881,0.0191,52.7487
345,8.294713,0.1531,0.0443,0.0891,0.0193,52.2469
348,8.252086,0.1531,0.0443,0.0892,0.0193,52.2395
351,8.236184,0.1508,0.0437,0.0876,0.0191,53.0400
354,8.306275,0.1508,0.0439,0.0873,0.0192,53.0560
357,8.257150,0.1518,0.0439,0.0884,0.0191,52.6935
360,8.260424,0.1525,0.0444,0.0885,0.0191,52.4601
363,8.248920,0.1505,0.0439,0.0871,0.0192,53.1527
366,8.266133,0.1508,0.0434,0.0879,0.0191,53.0355
369,8.268427,0.1509,0.0435,0.0877,0.0193,53.0034
372,8.277856,0.1506,0.0433,0.0877,0.0191,53.1242
375,8.287771,0.1534,0.0436,0.0903,0.0191,52.1666
378,8.279173,0.1510,0.0437,0.0878,0.0191,52.9651
381,8.298140,0.1522,0.0440,0.0885,0.0193,52.5564
384,8.278867,0.1511,0.0436,0.0877,0.0193,52.9278
387,8.262308,0.1508,0.0434,0.0877,0.0193,53.0417
390,8.259746,0.1504,0.0434,0.0874,0.0192,53.1751
393,8.244928,0.1509,0.0437,0.0877,0.0191,53.0048
396,8.265765,0.1520,0.0438,0.0885,0.0193,52.6420
399,8.288200,0.1521,0.0440,0.0886,0.0192,52.5851
402,8.253396,0.1511,0.0437,0.0879,0.0191,52.9457
405,8.264162,0.1508,0.0435,0.0876,0.0193,53.0510
408,8.260939,0.1507,0.0434,0.0876,0.0193,53.0859
411,8.282258,0.1512,0.0438,0.0878,0.0192,52.9207
414,8.248564,0.1519,0.0439,0.0883,0.0193,52.6621
417,8.270769,0.1520,0.0439,0.0885,0.0192,52.6258
420,8.280129,0.1515,0.0436,0.0881,0.0193,52.7907
423,8.253155,0.1510,0.0436,0.0879,0.0192,52.9819
426,8.277415,0.1510,0.0435,0.0880,0.0191,52.9700
429,8.243855,0.1508,0.0437,0.0876,0.0192,53.0335
432,8.258892,0.1511,0.0438,0.0877,0.0190,52.9611
435,8.253403,0.1527,0.0441,0.0891,0.0191,52.3953
438,8.259582,0.1515,0.0438,0.0879,0.0193,52.8144
441,8.278836,0.1512,0.0435,0.0879,0.0193,52.9176
444,8.255919,0.1509,0.0434,0.0878,0.0193,53.0133
447,8.273729,0.1509,0.0437,0.0878,0.0189,53.0019
450,8.276448,0.1512,0.0439,0.0878,0.0191,52.9094
453,8.266809,0.1525,0.0441,0.0889,0.0191,52.4491
456,8.263023,0.1522,0.0440,0.0887,0.0191,52.5479
459,8.271006,0.1516,0.0438,0.0883,0.0190,52.7845
462,8.279137,0.1509,0.0435,0.0878,0.0192,53.0230
465,8.275928,0.1507,0.0434,0.0876,0.0192,53.0934
468,8.258647,0.1512,0.0435,0.0880,0.0192,52.9275
471,8.245409,0.1511,0.0435,0.0879,0.0192,52.9432
474,8.255940,0.1511,0.0438,0.0878,0.0191,52.9284
477,8.259112,0.1520,0.0438,0.0884,0.0193,52.6258
480,8.288325,0.1524,0.0441,0.0888,0.0191,52.4790
483,8.283524,0.1514,0.0437,0.0880,0.0193,52.8294
486,8.256803,0.1512,0.0437,0.0880,0.0191,52.8986
489,8.280492,0.1512,0.0438,0.0877,0.0191,52.9184
492,8.266304,0.1508,0.0435,0.0878,0.0191,53.0469
495,8.272624,0.1512,0.0437,0.0878,0.0192,52.9205
498,8.265529,0.1518,0.0440,0.0883,0.0191,52.6950
501,8.283737,0.1528,0.0440,0.0891,0.0192,52.3729
504,8.284099,0.1524,0.0441,0.0888,0.0191,52.4934
507,8.254482,0.1516,0.0438,0.0882,0.0192,52.7703
510,8.246929,0.1510,0.0436,0.0879,0.0192,52.9655
513,8.266802,0.1507,0.0435,0.0877,0.0191,53.0806
516,8.262101,0.1513,0.0436,0.0882,0.0191,52.8781
