batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s,e1_avg_s,overhead_vs_e1_pct,within_5pct
32,550,300.27,300.11,300.09,300.1567,0.0806,299.9800,0.0589,yes
16,1100,300.15,300.14,300.23,300.1733,0.0403,300.2100,-0.0122,yes
8,2000,300.08,300.03,300.17,300.0933,0.0579,297.9200,0.7295,yes
