step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
98,8.956413,0.2828,0.0880,0.1751,0.0193,56.5702
99,8.972641,0.2836,0.0888,0.1752,0.0192,56.4154
100,8.935232,0.2837,0.0885,0.1756,0.0193,56.3991
101,8.957504,0.2824,0.0881,0.1747,0.0193,56.6485
102,8.942220,0.2830,0.0876,0.1759,0.0191,56.5466
103,8.924347,0.2844,0.0897,0.1752,0.0192,56.2656
104,8.939891,0.2832,0.0882,0.1754,0.0193,56.4895
105,8.914710,0.2842,0.0885,0.1763,0.0190,56.2933
106,8.950636,0.2831,0.0882,0.1753,0.0193,56.5128
107,8.933685,0.2833,0.0874,0.1764,0.0191,56.4856
108,8.908813,0.2853,0.0897,0.1759,0.0191,56.0841
109,8.945496,0.2831,0.0881,0.1754,0.0192,56.5239
110,8.939863,0.2841,0.0887,0.1759,0.0191,56.3123
111,8.930923,0.2850,0.0888,0.1767,0.0192,56.1311
112,8.930789,0.2826,0.0881,0.1750,0.0192,56.6102
113,8.919790,0.2821,0.0877,0.1750,0.0191,56.7215
114,8.939640,0.2834,0.0890,0.1749,0.0191,56.4650
115,8.939933,0.2819,0.0861,0.1762,0.0193,56.7515
116,8.921997,0.2882,0.0887,0.1801,0.0191,55.5222
117,8.933125,0.2836,0.0884,0.1755,0.0191,56.4217
118,8.917588,0.2829,0.0878,0.1756,0.0191,56.5571
119,8.927986,0.2851,0.0903,0.1752,0.0191,56.1237
120,8.930064,0.2827,0.0884,0.1749,0.0191,56.6033
121,8.910551,0.2832,0.0883,0.1754,0.0191,56.5018
122,8.910048,0.2848,0.0888,0.1765,0.0191,56.1893
123,8.907522,0.2827,0.0881,0.1750,0.0192,56.5901
124,8.930015,0.2832,0.0881,0.1756,0.0192,56.4899
125,8.909854,0.2851,0.0888,0.1768,0.0191,56.1303
126,8.931548,0.2828,0.0880,0.1752,0.0192,56.5743
127,8.916279,0.2841,0.0888,0.1755,0.0193,56.3085
128,8.944042,0.2846,0.0889,0.1761,0.0193,56.2166
129,8.884494,0.2843,0.0888,0.1759,0.0193,56.2836
130,8.944928,0.2843,0.0900,0.1749,0.0191,56.2694
131,8.938665,0.2849,0.0885,0.1768,0.0192,56.1651
132,8.917447,0.2828,0.0883,0.1750,0.0191,56.5678
133,8.938554,0.2835,0.0885,0.1755,0.0191,56.4462
134,8.895860,0.2823,0.0872,0.1755,0.0192,56.6782
135,8.921700,0.2828,0.0885,0.1747,0.0192,56.5690
136,8.911387,0.2851,0.0890,0.1766,0.0191,56.1238
137,8.915645,0.2839,0.0883,0.1758,0.0193,56.3625
138,8.905681,0.2828,0.0882,0.1751,0.0191,56.5840
139,8.924021,0.2850,0.0890,0.1763,0.0192,56.1435
140,8.923578,0.2852,0.0896,0.1759,0.0193,56.1103
141,8.909697,0.2833,0.0882,0.1756,0.0191,56.4682
142,8.911453,0.2845,0.0889,0.1761,0.0191,56.2379
143,8.939469,0.2838,0.0884,0.1757,0.0193,56.3752
144,8.898582,0.2829,0.0882,0.1753,0.0192,56.5499
145,8.895695,0.2825,0.0875,0.1754,0.0192,56.6410
146,8.906464,0.2843,0.0898,0.1750,0.0191,56.2806
147,8.884393,0.2836,0.0884,0.1758,0.0191,56.4127
148,8.917703,0.2846,0.0887,0.1764,0.0190,56.2211
149,8.898087,0.2832,0.0883,0.1754,0.0192,56.4994
150,8.908265,0.2838,0.0873,0.1762,0.0198,56.3820
151,8.896968,0.2848,0.0900,0.1752,0.0191,56.1841
152,8.903790,0.2829,0.0882,0.1752,0.0192,56.5586
153,8.899984,0.2835,0.0882,0.1756,0.0193,56.4410
154,8.881289,0.2843,0.0887,0.1762,0.0191,56.2761
155,8.902767,0.2827,0.0882,0.1750,0.0192,56.5891
156,8.927566,0.2825,0.0878,0.1753,0.0191,56.6279
157,8.902158,0.2852,0.0897,0.1759,0.0193,56.0949
158,8.913799,0.2824,0.0881,0.1748,0.0191,56.6655
159,8.905773,0.2849,0.0891,0.1763,0.0191,56.1609
160,8.904591,0.2830,0.0884,0.1751,0.0191,56.5433
161,8.915222,0.2831,0.0878,0.1757,0.0193,56.5072
162,8.884085,0.2844,0.0898,0.1752,0.0191,56.2499
163,8.928732,0.2830,0.0883,0.1748,0.0195,56.5311
164,8.886564,0.2838,0.0886,0.1757,0.0191,56.3723
165,8.898666,0.2848,0.0887,0.1767,0.0191,56.1782
166,8.892788,0.2832,0.0882,0.1754,0.0192,56.5043
167,8.893124,0.2835,0.0882,0.1758,0.0191,56.4446
168,8.920577,0.2861,0.0899,0.1769,0.0190,55.9173
169,8.871299,0.2835,0.0884,0.1755,0.0192,56.4321
170,8.897582,0.2838,0.0886,0.1757,0.0191,56.3816
171,8.900465,0.2854,0.0887,0.1772,0.0191,56.0667
172,8.904119,0.2853,0.0895,0.1763,0.0191,56.0803
173,8.925282,0.2861,0.0900,0.1767,0.0190,55.9324
174,8.894621,0.2847,0.0892,0.1759,0.0193,56.1932
175,8.895106,0.2843,0.0887,0.1762,0.0190,56.2778
176,8.895290,0.2837,0.0881,0.1755,0.0196,56.3958
177,8.905149,0.2835,0.0881,0.1758,0.0192,56.4413
178,8.911318,0.2846,0.0886,0.1763,0.0193,56.2125
