step,loss,step_s,forward_s,backward_s,optimizer_s
5,,0.148211,0.043206,0.085364,0.019248
10,,0.148304,0.043248,0.085528,0.019077
15,,0.149083,0.043377,0.086220,0.019048
20,,0.149922,0.043290,0.086879,0.019273
25,,0.148509,0.043172,0.085607,0.019274
30,,0.148073,0.043122,0.085506,0.019004
35,,0.148244,0.042907,0.085863,0.019068
40,,0.148243,0.042889,0.085600,0.019329
45,,0.148212,0.042743,0.085823,0.019253
50,,0.148847,0.043185,0.086051,0.019160
55,,0.150318,0.043401,0.087305,0.019207
60,,0.149810,0.043327,0.086839,0.019249
65,,0.148779,0.042922,0.086153,0.019306
70,,0.149039,0.043288,0.086099,0.019223
75,,0.151456,0.043846,0.087989,0.019199
80,,0.148497,0.043091,0.085917,0.019075
85,,0.149403,0.043342,0.086333,0.019333
90,,0.151539,0.044146,0.087516,0.019278
95,,0.148881,0.043052,0.086341,0.019068
100,,0.150304,0.043493,0.087334,0.019090
105,,0.149076,0.043228,0.086127,0.019294
110,,0.149052,0.043297,0.086272,0.019059
115,,0.151043,0.043539,0.087775,0.019285
120,,0.149006,0.043187,0.086387,0.019013
125,,0.151007,0.043617,0.087780,0.019142
130,,0.149097,0.043210,0.086362,0.019138
135,,0.150540,0.043619,0.087337,0.019139
140,,0.149196,0.043243,0.086210,0.019327
145,,0.150829,0.043646,0.087627,0.019069
150,,0.150096,0.043752,0.086347,0.019412
155,,0.150339,0.043483,0.087110,0.019300
160,,0.149702,0.043366,0.086783,0.019132
165,,0.148621,0.043129,0.085897,0.019139
170,,0.148528,0.043031,0.086067,0.019029
175,,0.149424,0.043374,0.086347,0.019265
180,,0.150208,0.043308,0.087160,0.019322
185,,0.148746,0.043153,0.085846,0.019257
190,,0.148911,0.043037,0.086149,0.019320
195,,0.148761,0.043198,0.086077,0.019043
200,,0.150659,0.043454,0.087555,0.019230
205,,0.148275,0.043006,0.085766,0.019077
210,,0.148570,0.042972,0.086112,0.019097
215,,0.150871,0.043392,0.087944,0.019125
220,,0.150093,0.043340,0.087200,0.019145
225,,0.148978,0.043015,0.086311,0.019240
230,,0.148879,0.043352,0.086089,0.019035
235,,0.150662,0.043453,0.087766,0.019014
240,,0.148705,0.043064,0.085985,0.019240
245,,0.150353,0.043579,0.087093,0.019241
250,,0.149834,0.043264,0.086903,0.019254
255,,0.148743,0.043065,0.086261,0.019015
260,,0.150813,0.043659,0.087709,0.019018
265,,0.148448,0.043080,0.085841,0.019121
270,,0.148983,0.043171,0.086238,0.019205
275,,0.150913,0.043406,0.087814,0.019308
280,,0.148740,0.043145,0.086073,0.019052
285,,0.149396,0.043364,0.086334,0.019261
290,,0.151171,0.043448,0.087670,0.019484
295,,0.149030,0.043180,0.086418,0.019016
300,,0.150841,0.043564,0.087616,0.019270
305,,0.148672,0.043160,0.086046,0.019045
310,,0.149743,0.043663,0.086503,0.019127
315,,0.150712,0.043366,0.087928,0.019039
320,,0.148866,0.043134,0.086165,0.019167
325,,0.150171,0.043545,0.086931,0.019280
330,,0.149580,0.043630,0.086246,0.019154
335,,0.149423,0.043422,0.086565,0.018995
340,,0.151152,0.043537,0.087963,0.019221
345,,0.148986,0.043109,0.086335,0.019136
350,,0.150424,0.043667,0.087180,0.019110
355,,0.149293,0.043246,0.086361,0.019253
360,,0.149119,0.043402,0.086238,0.019066
365,,0.151069,0.043536,0.087997,0.019122
370,,0.149109,0.043193,0.086386,0.019098
375,,0.151517,0.043817,0.087937,0.019326
380,,0.149169,0.043199,0.086324,0.019240
385,,0.150440,0.043613,0.087292,0.019044
390,,0.149125,0.043172,0.086232,0.019327
395,,0.150182,0.043434,0.086504,0.019706
400,,0.149069,0.043316,0.086276,0.019058
405,,0.149503,0.043408,0.086559,0.019108
410,,0.150487,0.043503,0.087515,0.019056
415,,0.149443,0.043348,0.086454,0.019222
420,,0.151168,0.043630,0.088018,0.019064
425,,0.149388,0.043186,0.086670,0.019105
430,,0.151645,0.043784,0.088186,0.019255
435,,0.149255,0.043241,0.086519,0.019093
440,,0.150934,0.043689,0.087713,0.019087
445,,0.149249,0.043242,0.086405,0.019180
450,,0.150867,0.043668,0.087633,0.019093
455,,0.149073,0.043191,0.086227,0.019273
460,,0.150331,0.043644,0.087225,0.019045
465,,0.148755,0.043178,0.086161,0.018950
470,,0.150078,0.043597,0.086841,0.019171
475,,0.149536,0.043305,0.086569,0.019238
480,,0.149525,0.043553,0.086445,0.019110
485,,0.150479,0.043540,0.087366,0.019164
490,,0.149567,0.043329,0.086581,0.019252
495,,0.151252,0.043701,0.087857,0.019253
500,,0.149259,0.043218,0.086581,0.019013
505,,0.151066,0.043725,0.087942,0.019013
510,,0.149317,0.043265,0.086383,0.019255
515,,0.148838,0.043301,0.086125,0.018994
520,,0.150403,0.043483,0.087303,0.019188
525,,0.148862,0.042962,0.086285,0.019209
530,,0.148852,0.042930,0.086145,0.019343
535,,0.149963,0.043524,0.086891,0.019125
540,,0.148638,0.043066,0.086048,0.019084
545,,0.148854,0.042972,0.086356,0.019101
550,,0.150058,0.043283,0.087073,0.019301
555,,0.149383,0.043207,0.086653,0.019129
560,,0.148739,0.042960,0.086031,0.019319
565,,0.149117,0.043329,0.086105,0.019263
570,,0.150153,0.043433,0.087309,0.018984
575,,0.148594,0.042938,0.086137,0.019115
580,,0.150008,0.043089,0.087491,0.019029
585,,0.150058,0.043391,0.087170,0.019069
590,,0.148578,0.042933,0.086201,0.019008
595,,0.149234,0.043363,0.086156,0.019294
600,,0.150411,0.043445,0.087242,0.019272
605,,0.149024,0.043019,0.086472,0.019076
610,,0.149740,0.043502,0.086615,0.019154
615,,0.150229,0.043300,0.087244,0.019275
620,,0.148766,0.042924,0.086125,0.019294
625,,0.149752,0.043399,0.086907,0.019049
630,,0.149950,0.043338,0.086908,0.019259
635,,0.148773,0.042987,0.086237,0.019107
640,,0.150753,0.043630,0.087632,0.019049
645,,0.149100,0.043085,0.086312,0.019108
650,,0.148649,0.043091,0.085996,0.019111
655,,0.150237,0.043421,0.087250,0.019119
660,,0.149236,0.043097,0.086459,0.019219
665,,0.149294,0.043309,0.086288,0.019311
670,,0.150772,0.044222,0.086987,0.019154
675,,0.147151,0.043184,0.084432,0.019101
680,,0.148980,0.043202,0.086289,0.019070
685,,0.149878,0.043395,0.086869,0.019200
690,,0.149014,0.043081,0.086502,0.019005
695,,0.150459,0.043549,0.087468,0.019028
700,,0.148773,0.043060,0.086118,0.019173
705,,0.148536,0.043421,0.085686,0.019030
710,,0.149857,0.043405,0.086907,0.019121
715,,0.149643,0.043237,0.086886,0.019134
720,,0.149251,0.043081,0.086433,0.019305
725,,0.150920,0.043572,0.087677,0.019267
730,,0.148759,0.043034,0.086000,0.019290
735,,0.149315,0.043327,0.086305,0.019270
740,,0.149840,0.043363,0.086898,0.019145
745,,0.148731,0.042991,0.086253,0.018890
750,,0.148917,0.043583,0.085595,0.019279
755,,0.150268,0.043361,0.087392,0.019101
760,,0.148397,0.042974,0.085817,0.019175
765,,0.148993,0.043293,0.086220,0.019051
770,,0.150847,0.043602,0.087653,0.019160
775,,0.148822,0.042983,0.086291,0.019116
780,,0.149914,0.043549,0.086876,0.019034
785,,0.149998,0.043314,0.087097,0.019155
790,,0.149116,0.042973,0.086530,0.019166
795,,0.149925,0.043506,0.086660,0.019307
800,,0.151070,0.043376,0.087582,0.019661
805,,0.149017,0.043027,0.086348,0.019169
810,,0.150467,0.043482,0.087250,0.019299
815,,0.150196,0.043440,0.087209,0.019118
820,,0.148369,0.042914,0.085865,0.019165
825,,0.148444,0.043481,0.085459,0.019015
830,,0.150703,0.043562,0.087588,0.019122
