timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,gpu_power_w_mean,gpu_power_w_std,num_samples
0.0,47.333333,21.514853,5153.250000,0.000000,1.400000,0.216025,0.000000,0.000000,0.000000,0.000000,3
0.5,99.000000,0.000000,6111.250000,0.000000,1.500000,0.163299,123.842000,2.143272,207.471158,3.274478,3
1.5,99.000000,0.000000,6111.250000,0.000000,1.433333,0.205480,164.609333,9.983496,221.319779,13.162365,3
2.0,99.000000,0.000000,6111.250000,0.000000,1.433333,0.205480,158.780333,9.509400,213.367778,13.171312,3
3.0,99.000000,0.000000,6111.250000,0.000000,1.433333,0.205480,162.166333,7.316674,219.352489,9.208697,3
3.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,158.454667,9.590011,211.340115,13.029192,3
4.5,99.000000,0.000000,6111.250000,0.000000,1.466667,0.169967,165.870333,11.242626,222.917306,14.420247,3
5.0,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,159.924333,8.249055,215.200001,11.778679,3
6.0,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,159.985000,10.170388,214.339865,12.865609,3
6.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,159.818333,10.359001,214.639959,13.469868,3
7.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,167.072667,11.148954,224.720247,15.624755,3
8.0,99.000000,0.000000,6111.250000,0.000000,1.366667,0.235702,158.121667,12.139240,211.853724,15.874392,3
8.5,98.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,170.166000,0.000000,229.261246,0.000000,1
9.0,99.000000,0.000000,6111.250000,0.000000,1.450000,0.150000,161.603500,10.196500,216.678241,13.671732,2
9.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,158.819667,11.277172,212.989664,13.780565,3
10.0,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,168.698000,0.000000,223.539176,0.000000,1
10.5,99.000000,0.000000,6111.250000,0.000000,1.500000,0.200000,161.246000,10.145000,215.806977,13.393784,2
11.0,99.000000,0.000000,6111.250000,0.000000,1.366667,0.169967,159.170333,10.450699,212.857573,12.697672,3
11.5,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,153.157000,0.000000,206.800927,0.000000,1
12.0,99.000000,0.000000,6111.250000,0.000000,1.400000,0.200000,161.824500,10.554500,216.664575,14.643275,2
12.5,99.000000,0.000000,6111.250000,0.000000,1.333333,0.188562,168.525333,10.672765,225.976117,14.934124,3
13.0,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,151.045000,0.000000,203.564507,0.000000,1
13.5,98.500000,0.500000,6111.250000,0.000000,1.400000,0.200000,161.494000,12.565000,215.529671,17.415172,2
14.0,99.000000,0.000000,6111.250000,0.000000,1.366667,0.235702,166.388333,9.384926,222.412493,13.402744,3
14.5,99.000000,0.000000,6111.250000,0.000000,1.100000,0.000000,148.585000,0.000000,199.873844,0.000000,1
15.0,99.000000,0.000000,6111.250000,0.000000,1.500000,0.200000,162.518000,11.573000,216.936905,16.259856,2
15.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.141421,166.485333,9.310022,221.959137,12.853973,3
16.0,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,155.198000,0.000000,209.533797,0.000000,1
16.5,98.500000,0.500000,6111.250000,0.000000,1.500000,0.200000,161.598500,12.078500,215.195561,16.747347,2
17.0,99.000000,0.000000,6111.250000,0.000000,1.433333,0.205480,160.753333,10.278629,214.928753,13.380308,3
17.5,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,176.244000,0.000000,236.784292,0.000000,1
18.0,99.000000,0.000000,6111.250000,0.000000,1.550000,0.250000,174.376500,0.949500,232.397815,2.942870,2
18.5,99.000000,0.000000,6111.250000,0.000000,1.400000,0.216025,155.128000,2.033410,207.689137,2.110523,3
19.0,99.000000,0.000000,6111.250000,0.000000,1.200000,0.000000,175.187000,0.000000,233.558438,0.000000,1
19.5,99.000000,0.000000,6111.250000,0.000000,1.500000,0.200000,172.604500,1.068500,228.690272,2.523574,2
20.0,99.000000,0.000000,6111.250000,0.000000,1.366667,0.169967,153.402000,1.697246,205.205797,1.737416,3
20.5,99.000000,0.000000,6111.250000,0.000000,1.300000,0.000000,171.563000,0.000000,230.197069,0.000000,1
21.0,99.000000,0.000000,6111.250000,0.000000,1.500000,0.200000,173.225000,0.658000,231.247518,1.604832,2
21.5,99.000000,0.000000,6111.250000,0.000000,1.366667,0.169967,152.141333,3.127506,202.758400,4.917676,3
22.0,99.000000,0.000000,6111.250000,0.000000,1.300000,0.000000,171.157000,0.000000,229.136487,0.000000,1
22.5,99.000000,0.000000,6111.250000,0.000000,1.600000,0.100000,162.081000,7.348000,216.415611,9.029091,2
