timeline_s,dt_s,gpu_energy_delta_j_mean,gpu_energy_delta_j_std,inferred_energy_per_step_j,inferred_energy_per_step_j_std,num_samples
0.0,0.0,0.0,0.0,0.0,0.0,3
0.5,0.5,123.842,2.143272,37.0721027,0.6415884732,3
1.5,1.0,164.609333,9.983496,24.637901916775,1.4942797638,3
2.0,0.5,158.780333,9.5094,47.53089268355001,2.84663889,3
3.0,1.0,162.166333,7.316674,24.272245891775,1.09512318095,3
3.5,0.5,158.454667,9.590011,47.43340456645,2.87076979285,3
4.5,1.0,165.870333,11.242626,24.826642091775,1.68274004655,3
5.0,0.5,159.924333,8.249055,47.873349083549996,2.4693546142500002,3
6.0,1.0,159.985,10.170388,23.945754875000002,1.5222528239000002,3
6.5,0.5,159.818333,10.359001,47.84161798355,3.1009669493499996,3
7.5,1.0,167.072667,11.148954,25.006601433225,1.66871968995,3
8.0,0.5,158.121667,12.13924,47.33372101645,3.6338814939999997,3
8.5,0.5,170.166,0.0,50.9391921,0.0,1
9.0,0.5,161.6035,10.1965,48.376007725,3.0523222750000003,2
9.5,0.5,158.819667,11.277172,47.54266731645,3.3758214382,3
10.0,0.5,168.698,0.0,50.499746300000005,0.0,1
10.5,0.5,161.246,10.145,48.2689901,3.03690575,2
11.0,0.5,159.170333,10.450699,47.64763918355,3.12841674565,3
11.5,0.5,153.157,0.0,45.847547950000006,0.0,1
12.0,0.5,161.8245,10.5545,48.442164075,3.1594895750000003,2
12.5,0.5,168.525333,10.672765,50.448058433549996,3.19489220275,3
13.0,0.5,151.045,0.0,45.21532075,0.0,1
13.5,0.5,161.494,12.565,48.3432289,3.76133275,2
14.0,0.5,166.388333,9.384926,49.808347483549994,2.8093775981,3
14.5,0.5,148.585,0.0,44.47891975,0.0,1
15.0,0.5,162.518,11.573,48.649763300000004,3.46437755,2
15.5,0.5,166.485333,9.310022,49.83738443355,2.7869550857,3
16.0,0.5,155.198,0.0,46.4585213,0.0,1
16.5,0.5,161.5985,12.0785,48.374510975,3.615698975,2
17.0,0.5,160.753333,10.278629,48.12151023355,3.0769075911500003,3
17.5,0.5,176.244,0.0,52.7586414,0.0,1
18.0,0.5,174.3765,0.9495,52.199605274999996,0.284232825,2
18.5,0.5,155.128,2.03341,46.4375668,0.6087012835,3
19.0,0.5,175.187,0.0,52.44222845,0.0,1
19.5,0.5,172.6045,1.0685,51.669157075,0.319855475,2
20.0,0.5,153.402,1.697246,45.9208887,0.5080705901,3
20.5,0.5,171.563,0.0,51.35738405,0.0,1
21.0,0.5,173.225,0.658,51.85490375,0.19697230000000002,2
21.5,0.5,152.141333,3.127506,45.543508033550005,0.9362189210999999,3
22.0,0.5,171.157,0.0,51.23584795000001,0.0,1
22.5,0.5,162.081,7.348,48.51894735,2.1996238,2
23.0,0.5,158.656,13.017336,47.4936736,3.8967395316,3
23.5,0.5,174.06,0.0,52.104861,0.0,1
24.0,0.5,161.0805,8.2205,48.219447675,2.4608066749999997,2
24.5,0.5,158.627,12.512946,47.48499245000001,3.7457503851,3
25.0,0.5,172.549,0.0,51.65254315,0.0,1
25.5,0.5,160.879,8.667,48.15912865,2.59446645,2
26.0,0.5,158.151333,10.614246,47.342601533549995,3.1773745400999998,3
26.5,0.5,161.721,12.204,48.41118135,3.6532674000000003,2
27.0,0.5,170.746,0.0,51.112815100000006,0.0,1
27.5,0.5,160.560667,8.461919,48.06383566645,2.53307545265,3
28.0,0.5,151.932,0.493,45.4808442,0.14757955,2
28.5,0.5,175.912,0.0,52.659257200000006,0.0,1
29.0,0.5,166.225667,10.591404,49.75965341645,3.1705367874,3
29.5,0.5,153.2235,0.6415,45.867454725,0.192033025,2
30.0,0.5,173.472,0.0,51.9288432,0.0,1
30.5,0.5,174.234,0.577747,52.156947900000006,0.17294856445,3
31.0,0.5,153.1555,1.0235,45.847098925,0.306384725,2
31.5,0.5,151.425,0.0,45.329073750000006,0.0,1
32.0,0.5,173.980667,2.072126,52.081112666450004,0.6202909181,3
32.5,0.5,154.275,3.954,46.182221250000005,1.1836299000000001,2
33.0,0.5,151.118,0.0,45.2371733,0.0,1
33.5,0.5,167.293667,8.95454,50.07935921645,2.680541549,3
34.0,0.5,165.1125,11.9895,49.426426875000004,3.589056825,2
34.5,0.5,151.821,0.0,45.44761635,0.0,1
35.0,0.5,166.497333,9.108393,49.84097663355,2.72659744455,3
35.5,0.5,164.161,13.018,49.14159535,3.8969383000000004,2
36.0,0.5,153.978,0.0,46.0933143,0.0,1
36.5,0.5,163.287667,7.149012,48.88016311645,2.1400567422,3
37.0,0.5,162.061,11.225,48.51296035,3.36020375,2
37.5,0.5,148.356,0.0,44.4103686,0.0,1
38.0,0.5,165.159667,10.177026,49.44054631645,3.0464927331,3
38.5,0.5,164.803,7.104,49.33377805,2.1265824,2
39.0,0.5,147.244,0.0,44.0774914,0.0,1
39.5,0.5,158.698,9.644875,47.5062463,2.88719333125,3
40.0,0.5,175.145,1.248,52.42965575,0.3735888,2
40.5,0.5,146.409,0.0,43.82753415,0.0,1
41.0,0.5,157.287667,8.705481,47.084063116450004,2.60598573735,3
41.5,0.5,172.5635,0.0685,51.656883725,0.020505475000000002,2
42.0,0.5,150.007,0.0,44.90459545,0.0,1
42.5,0.5,157.328,9.070925,47.096136800000004,2.7153813987500004,3
43.0,0.5,171.252,0.568,51.2642862,0.17003079999999998,2
43.5,0.5,149.302,0.0,44.693553699999995,0.0,1
44.0,0.5,158.502,11.516602,47.44757370000001,3.4474948087,3
44.5,0.5,171.8295,0.0565,51.437160825,0.016913275000000002,2
45.0,0.5,151.874,0.0,45.4634819,0.0,1
45.5,0.5,158.489,10.820404,47.44368215,3.2390879374,3
46.0,0.5,173.367,0.068,51.89741145,0.0203558,2
46.5,0.5,174.003,0.0,52.087798049999996,0.0,1
47.0,0.5,152.836333,1.531908,45.75155628355,0.4585766598,3
47.5,0.5,172.582,0.388,51.662421699999996,0.11614780000000001,2
