step,loss,step_s,forward_s,backward_s,optimizer_s
5,,0.147431,0.042772,0.085086,0.019154
10,,0.147445,0.042695,0.085282,0.019032
15,,0.147310,0.042698,0.085175,0.019044
20,,0.147492,0.042785,0.085034,0.019264
25,,0.147396,0.043089,0.084864,0.019048
30,,0.148925,0.043884,0.085406,0.019217
35,,0.147546,0.042659,0.085417,0.019076
40,,0.147881,0.042795,0.085384,0.019282
45,,0.147950,0.042743,0.085601,0.019151
50,,0.148162,0.042798,0.085685,0.019210
55,,0.148333,0.042983,0.085842,0.019062
60,,0.148071,0.042861,0.085333,0.019283
65,,0.147971,0.042969,0.085550,0.019057
70,,0.148299,0.043054,0.085639,0.019174
75,,0.149526,0.043263,0.086537,0.019311
80,,0.150615,0.043635,0.087252,0.019277
85,,0.148293,0.043071,0.085602,0.019185
90,,0.148059,0.042946,0.085598,0.019089
95,,0.148190,0.042968,0.085676,0.019103
100,,0.148626,0.042928,0.085893,0.019359
105,,0.148726,0.043249,0.085876,0.019177
110,,0.150559,0.043494,0.087384,0.019266
115,,0.149044,0.043186,0.086278,0.019146
120,,0.148386,0.042964,0.085882,0.019127
125,,0.147611,0.042872,0.085201,0.019106
130,,0.147420,0.042694,0.085224,0.019086
135,,0.147820,0.042779,0.085298,0.019281
140,,0.147469,0.042770,0.085204,0.019081
145,,0.147976,0.043010,0.085226,0.019286
150,,0.148708,0.042869,0.086428,0.018984
155,,0.146147,0.042980,0.083669,0.019062
160,,0.147655,0.042829,0.085276,0.019135
165,,0.147792,0.042897,0.085224,0.019251
170,,0.147658,0.042838,0.085213,0.019185
175,,0.147657,0.042778,0.085395,0.019060
180,,0.147829,0.042787,0.085369,0.019230
185,,0.148124,0.042802,0.085607,0.019299
190,,0.148063,0.042874,0.085549,0.019179
195,,0.148370,0.043000,0.085621,0.019165
200,,0.148548,0.043157,0.085651,0.019279
205,,0.148538,0.043155,0.085895,0.019067
210,,0.149556,0.043216,0.086738,0.019177
215,,0.150073,0.043195,0.087176,0.019298
220,,0.148321,0.043063,0.085646,0.019219
225,,0.148103,0.042852,0.085735,0.019135
230,,0.147814,0.042753,0.085610,0.019034
235,,0.148095,0.042801,0.085866,0.019042
240,,0.148370,0.043025,0.085825,0.019096
245,,0.149512,0.043280,0.086538,0.019271
250,,0.150550,0.043381,0.087607,0.019099
255,,0.148554,0.043035,0.086025,0.019075
260,,0.148251,0.042884,0.085931,0.019044
265,,0.148640,0.043061,0.085924,0.019259
270,,0.149844,0.043381,0.086931,0.019101
275,,0.149757,0.043296,0.086853,0.019151
280,,0.148351,0.043046,0.085848,0.019029
285,,0.148518,0.042973,0.086116,0.019022
290,,0.149206,0.043421,0.086137,0.019209
295,,0.150718,0.043429,0.087667,0.019194
300,,0.148861,0.043078,0.086079,0.019290
305,,0.148777,0.043022,0.086118,0.019189
310,,0.147693,0.042777,0.085519,0.018967
315,,0.147789,0.042748,0.085606,0.019037
320,,0.146250,0.042910,0.083791,0.019159
325,,0.148620,0.042797,0.085654,0.019503
330,,0.148783,0.042830,0.086524,0.019012
335,,0.147749,0.042850,0.085545,0.018966
340,,0.148064,0.042739,0.085795,0.019147
345,,0.147948,0.042843,0.085690,0.018996
350,,0.148466,0.042956,0.085784,0.019281
355,,0.148222,0.043505,0.085253,0.019041
360,,0.149959,0.043291,0.087235,0.019026
365,,0.148700,0.043012,0.086137,0.019148
370,,0.148072,0.042804,0.085577,0.019281
375,,0.148328,0.042802,0.085845,0.019288
380,,0.148199,0.042919,0.085812,0.019053
385,,0.148702,0.043061,0.085991,0.019222
390,,0.150249,0.043378,0.087197,0.019261
395,,0.149239,0.043188,0.086539,0.019133
400,,0.148228,0.043026,0.085710,0.019076
405,,0.147988,0.042871,0.085632,0.019048
410,,0.148219,0.042842,0.085654,0.019306
415,,0.148353,0.042995,0.085848,0.019090
420,,0.149907,0.043404,0.086855,0.019221
425,,0.149766,0.043275,0.086896,0.019174
430,,0.149546,0.043242,0.086862,0.019032
435,,0.148298,0.042902,0.085705,0.019276
440,,0.148651,0.043203,0.085993,0.019033
445,,0.149850,0.043371,0.086983,0.019090
450,,0.149464,0.043340,0.086594,0.019116
455,,0.148121,0.042922,0.085654,0.019122
460,,0.149437,0.042886,0.086851,0.019280
465,,0.148665,0.043106,0.086027,0.019095
470,,0.149589,0.043308,0.086542,0.019326
475,,0.150060,0.043387,0.087026,0.019237
480,,0.148313,0.043013,0.085787,0.019096
485,,0.148646,0.042931,0.085981,0.019290
490,,0.148486,0.042994,0.085779,0.019301
495,,0.149079,0.043260,0.086268,0.019140
500,,0.149923,0.043341,0.087109,0.019019
505,,0.148379,0.042998,0.085882,0.019077
510,,0.148375,0.042951,0.085832,0.019137
515,,0.148608,0.043077,0.086023,0.019093
520,,0.150041,0.043423,0.087004,0.019164
525,,0.149958,0.043341,0.086840,0.019281
530,,0.148529,0.043025,0.085728,0.019333
535,,0.148655,0.042930,0.086015,0.019258
540,,0.148607,0.043079,0.085976,0.019104
545,,0.150284,0.043396,0.087408,0.018886
550,,0.149194,0.043265,0.086203,0.019293
555,,0.147999,0.042888,0.085647,0.019084
560,,0.148574,0.042961,0.086010,0.019156
565,,0.148600,0.043192,0.085967,0.019030
570,,0.150534,0.043392,0.087193,0.019443
575,,0.148505,0.043038,0.085940,0.019105
580,,0.148652,0.042971,0.086213,0.019030
585,,0.148609,0.042982,0.086087,0.019132
590,,0.148667,0.043174,0.086031,0.019036
595,,0.149564,0.043794,0.086145,0.019181
600,,0.150401,0.043436,0.087294,0.019214
605,,0.148949,0.043252,0.086028,0.019202
610,,0.147859,0.043381,0.084999,0.019059
615,,0.148997,0.043268,0.086024,0.019285
620,,0.150110,0.043391,0.087091,0.019223
625,,0.148352,0.043112,0.085843,0.018980
630,,0.148349,0.042920,0.085970,0.019045
635,,0.150235,0.043140,0.087433,0.019249
640,,0.150001,0.043382,0.087181,0.019023
645,,0.148438,0.043047,0.085928,0.019042
650,,0.148455,0.042934,0.086015,0.019047
655,,0.148344,0.042915,0.085910,0.019081
660,,0.148860,0.043250,0.086125,0.019093
665,,0.150559,0.043428,0.087631,0.019115
670,,0.148581,0.043010,0.085928,0.019236
675,,0.148441,0.042920,0.086060,0.019046
680,,0.148322,0.043040,0.085769,0.019053
685,,0.149893,0.043402,0.087123,0.018952
690,,0.149555,0.043258,0.086684,0.019209
695,,0.148413,0.042890,0.085814,0.019330
700,,0.148302,0.042982,0.085733,0.019205
705,,0.149477,0.043255,0.086812,0.019011
710,,0.149476,0.043293,0.086772,0.019018
715,,0.148270,0.042877,0.085952,0.019044
720,,0.147440,0.043325,0.084476,0.019245
725,,0.148871,0.043277,0.086186,0.019025
730,,0.149608,0.043297,0.086804,0.019083
735,,0.148485,0.043027,0.085940,0.019102
740,,0.148292,0.042985,0.085829,0.019051
745,,0.149276,0.043214,0.085843,0.019395
750,,0.149659,0.043269,0.086901,0.019073
755,,0.148241,0.042992,0.085596,0.019262
760,,0.148413,0.042963,0.085812,0.019247
765,,0.149108,0.043275,0.086077,0.019313
770,,0.149830,0.043275,0.086901,0.019225
775,,0.148976,0.044038,0.085400,0.019103
780,,0.148446,0.043080,0.085796,0.019149
785,,0.149461,0.043263,0.086493,0.019263
790,,0.150291,0.044068,0.086665,0.019109
795,,0.148540,0.043021,0.086036,0.019025
800,,0.148850,0.043091,0.085979,0.019340
805,,0.150176,0.043434,0.087177,0.019145
810,,0.148369,0.043170,0.085711,0.019047
815,,0.148544,0.042969,0.086014,0.019114
820,,0.148500,0.043101,0.085857,0.019045
