step,loss,step_s,forward_s,backward_s,optimizer_s
1,10.487815,0.399623,0.167506,0.190918,0.041006
2,10.465400,0.283682,0.088118,0.176018,0.019124
3,10.418211,0.281314,0.087600,0.174334,0.019071
4,10.379402,0.282569,0.088343,0.174684,0.019074
5,10.342643,0.280772,0.087475,0.173651,0.019277
6,10.338562,0.283031,0.088348,0.175117,0.019120
7,10.330437,0.280880,0.087842,0.173526,0.019133
8,10.270114,0.281536,0.088154,0.173885,0.019100
9,10.238319,0.282271,0.088425,0.174147,0.019327
10,10.181309,0.281068,0.088091,0.173556,0.019072
11,10.150744,0.280997,0.087925,0.173682,0.019029
12,10.139781,0.281935,0.088112,0.174160,0.019274
13,10.070822,0.281206,0.087830,0.173866,0.019131
14,10.015073,0.281734,0.088091,0.174049,0.019242
15,9.961557,0.281216,0.086589,0.174997,0.019245
16,9.915956,0.280939,0.087336,0.173985,0.019236
17,9.895656,0.281912,0.088666,0.173803,0.019066
18,9.860660,0.281674,0.088403,0.173667,0.019259
19,9.785777,0.280822,0.087535,0.173641,0.019257
20,9.754196,0.282849,0.088634,0.174802,0.019075
21,9.756182,0.281150,0.087890,0.173723,0.019191
22,9.705737,0.282265,0.086862,0.175089,0.019805
23,9.660443,0.282340,0.088777,0.174047,0.019071
24,9.644388,0.280922,0.087761,0.173729,0.019092
25,9.583066,0.281012,0.087821,0.173774,0.019041
26,9.560588,0.282155,0.088128,0.174303,0.019351
27,9.524552,0.281534,0.087991,0.174118,0.019052
28,9.487078,0.282706,0.087886,0.175434,0.019039
29,9.447174,0.281161,0.086867,0.174677,0.019157
30,9.462651,0.282378,0.088443,0.174335,0.019255
31,9.395649,0.283401,0.088564,0.175327,0.019139
32,9.386158,0.281320,0.088100,0.173820,0.019053
33,9.354119,0.283938,0.088625,0.175575,0.019337
34,9.328014,0.282083,0.088239,0.174273,0.019234
35,9.322439,0.282575,0.088572,0.174468,0.019189
36,9.300514,0.283205,0.089147,0.174636,0.019081
37,9.264007,0.283080,0.087976,0.174934,0.019662
38,9.270463,0.284114,0.088365,0.176328,0.019009
39,9.241681,0.281530,0.087867,0.174240,0.019079
40,9.248611,0.283209,0.088687,0.175098,0.019077
41,9.213342,0.281982,0.088008,0.174342,0.019245
42,9.213160,0.281797,0.087607,0.174257,0.019546
43,9.179942,0.282330,0.088875,0.173968,0.019133
44,9.184018,0.282260,0.088058,0.174722,0.019134
45,9.163077,0.282753,0.088209,0.175019,0.019141
46,9.157780,0.282133,0.087795,0.174544,0.019416
47,9.136833,0.284097,0.088702,0.175948,0.019069
48,9.124852,0.283795,0.088978,0.175225,0.019235
49,9.137115,0.283248,0.089503,0.174262,0.019110
50,9.129961,0.283322,0.088212,0.175663,0.019096
51,9.096607,0.282097,0.087951,0.174211,0.019506
52,9.094754,0.285309,0.088685,0.177014,0.019262
53,9.073513,0.282332,0.086706,0.176136,0.019115
54,9.075125,0.282187,0.087664,0.174842,0.019330
55,9.077663,0.281901,0.088194,0.174246,0.019082
56,9.094730,0.282621,0.088146,0.174905,0.019226
57,9.061811,0.283336,0.088383,0.175347,0.019235
58,9.068376,0.281608,0.088043,0.173995,0.019218
59,9.051222,0.284202,0.088453,0.176297,0.019085
60,9.064427,0.284116,0.088935,0.175770,0.019060
61,9.047335,0.282895,0.088325,0.175192,0.019028
62,9.017948,0.282991,0.088382,0.175096,0.019163
63,9.013546,0.282706,0.088171,0.174576,0.019448
64,9.034456,0.284609,0.088721,0.176376,0.019147
65,9.043666,0.282135,0.086830,0.175729,0.019138
66,9.020185,0.281987,0.087781,0.174825,0.019031
67,9.017980,0.283671,0.089551,0.174598,0.019178
68,8.995544,0.282142,0.086514,0.176139,0.019129
69,8.999182,0.287903,0.088774,0.179403,0.019322
70,8.965487,0.282459,0.088448,0.174553,0.019102
71,12.619509,0.283211,0.087767,0.175797,0.019279
72,8.982621,0.284837,0.089736,0.175467,0.019269
73,9.010219,0.281629,0.087985,0.174205,0.019057
74,8.978255,0.284280,0.088787,0.175840,0.019267
75,8.997803,0.282735,0.088556,0.174725,0.019101
76,8.998503,0.282619,0.088163,0.174890,0.019214
77,8.984866,0.282335,0.087204,0.175588,0.019132
78,8.977431,0.282337,0.088217,0.174656,0.019121
79,8.968712,0.284784,0.088649,0.176674,0.019083
80,8.977427,0.282919,0.088182,0.175146,0.019219
81,8.979951,0.283488,0.088888,0.175009,0.019243
82,8.985626,0.283386,0.088583,0.175189,0.019263
83,8.976233,0.282867,0.087757,0.175704,0.019056
84,8.979163,0.285196,0.090302,0.175382,0.019120
85,8.963454,0.282751,0.088277,0.175069,0.019029
86,8.979526,0.283337,0.088462,0.175260,0.019225
87,8.974405,0.283551,0.088422,0.175689,0.019046
88,8.958512,0.282402,0.088095,0.174689,0.019269
89,8.978039,0.282595,0.087539,0.175371,0.019280
90,8.966083,0.283175,0.088814,0.174790,0.019225
91,8.980147,0.284761,0.089045,0.176154,0.019161
92,8.955823,0.283590,0.088630,0.175460,0.019109
93,8.973408,0.282514,0.088094,0.174836,0.019155
94,8.976355,0.286242,0.088768,0.177170,0.019764
95,8.959915,0.284307,0.089399,0.175404,0.019046
96,8.951556,0.283459,0.088391,0.175547,0.019113
97,8.958934,0.284878,0.088731,0.176637,0.019141
98,8.927982,0.283292,0.088494,0.175214,0.019237
99,8.953748,0.283232,0.088672,0.175014,0.019202
100,8.924985,0.282751,0.087198,0.176077,0.019080
101,8.916110,0.283108,0.088647,0.175079,0.019009
102,8.965611,0.285456,0.088920,0.177030,0.019145
103,8.930326,0.282719,0.088401,0.174870,0.019075
104,8.908458,0.283949,0.089068,0.175384,0.019148
105,11.930978,0.284838,0.089131,0.176268,0.019090
106,8.935592,0.285106,0.089101,0.176384,0.019243
107,8.938082,0.285383,0.091019,0.174887,0.019102
108,8.936871,0.284414,0.088679,0.176189,0.019204
109,8.928068,0.283431,0.088246,0.175461,0.019081
110,8.945852,0.284044,0.089284,0.175305,0.019107
111,8.941654,0.282584,0.087083,0.176012,0.019145
112,8.950449,0.283050,0.088555,0.175100,0.019059
113,8.947321,0.284752,0.088647,0.176640,0.019101
114,8.945932,0.282157,0.088148,0.174587,0.019078
115,8.925013,0.283979,0.088947,0.175622,0.019065
116,8.925765,0.282262,0.088282,0.174595,0.019044
117,8.920115,0.283259,0.087528,0.176048,0.019329
118,8.923318,0.284544,0.089865,0.175321,0.019013
119,8.933990,0.282629,0.088135,0.175039,0.019067
120,8.935721,0.284794,0.089121,0.176101,0.019227
121,8.930022,0.282713,0.088419,0.174876,0.019057
122,8.920429,0.283193,0.088334,0.175287,0.019224
123,8.927722,0.282564,0.087499,0.175450,0.019237
