step,loss,step_s,forward_s,backward_s,optimizer_s
3,,0.545566,0.179916,0.346021,0.019114
6,,0.554207,0.180117,0.354307,0.019205
9,,0.543927,0.179197,0.345125,0.019087
12,,0.546413,0.180443,0.345587,0.019650
15,,0.545613,0.181031,0.344703,0.019289
18,,0.545805,0.180597,0.345400,0.019190
21,,0.545539,0.180806,0.344930,0.019251
24,,0.547316,0.180964,0.345963,0.019677
27,,0.548099,0.182293,0.346093,0.019121
30,,0.546384,0.180458,0.346334,0.019068
33,,0.556048,0.181812,0.354315,0.019373
36,,0.549047,0.181854,0.347359,0.019330
39,,0.548295,0.180953,0.346987,0.019651
42,,0.548375,0.181811,0.346446,0.019568
45,,0.548974,0.181214,0.347677,0.019522
48,,0.548426,0.181090,0.347319,0.019435
51,,0.548371,0.181745,0.346649,0.019472
54,,0.548180,0.181182,0.347377,0.019093
57,,0.548933,0.181400,0.347875,0.019133
60,,0.552170,0.181995,0.350220,0.019259
63,,0.550119,0.182362,0.347851,0.019300
66,,0.550690,0.182237,0.348861,0.019043
69,,0.550095,0.181463,0.348863,0.019226
72,,0.549626,0.180982,0.348774,0.019312
75,,0.551153,0.182236,0.349295,0.019107
78,,0.550562,0.182238,0.348533,0.019258
81,,0.552044,0.183492,0.348549,0.019295
84,,0.550970,0.182431,0.348987,0.019065
87,,0.551637,0.182158,0.349703,0.019245
90,,0.553248,0.182608,0.350761,0.019336
93,,0.552454,0.183316,0.349486,0.019099
96,,0.552459,0.182826,0.349937,0.019123
99,,0.551781,0.181983,0.350112,0.019156
102,,0.553101,0.184104,0.349409,0.019080
105,,0.552552,0.183022,0.349787,0.019266
108,,0.554480,0.183846,0.350926,0.019219
111,,0.553531,0.183325,0.350470,0.019215
114,,0.554532,0.183654,0.351026,0.019321
117,,0.553705,0.183686,0.350268,0.019209
120,,0.554076,0.183419,0.351015,0.019104
123,,0.553580,0.183827,0.350039,0.019208
126,,0.554464,0.183578,0.351071,0.019258
129,,0.554207,0.183543,0.350902,0.019208
132,,0.555140,0.184570,0.350881,0.019192
135,,0.554672,0.183560,0.351321,0.019259
138,,0.554426,0.183954,0.350847,0.019117
141,,0.556647,0.184823,0.351404,0.019710
144,,0.554445,0.183904,0.350993,0.019038
147,,0.555009,0.184232,0.351098,0.019176
150,,0.555950,0.184665,0.351263,0.019513
153,,0.553866,0.183583,0.350503,0.019270
156,,0.554376,0.184661,0.350089,0.019150
159,,0.553623,0.182605,0.351274,0.019095
162,,0.554585,0.184197,0.350753,0.019156
165,,0.555122,0.183866,0.351605,0.019154
168,,0.554515,0.183585,0.351161,0.019200
171,,0.552942,0.183100,0.350343,0.019033
174,,0.553720,0.182786,0.351287,0.019163
177,,0.554518,0.184191,0.350425,0.019295
180,,0.554015,0.183083,0.351212,0.019250
183,,0.555399,0.184376,0.351422,0.019093
186,,0.555213,0.184292,0.351217,0.019207
189,,0.567028,0.183552,0.363855,0.019067
192,,0.564983,0.184128,0.361045,0.019281
195,,0.561778,0.184655,0.357507,0.019099
198,,0.562454,0.183907,0.358718,0.019315
201,,0.562443,0.184195,0.358644,0.019077
204,,0.562483,0.184319,0.358584,0.019046
207,,0.562146,0.184285,0.358270,0.019050
210,,0.563352,0.185059,0.358512,0.019286
213,,0.554554,0.184191,0.350747,0.019093
216,,0.555023,0.183969,0.351351,0.019231
219,,0.554824,0.183389,0.351750,0.019128
222,,0.554913,0.184087,0.351028,0.019294
225,,0.555345,0.184509,0.351216,0.019073
228,,0.554701,0.183442,0.351485,0.019277
231,,0.555524,0.184477,0.351322,0.019169
234,,0.554993,0.183843,0.351333,0.019298
237,,0.555133,0.183727,0.351766,0.019101
240,,0.554515,0.184052,0.350898,0.019054
243,,0.556386,0.184616,0.352027,0.019205
246,,0.556555,0.184991,0.351505,0.019352
249,,0.554960,0.183916,0.351462,0.019110
252,,0.554910,0.183793,0.351530,0.019065
255,,0.556926,0.185573,0.351554,0.019262
258,,0.555042,0.184650,0.350788,0.019069
261,,0.556432,0.184791,0.351948,0.019212
264,,0.556742,0.184654,0.352224,0.019331
267,,0.555999,0.185022,0.351444,0.019057
270,,0.555324,0.184559,0.351105,0.019163
273,,0.555521,0.184999,0.350990,0.019020
276,,0.555395,0.183872,0.352026,0.019008
279,,0.554285,0.183046,0.351459,0.019232
282,,0.554772,0.184307,0.350697,0.019238
285,,0.555453,0.184088,0.351573,0.019265
288,,0.556614,0.183681,0.353006,0.019378
291,,0.555510,0.184483,0.351396,0.019094
294,,0.562537,0.184457,0.358485,0.019076
297,,0.563439,0.185042,0.358633,0.019272
300,,0.562735,0.184306,0.358854,0.019035
303,,0.563139,0.185204,0.358010,0.019357
306,,0.555953,0.185134,0.351049,0.019253
309,,0.562069,0.183682,0.358770,0.019068
312,,0.562519,0.184059,0.358757,0.019196
315,,0.562482,0.184600,0.358294,0.019075
318,,0.562844,0.184584,0.358368,0.019244
321,,0.561917,0.184187,0.357868,0.019272
