step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
5,10.378709,0.5393,0.1794,0.3400,0.0192,59.3367
10,10.239883,0.5426,0.1798,0.3427,0.0193,58.9718
15,10.084751,0.5427,0.1797,0.3430,0.0194,58.9603
20,9.994773,0.5424,0.1793,0.3433,0.0191,58.9981
25,9.831145,0.5520,0.1802,0.3519,0.0192,57.9686
30,9.758471,0.5447,0.1796,0.3450,0.0196,58.7465
35,9.705761,0.5445,0.1799,0.3449,0.0191,58.7743
40,9.646308,0.5457,0.1799,0.3452,0.0199,58.6455
45,9.604846,0.5460,0.1807,0.3456,0.0191,58.6081
50,9.544926,0.5457,0.1799,0.3460,0.0193,58.6396
55,9.533618,0.5572,0.1803,0.3572,0.0191,57.4333
60,9.517399,0.5476,0.1814,0.3464,0.0193,58.4368
65,9.513822,0.5465,0.1811,0.3457,0.0192,58.5504
70,9.475224,0.5580,0.1807,0.3576,0.0191,57.3522
75,9.481490,0.5471,0.1812,0.3462,0.0192,58.4867
80,9.477919,0.5487,0.1817,0.3471,0.0192,58.3242
85,9.476045,0.5492,0.1823,0.3474,0.0191,58.2618
90,9.476017,0.5490,0.1815,0.3479,0.0190,58.2843
95,9.456731,0.5499,0.1819,0.3483,0.0191,58.1937
100,9.445028,0.5505,0.1818,0.3487,0.0194,58.1257
105,9.451879,0.5502,0.1821,0.3483,0.0193,58.1631
110,9.438402,0.5517,0.1826,0.3492,0.0193,58.0075
115,9.444027,0.5512,0.1821,0.3494,0.0192,58.0552
120,9.426224,0.5623,0.1819,0.3608,0.0191,56.9067
125,9.435315,0.5528,0.1827,0.3503,0.0192,57.8834
130,9.425248,0.5521,0.1829,0.3496,0.0191,57.9560
135,9.423784,0.5515,0.1824,0.3493,0.0192,58.0234
140,9.433914,0.5521,0.1830,0.3494,0.0193,57.9571
145,9.434895,0.5519,0.1826,0.3493,0.0192,57.9811
150,9.428044,0.5617,0.1822,0.3599,0.0191,56.9666
155,9.409460,0.5643,0.1821,0.3623,0.0193,56.7053
160,9.426720,0.5625,0.1822,0.3608,0.0191,56.8881
165,9.421523,0.5614,0.1822,0.3596,0.0191,56.9998
170,9.422316,0.5536,0.1838,0.3500,0.0192,57.8060
175,9.421267,0.5523,0.1831,0.3494,0.0193,57.9393
180,9.420449,0.5525,0.1823,0.3505,0.0192,57.9137
185,9.420009,0.5523,0.1831,0.3494,0.0192,57.9389
190,9.425195,0.5525,0.1827,0.3501,0.0191,57.9158
195,9.422586,0.5661,0.1833,0.3631,0.0191,56.5318
200,9.409881,0.5530,0.1834,0.3498,0.0193,57.8641
205,9.403118,0.5635,0.1827,0.3610,0.0192,56.7898
210,9.411627,0.5539,0.1835,0.3508,0.0191,57.7731
215,9.402410,0.5628,0.1829,0.3602,0.0191,56.8620
220,9.417773,0.5637,0.1828,0.3608,0.0195,56.7668
225,9.402115,0.5639,0.1824,0.3618,0.0191,56.7484
230,9.421352,0.5655,0.1834,0.3624,0.0191,56.5855
235,9.402542,0.5632,0.1837,0.3596,0.0192,56.8192
240,9.385660,0.5541,0.1838,0.3506,0.0192,57.7465
