step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
1,10.502969,0.2724,0.1308,0.1009,0.0406,29.3657
2,10.419520,0.1501,0.0418,0.0888,0.0191,53.2985
3,10.355385,0.1474,0.0424,0.0855,0.0192,54.2855
4,10.314376,0.1472,0.0422,0.0853,0.0193,54.3489
5,10.316570,0.1476,0.0423,0.0857,0.0193,54.1881
6,10.262023,0.1498,0.0427,0.0871,0.0196,53.4003
7,10.253960,0.1474,0.0423,0.0855,0.0193,54.2677
8,10.197845,0.1483,0.0422,0.0868,0.0190,53.9420
9,10.125267,0.1478,0.0424,0.0859,0.0192,54.1183
10,10.113677,0.1486,0.0424,0.0867,0.0191,53.8278
11,10.048740,0.1476,0.0424,0.0855,0.0192,54.1865
12,10.029167,0.1474,0.0423,0.0854,0.0193,54.2772
13,9.953918,0.1474,0.0423,0.0857,0.0191,54.2557
14,9.902733,0.1487,0.0426,0.0866,0.0191,53.8054
15,9.834721,0.1475,0.0424,0.0856,0.0192,54.2304
16,9.779283,0.1483,0.0437,0.0851,0.0191,53.9589
17,9.760668,0.1478,0.0423,0.0858,0.0193,54.1424
18,9.679324,0.1488,0.0424,0.0868,0.0191,53.7752
19,9.617748,0.1474,0.0424,0.0855,0.0191,54.2841
20,9.577343,0.1473,0.0422,0.0856,0.0191,54.3111
21,9.544139,0.1473,0.0424,0.0855,0.0191,54.3060
22,9.486364,0.1496,0.0427,0.0871,0.0193,53.4806
23,9.381526,0.1479,0.0425,0.0858,0.0193,54.0940
24,9.417176,0.1474,0.0421,0.0857,0.0193,54.2569
25,9.329809,0.1487,0.0432,0.0859,0.0192,53.8011
26,9.253022,0.1489,0.0425,0.0868,0.0193,53.7229
27,9.251831,0.1478,0.0426,0.0858,0.0191,54.1116
28,9.178187,0.1477,0.0423,0.0859,0.0191,54.1728
29,9.503865,0.1487,0.0427,0.0858,0.0197,53.7948
30,9.071940,0.1511,0.0428,0.0886,0.0192,52.9513
31,9.063987,0.1467,0.0425,0.0848,0.0191,54.5345
32,8.977814,0.1478,0.0423,0.0860,0.0192,54.1359
33,9.011274,0.1472,0.0421,0.0857,0.0190,54.3397
34,8.963611,0.1480,0.0430,0.0855,0.0192,54.0680
35,8.960503,0.1504,0.0438,0.0871,0.0191,53.1855
36,8.902378,0.1486,0.0423,0.0868,0.0191,53.8390
37,8.880985,0.1472,0.0421,0.0857,0.0191,54.3330
38,8.841912,0.1471,0.0421,0.0854,0.0191,54.3985
39,8.843194,0.1484,0.0427,0.0862,0.0192,53.8935
40,8.766553,0.1476,0.0424,0.0857,0.0192,54.2155
41,8.762728,0.1480,0.0426,0.0859,0.0191,54.0664
42,8.743521,0.1476,0.0422,0.0857,0.0194,54.1971
43,8.711806,0.1491,0.0427,0.0867,0.0193,53.6571
44,8.735236,0.1485,0.0427,0.0864,0.0191,53.8727
45,8.707903,0.1485,0.0434,0.0856,0.0192,53.8859
46,8.692873,0.1471,0.0421,0.0856,0.0191,54.3739
47,8.662295,0.1473,0.0422,0.0857,0.0191,54.3099
48,8.621806,0.1483,0.0427,0.0861,0.0191,53.9310
49,8.549667,0.1479,0.0425,0.0859,0.0191,54.1053
50,8.622252,0.1483,0.0427,0.0859,0.0193,53.9440
51,8.588101,0.1474,0.0421,0.0859,0.0190,54.2879
52,8.574751,0.1490,0.0433,0.0861,0.0194,53.6740
53,8.586502,0.1494,0.0426,0.0873,0.0191,53.5505
54,8.600928,0.1491,0.0425,0.0872,0.0191,53.6466
55,8.583507,0.1478,0.0422,0.0860,0.0193,54.1256
56,8.553691,0.1475,0.0422,0.0856,0.0193,54.2468
57,8.525424,0.1484,0.0428,0.0860,0.0192,53.9092
58,8.525970,0.1502,0.0428,0.0873,0.0196,53.2732
59,8.533537,0.1491,0.0429,0.0865,0.0193,53.6517
60,8.491740,0.1478,0.0422,0.0861,0.0192,54.1229
61,8.486707,0.1489,0.0438,0.0856,0.0191,53.7391
62,8.482467,0.1482,0.0423,0.0863,0.0193,53.9864
63,8.459832,0.1496,0.0427,0.0874,0.0191,53.4936
64,8.452826,0.1484,0.0424,0.0863,0.0193,53.9175
65,8.481893,0.1479,0.0422,0.0860,0.0192,54.1053
66,8.469519,0.1473,0.0422,0.0856,0.0191,54.3053
67,8.457203,0.1499,0.0427,0.0874,0.0195,53.3512
68,8.446558,0.1484,0.0426,0.0863,0.0191,53.9074
69,8.440257,0.1478,0.0423,0.0861,0.0191,54.1353
70,8.440254,0.1474,0.0422,0.0857,0.0191,54.2898
71,8.432688,0.1479,0.0425,0.0858,0.0192,54.0992
72,8.434083,0.1494,0.0426,0.0874,0.0190,53.5576
73,8.396474,0.1493,0.0428,0.0871,0.0190,53.5946
74,8.434817,0.1480,0.0425,0.0859,0.0192,54.0423
75,8.389596,0.1475,0.0423,0.0859,0.0191,54.2258
76,8.425997,0.1488,0.0425,0.0864,0.0195,53.7778
77,8.413421,0.1500,0.0428,0.0876,0.0192,53.3489
78,8.399430,0.1500,0.0429,0.0877,0.0191,53.3233
79,8.406384,0.1482,0.0426,0.0860,0.0193,53.9804
80,8.377357,0.1479,0.0423,0.0860,0.0193,54.0772
81,8.395689,0.1480,0.0424,0.0862,0.0191,54.0663
82,8.383748,0.1485,0.0425,0.0866,0.0191,53.8832
83,8.402496,0.1489,0.0427,0.0867,0.0192,53.7271
84,8.355514,0.1482,0.0423,0.0862,0.0193,53.9985
85,8.411217,0.1482,0.0424,0.0859,0.0195,53.9743
86,8.375358,0.1487,0.0425,0.0867,0.0191,53.8072
87,8.364003,0.1505,0.0429,0.0878,0.0194,53.1579
88,8.372259,0.1484,0.0426,0.0864,0.0190,53.9221
89,8.360918,0.1477,0.0423,0.0859,0.0192,54.1576
90,8.345931,0.1475,0.0424,0.0857,0.0191,54.2293
91,8.377739,0.1495,0.0426,0.0874,0.0191,53.5195
92,8.350280,0.1495,0.0428,0.0871,0.0192,53.5232
93,8.351307,0.1479,0.0424,0.0861,0.0191,54.0945
94,8.384708,0.1476,0.0422,0.0859,0.0191,54.2074
95,8.346562,0.1479,0.0424,0.0861,0.0191,54.1012
96,8.349408,0.1492,0.0426,0.0870,0.0193,53.6302
97,8.355689,0.1501,0.0429,0.0875,0.0192,53.3145
98,8.344812,0.1504,0.0429,0.0878,0.0193,53.1875
99,8.326308,0.1486,0.0427,0.0865,0.0192,53.8191
100,8.329677,0.1481,0.0424,0.0862,0.0192,54.0193
101,8.357150,0.1478,0.0425,0.0859,0.0191,54.1330
102,8.315957,0.1490,0.0425,0.0870,0.0191,53.6977
103,8.352132,0.1500,0.0427,0.0878,0.0192,53.3296
104,8.343775,0.1484,0.0426,0.0864,0.0191,53.9171
105,8.355847,0.1480,0.0423,0.0861,0.0192,54.0467
106,8.355892,0.1480,0.0423,0.0861,0.0193,54.0402
107,8.338100,0.1496,0.0427,0.0874,0.0192,53.4743
108,8.342135,0.1494,0.0427,0.0868,0.0195,53.5466
109,8.319159,0.1481,0.0424,0.0864,0.0188,54.0077
110,8.314494,0.1478,0.0423,0.0861,0.0191,54.1133
111,8.371506,0.1445,0.0424,0.0826,0.0192,55.3781
112,8.329666,0.1501,0.0429,0.0878,0.0191,53.2999
113,8.329268,0.1485,0.0427,0.0864,0.0191,53.8733
114,8.335790,0.1506,0.0440,0.0872,0.0191,53.1055
115,8.336905,0.1480,0.0423,0.0863,0.0191,54.0644
116,8.345751,0.1486,0.0426,0.0865,0.0191,53.8472
117,8.318056,0.1500,0.0429,0.0878,0.0190,53.3229
118,8.312687,0.1492,0.0428,0.0870,0.0191,53.6060
119,8.297996,0.1484,0.0426,0.0864,0.0190,53.9191
