step,loss,step_s,forward_s,backward_s,optimizer_s
5,,0.279023,0.087863,0.171470,0.019062
10,,0.279113,0.087455,0.171926,0.019249
15,,0.280254,0.087912,0.172609,0.019231
20,,0.281304,0.088551,0.173152,0.019088
25,,0.278447,0.087219,0.171468,0.019234
30,,0.279000,0.087608,0.171876,0.019076
35,,0.280769,0.088171,0.173021,0.019092
40,,0.278720,0.087562,0.171455,0.019243
45,,0.279273,0.087475,0.172112,0.019195
50,,0.280952,0.087895,0.173281,0.019262
55,,0.280714,0.087921,0.173267,0.019044
60,,0.280919,0.087771,0.173492,0.019173
65,,0.280980,0.088104,0.173275,0.019081
70,,0.280894,0.087953,0.173303,0.019157
75,,0.281350,0.087896,0.173589,0.019310
80,,0.280332,0.087535,0.173259,0.019059
85,,0.280368,0.087516,0.173203,0.019148
90,,0.278859,0.087141,0.172184,0.019078
95,,0.280529,0.087580,0.173180,0.019272
100,,0.280846,0.087876,0.173281,0.019160
105,,0.281292,0.087849,0.173546,0.019375
110,,0.280947,0.088002,0.173266,0.019240
115,,0.281122,0.087888,0.173630,0.019112
120,,0.280969,0.087957,0.173379,0.019183
125,,0.286485,0.088118,0.178074,0.019681
130,,0.279263,0.087569,0.172059,0.019187
135,,0.285301,0.088177,0.177478,0.019132
140,,0.279926,0.087917,0.172352,0.019190
145,,0.284711,0.088202,0.176798,0.019208
150,,0.284778,0.088175,0.176943,0.019168
155,,0.278790,0.087535,0.171655,0.019129
160,,0.279382,0.087595,0.172119,0.019230
165,,0.280183,0.087630,0.172832,0.019238
170,,0.279629,0.087760,0.172320,0.019068
175,,0.285662,0.087974,0.178171,0.019022
180,,0.279412,0.087602,0.172079,0.019225
185,,0.280397,0.087892,0.172961,0.019070
190,,0.286226,0.088741,0.177866,0.019131
195,,0.279593,0.087621,0.172199,0.019256
200,,0.283674,0.087854,0.176200,0.019101
205,,0.279141,0.087570,0.171909,0.019192
210,,0.280668,0.087998,0.172915,0.019244
215,,0.280724,0.087951,0.173229,0.019075
220,,0.281008,0.087909,0.173410,0.019205
225,,0.280734,0.087826,0.173389,0.019075
230,,0.285619,0.088058,0.177939,0.019137
235,,0.280518,0.088066,0.172716,0.019247
240,,0.280190,0.087875,0.172699,0.019108
245,,0.279969,0.087891,0.172509,0.019109
250,,0.280595,0.088070,0.172798,0.019219
255,,0.280602,0.088105,0.172952,0.019082
260,,0.280640,0.087788,0.173273,0.019105
265,,0.280982,0.088051,0.173178,0.019278
270,,0.280651,0.088011,0.173063,0.019076
275,,0.280915,0.088289,0.172882,0.019133
280,,0.280803,0.088044,0.173090,0.019164
285,,0.280623,0.087983,0.172899,0.019288
290,,0.280614,0.088148,0.172881,0.019094
295,,0.280640,0.088102,0.172866,0.019198
300,,0.280748,0.088245,0.172852,0.019161
305,,0.280376,0.088086,0.172733,0.019087
310,,0.280362,0.088213,0.172356,0.019259
315,,0.280422,0.088145,0.172739,0.019070
320,,0.281114,0.088013,0.173402,0.019203
325,,0.280328,0.088168,0.172565,0.019151
330,,0.280213,0.087910,0.172656,0.019141
335,,0.280533,0.088402,0.172616,0.019052
340,,0.280695,0.088271,0.172835,0.019101
345,,0.280826,0.088271,0.172883,0.019156
350,,0.280599,0.088018,0.172934,0.019152
355,,0.280610,0.088097,0.172796,0.019219
360,,0.280625,0.088101,0.172848,0.019189
365,,0.280838,0.087938,0.173169,0.019254
370,,0.280813,0.087919,0.173377,0.019078
375,,0.280868,0.087962,0.173227,0.019243
380,,0.280542,0.088143,0.172836,0.019121
385,,0.281668,0.088830,0.172940,0.019216
390,,0.280308,0.088245,0.172508,0.019102
395,,0.279969,0.087873,0.172488,0.019134
400,,0.279784,0.087810,0.172414,0.019073
405,,0.279752,0.088030,0.172146,0.019104
410,,0.279851,0.087856,0.172203,0.019283
415,,0.281888,0.087857,0.174318,0.019211
420,,0.280671,0.088074,0.172960,0.019138
425,,0.281239,0.088056,0.173544,0.019133
430,,0.281328,0.088409,0.173157,0.019204
435,,0.281512,0.088190,0.173796,0.019052
440,,0.280736,0.088152,0.172897,0.019124
445,,0.280724,0.088116,0.173003,0.019131
450,,0.280707,0.088172,0.172892,0.019149
455,,0.280033,0.088156,0.172324,0.019082
460,,0.280626,0.087970,0.172858,0.019289
465,,0.280339,0.088008,0.172690,0.019094
470,,0.280514,0.088098,0.172703,0.019210
475,,0.280912,0.088116,0.172935,0.019263
480,,0.280489,0.088070,0.172748,0.019167
485,,0.280147,0.087854,0.172534,0.019265
490,,0.279959,0.087910,0.172457,0.019123
495,,0.280263,0.088179,0.172497,0.019129
500,,0.280241,0.088064,0.172210,0.019440
505,,0.282481,0.088911,0.173947,0.019099
510,,0.280945,0.088375,0.173061,0.019059
515,,0.280012,0.087948,0.172532,0.019102
520,,0.279944,0.088020,0.172314,0.019123
525,,0.281340,0.088217,0.173488,0.019110
530,,0.281801,0.088350,0.173707,0.019272
535,,0.280399,0.088196,0.172616,0.019122
540,,0.280000,0.086434,0.173926,0.019168
545,,0.280243,0.086575,0.174024,0.018970
550,,0.279987,0.086670,0.173701,0.019127
555,,0.280543,0.086733,0.173837,0.019250
560,,0.280301,0.087182,0.173520,0.019077
565,,0.281074,0.088274,0.173163,0.019151
570,,0.281168,0.088342,0.173160,0.019183
575,,0.280450,0.088247,0.172650,0.019060
580,,0.280449,0.088288,0.172543,0.019143
585,,0.281690,0.088152,0.173820,0.019235
590,,0.280886,0.088287,0.173006,0.019117
595,,0.280481,0.088224,0.172747,0.019073
600,,0.280409,0.087973,0.172727,0.019221
605,,0.279560,0.087879,0.172087,0.019111
610,,0.282684,0.088297,0.174768,0.019183
615,,0.280722,0.088333,0.172786,0.019116
620,,0.280864,0.088212,0.172925,0.019198
625,,0.280504,0.088272,0.172517,0.019246
630,,0.280117,0.087811,0.172671,0.019190
635,,0.279511,0.087755,0.172054,0.019183
640,,0.282580,0.088534,0.174380,0.019157
645,,0.281008,0.088400,0.173068,0.018901
650,,0.282570,0.088693,0.174323,0.019088
655,,0.281086,0.088220,0.173268,0.019124
660,,0.280989,0.088236,0.173140,0.019102
665,,0.280568,0.088243,0.172755,0.019069
670,,0.279943,0.087957,0.172397,0.019095
675,,0.279729,0.087941,0.172206,0.019078
680,,0.282892,0.088449,0.174678,0.019249
685,,0.281213,0.088204,0.173438,0.019104
690,,0.280500,0.088095,0.172827,0.019107
695,,0.280667,0.088298,0.172740,0.019089
700,,0.280241,0.087963,0.172530,0.019271
