batch_size,repeat,run1_s,run2_s,run3_s,avg_s,std_s
32,550,299.85,300.03,300.12,300.0000,0.1122
16,1100,300.24,300.24,300.14,300.2067,0.0471
8,2000,298.81,298.35,296.37,297.8433,1.0586
