timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,69,30,5153.25,1.5,4.6,23485.25,0.000000,0.000000,0.000000
0.5978,99,44,6111.25,1.5,4.6,23517.67,126.307000,126.307000,211.270099
1.3402,99,46,6111.25,1.4,4.5,23448.89,150.492000,276.799000,202.711821
2.0831,99,48,6111.25,1.4,4.5,23331.68,172.120000,448.919000,231.693345
2.8243,99,43,6111.25,1.4,4.5,23255.53,157.827000,606.746000,212.942391
3.5756,99,42,6111.25,1.3,4.5,23224.54,150.814000,757.560000,200.722537
4.3190,99,50,6111.25,1.4,4.5,23108.13,174.898000,932.458000,235.288499
5.0632,99,46,6111.25,1.3,4.5,23052.99,152.110000,1084.568000,204.401112
5.8132,99,42,6111.25,1.3,4.5,23094.41,174.368000,1258.936000,232.482251
6.5593,99,42,6111.25,1.3,4.5,23095.75,151.133000,1410.069000,202.571026
7.3039,99,51,6111.25,1.3,4.5,23100.39,172.110000,1582.179000,231.129068
8.0528,99,46,6111.25,1.2,4.5,23124.27,148.483000,1730.662000,198.281716
8.7986,99,42,6111.25,1.3,4.5,23096.69,171.800000,1902.462000,230.349973
9.5427,99,44,6111.25,1.3,4.5,23096.25,148.882000,2051.344000,200.086142
10.2904,99,49,6111.25,1.3,4.5,23096.00,171.391000,2222.735000,229.200761
11.0369,99,45,6111.25,1.3,4.5,23095.65,151.455000,2374.190000,202.898961
11.7821,99,49,6111.25,1.2,4.5,23104.02,172.379000,2546.569000,231.307850
12.5310,99,49,6111.25,1.2,4.5,23063.49,153.432000,2700.001000,204.875589
13.2782,98,46,6111.25,1.2,4.5,23097.12,174.059000,2874.060000,232.944843
14.0309,99,44,6111.25,1.2,4.5,23047.78,153.142000,3027.202000,203.482196
14.7774,99,44,6111.25,1.3,4.5,23091.31,174.091000,3201.293000,233.196761
15.5301,99,49,6111.25,1.3,4.5,23095.71,153.465000,3354.758000,203.880654
16.2789,98,47,6111.25,1.3,4.5,23078.07,173.677000,3528.435000,231.942908
