step,loss,step_s,forward_s,backward_s,optimizer_s,throughput_samp_per_s
3,10.429165,0.2799,0.0891,0.1712,0.0191,57.1606
6,10.324276,0.2830,0.0897,0.1736,0.0192,56.5354
9,10.250300,0.2799,0.0891,0.1710,0.0192,57.1676
12,10.104778,0.2795,0.0874,0.1724,0.0192,57.2427
15,9.970388,0.2804,0.0887,0.1721,0.0191,57.0700
18,9.861799,0.2800,0.0892,0.1713,0.0191,57.1353
21,9.723544,0.2822,0.0903,0.1724,0.0191,56.6965
24,9.634981,0.2829,0.0901,0.1730,0.0193,56.5640
27,9.538651,0.2834,0.0907,0.1729,0.0193,56.4512
30,9.459351,0.2837,0.0907,0.1730,0.0192,56.3992
33,9.404465,0.2827,0.0905,0.1726,0.0192,56.5876
36,9.355522,0.2832,0.0906,0.1730,0.0191,56.5017
39,9.326645,0.2808,0.0877,0.1733,0.0192,56.9783
42,9.263780,0.2814,0.0894,0.1722,0.0192,56.8536
45,9.220611,0.2836,0.0909,0.1729,0.0192,56.4187
48,9.182440,0.2834,0.0907,0.1730,0.0193,56.4588
51,9.157484,0.2841,0.0912,0.1730,0.0193,56.3086
54,9.114738,0.2828,0.0904,0.1729,0.0191,56.5752
57,9.084053,0.2835,0.0909,0.1728,0.0192,56.4358
60,9.090631,0.2822,0.0899,0.1726,0.0192,56.7030
63,9.074783,0.2818,0.0887,0.1735,0.0191,56.7866
66,9.033970,0.2817,0.0898,0.1723,0.0191,56.8020
69,9.036335,0.2813,0.0890,0.1725,0.0192,56.8763
72,9.007486,0.2828,0.0901,0.1732,0.0191,56.5774
75,9.014585,0.2834,0.0900,0.1730,0.0197,56.4598
78,9.000324,0.2826,0.0900,0.1731,0.0190,56.6192
81,8.982184,0.2831,0.0902,0.1733,0.0190,56.5159
84,9.003423,0.2831,0.0904,0.1731,0.0191,56.5142
87,8.987367,0.2813,0.0877,0.1738,0.0192,56.8885
90,8.933572,0.2819,0.0892,0.1728,0.0193,56.7638
93,8.960027,0.2827,0.0904,0.1727,0.0191,56.5949
96,8.946329,0.2828,0.0905,0.1728,0.0190,56.5811
99,8.914868,0.2835,0.0907,0.1729,0.0193,56.4372
102,8.967037,0.2832,0.0906,0.1730,0.0192,56.4877
105,8.947201,0.2834,0.0907,0.1731,0.0191,56.4553
108,8.936421,0.2835,0.0906,0.1729,0.0194,56.4327
111,8.922265,0.2818,0.0890,0.1733,0.0190,56.7758
114,8.923386,0.2818,0.0896,0.1726,0.0191,56.7852
117,8.931556,0.2824,0.0897,0.1728,0.0194,56.6561
120,8.934234,0.2833,0.0907,0.1730,0.0190,56.4786
123,8.919167,0.2829,0.0893,0.1740,0.0191,56.5617
126,8.924492,0.2834,0.0908,0.1729,0.0192,56.4501
129,8.915485,0.2829,0.0903,0.1730,0.0191,56.5552
132,8.915553,0.2839,0.0910,0.1733,0.0191,56.3540
135,8.907368,0.2819,0.0891,0.1733,0.0191,56.7523
138,8.921333,0.2838,0.0903,0.1736,0.0193,56.3832
141,8.925849,0.2828,0.0903,0.1729,0.0190,56.5830
144,8.917860,0.2829,0.0901,0.1732,0.0191,56.5630
147,8.918504,0.2831,0.0899,0.1734,0.0192,56.5237
150,8.913821,0.2837,0.0900,0.1734,0.0197,56.3912
153,8.932875,0.2825,0.0897,0.1731,0.0191,56.6425
156,8.897375,0.2828,0.0898,0.1735,0.0191,56.5671
159,8.910798,0.2825,0.0889,0.1738,0.0193,56.6423
162,8.922853,0.2823,0.0899,0.1728,0.0191,56.6677
165,8.880282,0.2825,0.0899,0.1729,0.0192,56.6364
168,8.913093,0.2826,0.0899,0.1732,0.0190,56.6194
171,8.897338,0.2835,0.0894,0.1744,0.0192,56.4461
174,8.882188,0.2840,0.0907,0.1738,0.0191,56.3303
177,8.882599,0.2829,0.0898,0.1735,0.0192,56.5490
180,8.890537,0.2824,0.0902,0.1726,0.0192,56.6531
183,8.897968,0.2826,0.0888,0.1743,0.0191,56.6142
186,8.886625,0.2822,0.0895,0.1730,0.0192,56.6892
189,8.897502,0.2832,0.0901,0.1731,0.0194,56.4979
192,8.898442,0.2832,0.0901,0.1734,0.0193,56.4915
195,8.887055,0.2833,0.0898,0.1739,0.0190,56.4704
198,8.889087,0.2831,0.0898,0.1737,0.0191,56.5254
201,8.903194,0.2820,0.0899,0.1724,0.0192,56.7430
204,8.915474,0.2832,0.0903,0.1733,0.0191,56.4980
207,8.895845,0.2806,0.0881,0.1730,0.0192,57.0126
210,8.898348,0.2812,0.0893,0.1723,0.0191,56.8889
213,8.889964,0.2830,0.0904,0.1730,0.0191,56.5294
216,8.880635,0.2826,0.0901,0.1728,0.0191,56.6232
219,8.892441,0.2831,0.0902,0.1733,0.0191,56.5212
222,8.902173,0.2835,0.0903,0.1737,0.0191,56.4329
225,8.891065,0.2831,0.0904,0.1732,0.0191,56.5229
228,8.890028,0.2828,0.0903,0.1731,0.0191,56.5679
231,8.885571,0.2811,0.0879,0.1738,0.0189,56.9114
234,8.889626,0.2812,0.0893,0.1724,0.0190,56.8939
237,8.887274,0.2828,0.0903,0.1729,0.0191,56.5806
240,8.889715,0.2824,0.0894,0.1734,0.0191,56.6665
