timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb,gpu_energy_delta_j,gpu_energy_j,gpu_power_w
0.0000,59,25,9013.25,1.3,4.1,21133.62,0.000000,0.000000,0.000000
0.5694,99,49,10923.25,1.4,4.1,21139.01,126.913000,126.913000,222.902808
1.4248,99,45,10923.25,1.4,4.1,21138.51,195.879000,322.792000,228.985529
2.2715,100,44,10923.25,1.3,4.1,21138.43,176.884000,499.676000,208.915794
3.1167,99,50,10923.25,1.5,4.1,21138.42,198.963000,698.639000,235.405803
3.9636,99,50,10923.25,1.4,4.1,21138.42,178.175000,876.814000,210.363663
4.8110,99,51,10923.25,1.4,4.1,21138.64,196.103000,1072.917000,231.419617
5.6658,100,44,10923.25,1.3,4.1,21138.64,178.143000,1251.060000,208.398862
6.5248,99,50,10923.25,1.4,4.1,21138.64,196.120000,1447.180000,228.335681
7.3851,99,50,10923.25,1.4,4.1,21138.64,176.664000,1623.844000,205.342701
8.2449,100,44,10923.25,1.4,4.1,21138.61,198.972000,1822.816000,231.409467
9.1060,99,50,10923.25,1.4,4.1,21138.61,195.997000,2018.813000,227.606437
9.9644,99,50,10923.25,1.4,4.1,21138.60,178.345000,2197.158000,207.771905
10.8159,99,48,10923.25,1.4,4.1,21138.60,199.359000,2396.517000,234.118738
11.6675,100,44,10923.25,1.4,4.1,21138.60,177.968000,2574.485000,208.999882
12.5252,99,50,10923.25,1.4,4.1,21138.60,197.352000,2771.837000,230.084917
13.3846,99,50,10923.25,1.4,4.1,21138.36,177.257000,2949.094000,206.262169
14.2448,100,44,10923.25,1.4,4.1,21138.36,201.058000,3150.152000,233.732795
15.1048,99,50,10923.25,1.4,4.1,21138.36,196.223000,3346.375000,228.167760
15.9641,99,49,10923.25,1.4,4.1,21138.36,178.905000,3525.280000,208.190508
16.8230,100,45,10923.25,1.3,4.1,21138.60,197.269000,3722.549000,229.672103
